,Unnamed: 0,ID,Region_name,Nomenclature,preferred,Abbreviation,Comments,General_name
1,1,7,Sw04_Nucleus accumbens,6,0,ACB,Defined as the part of the ventromedial striatum lacking massive traversing fiber bundles. No core/shell delineations,Nucleus accumbens
2,2,8,Sw04_Striatal fundus,6,0,FS,"A ventrolateral part of the striatum, with more heterogeneous cytoarchitecture than the Cp and ACB. Corresponds to the LAcbSh in Paxinos atlases, but with a larger rostrocaudal extent (occupying some IPAC regions) Paxinos' LSS is found within this region.",Striatal fundus
3,3,9,Sw04_Globus pallidus external segment,6,0,Gpe,"The lateral part of the globus pallidus. In this atlas, the part usually considered GPe is divided into GPe and GPi, and the latter stretches into the internal capsule more caudally",Globus pallidus external segment
4,4,10,Sw04_Globus pallidus internal segment,6,0,Gpi,"The medial/internal part of the globus pallidus. In this atlas, the part usually considered GPe is divided into GPe and GPi, and the latter stretches into the internal capsule more caudally",Globus pallidus internal segment
5,5,11,Sw04_Substantia innominata,6,0,SI,"Region situated between the nucleus accumbens and olfactory tubercle. The rostral part of the SI seems to correspond well with the VP, but more caudally it occupies a region that is classified by Paxinos as VP, cell bridge of striatum, SIB, and LPO.",Substantia innominata
6,6,12,Sw04_Magnocellular nucleus,6,0,MA,"Rodent ""homologue"" to the primate nucleus of Meynert. It consists of a group of cholinergic neurons and is situated directly deep (possibly seen as part of) the SI. No other basal nuclei components are been indicated, as opposed to in Paxinos. The MA occupies roughly the same area as Paxinos' MCPO (later LDB)",Magnocellular nucleus
7,7,13,"Sw04_Substantia nigra, compact part",6,0,SNc,SNL considered part of SNc,"Substantia nigra, compact part"
8,8,14,"Sw04_Substantia nigra, reticular part",6,0,SNr,,"Substantia nigra, reticular part"
9,9,16,Pax07_Ventral pallidum,7,0,VP,Identified by parvalbumin and SMI-32 immunostaining. See Paxinos et al_chemoarchitectonic_1999 for criteria?,Ventral pallidum
10,10,17,"Pax07_Substantia innominata, basal part",7,0,SIB,The part of the region traditionally called SI that is not delineated as ventral pallidum.,"Substantia innominata, basal part"
11,11,18,Pax07_Lateral accumbens shell,7,0,LAcbSh,"Corresponds to the region often called fundus striati. Resembles the striatum in some ways and the accumbens shell in others. Was renamed due to problems with primate homologues, with advice from G. Aldheid",Lateral accumbens shell
12,12,19,"Pax07_Accumbens nucleus, core",7,0,AcbC,"See Paxinos et al_chemoarchitectonic_1999 for criteria. Defined as later editions, although differences might exist due to revision of delineations and a more extensive chemoarchitectonic atlas","Accumbens nucleus, core"
13,13,20,Pax07_Globus pallidus,7,0,GP,"The external part of the GP, previously referred to as the lateral or external part of the GP. See Paxinos et al_chemoarchitectonic_2009 for criteria",Globus pallidus
14,14,21,Pax07_Entopeduncular nucleus,7,0,EP,The previously named medial or internal part of the GP,Entopeduncular nucleus
15,15,22,Pax07_Lateral stripe of striatum,7,0,LSS,"As earlier editions. Described as a dense band of cells, negative to CB and more lightly stained for TH than surrounding areas",Lateral stripe of striatum
16,16,23,"Pax07_Accumbens nucleus, shell",7,0,AcbSh,"See Paxinos et al_chemoarchitectonic_1999 for criteria. Defined as later editions, although differences might exist due to revision of delineations and a more extensive chemoarchitectonic atlas","Accumbens nucleus, shell"
17,17,24,Pax07_Substantia nigra reticular part,7,0,SNR,May be subdivided into dorsomedial and ventrolateral parts based on PV and CB distribution. See Paxinos et al_chemoarchitectonic_1999 for criteria?,Substantia nigra reticular part
18,18,26,"Pax07_Substantia nigra compacta part, ventral tier",7,0,SNCV,See Paxinos et al_chemoarchitectonic_1999 for criteria?,"Substantia nigra compacta part, ventral tier"
19,19,27,"Pax07_Substantia nigra compacta part, dorsal tier",7,0,SNCD,See Paxinos et al_chemoarchitectonic_1999 for criteria?,"Substantia nigra compacta part, dorsal tier"
20,20,28,"Pax07_Substantia nigra compacta part, medial tier",7,0,SNCM,See Paxinos et al_chemoarchitectonic_1999 for criteria?,"Substantia nigra compacta part, medial tier"
21,21,29,Pax07_Substantia nigra lateral part,7,0,SNL,See Paxinos et al_chemoarchitectonic_1999 for criteria?,Substantia nigra lateral part
22,22,30,Pax07_Subthalamic nucleus,7,0,STh,See Paxinos et al_chemoarchitectonic_1999 for criteria?,Subthalamic nucleus
23,23,31,Pax07_Caudoputamen,7,0,Cpu,See Paxinos et al_chemoarchitectonic_2009 for criteria,Caudoputamen
24,24,32,Sw04_Subthalamic nucleus,6,0,STN,,Subthalamic nucleus
25,25,33,Sw04_Parasubthalamic nucleus,6,0,PSTN,,Parasubthalamic nucleus
26,26,38,"Pax15_Lateral accumbens, shell region",9,0,LAcbSh,"As Paxinos & Watson_2013, but might be slight differences due to the different approaches","Lateral accumbens, shell region"
27,27,39,Pax15_Internal part of the globus pallidus,9,0,IGP,Same as Paxinos & Watson_2013,Internal part of the globus pallidus
28,28,40,Pax15_External part of the globus pallidus,9,0,EGP,"Same as Paxinos & Watson_2013, but might be slight differences due to the different approaches. See Paxinos et al_chemoarchitectonic_2009 for criteria",External part of the globus pallidus
29,29,41,Pax15_Entopeduncular nucleus,9,0,EP,Same as Paxinos & Watson_2013,Entopeduncular nucleus
30,30,42,Pax15_Lateral stripe of striatum,9,0,LSS,Same as Paxinos & Watson_2013,Lateral stripe of striatum
31,31,43,"Pax15_Accumbens nucleus, core region",9,0,AcbC,"Same as Paxinos & Watson_2013, but might be slight differences due to the different approaches","Accumbens nucleus, core region"
32,32,44,"Pax15_Accumbens nucleus, shell region",9,0,AcbSh,"Same as Paxinos & Watson_2013, but might be slight differences due to the different approaches","Accumbens nucleus, shell region"
33,33,45,Pax15_Caudoputamen,9,0,CPu,"Same as Paxinos & Watson_2013, but might be slight differences due to the different approaches. See Paxinos et al_chemoarchitectonic_2009 for criteria",Caudoputamen
34,34,46,Pax15_Amygdalastriatal transition area,9,0,ASt,Same as Paxinos & Watson_2013,Amygdalastriatal transition area
35,35,47,Pax15_Subthalamic nucleus,9,0,STh,"Looks quite similar to Paxinos & Watson_2007, might be slight differences. Classified as part of hypothalamus",Subthalamic nucleus
36,36,48,"Pax15_Substantia nigra, compact part, dorsal tier",9,0,SNCD,"Looks quite similar to Paxinos & Watson_2007, might be slight differences","Substantia nigra, compact part, dorsal tier"
37,37,49,"Pax15_Substantia nigra, compact part, medial tier",9,0,SNCM,"Looks quite similar to Paxinos & Watson_2007, might be slight differences. Might be slight differences due to the different approaches. Criteria seem to be the same as earlier editions, although based on the new chemoarchitectonic atlas. See Paxinos et al_chemoarchitectonic_2009 for criteria","Substantia nigra, compact part, medial tier"
38,38,50,"Pax15_Substantia nigra, lateral part",9,0,SNL,"As Paxinos & Watson_2013, but might be slight differences due to the different approaches. Criteria seem to be the same as earlier editions, although based on the new chemoarchitectonic atlas. See Paxinos et al_chemoarchitectonic_2009 for criteria","Substantia nigra, lateral part"
39,39,51,"Pax15_Substantia nigra, reticular part",9,0,SNR,"SNR in this version contains the SNCV from Paxinos & Watson_2007. Otherwise criteria seem to be the same as earlier editions, although based on the new chemoarchitectonic atlas. See Paxinos et al_chemoarchitectonic_2009 for criteria","Substantia nigra, reticular part"
40,40,52,"Pax15_Substantia innominata, basal part",9,0,SIB,"As Paxinos & Watson_2013, but might be slight differences due to the different approaches","Substantia innominata, basal part"
41,41,53,Pax15_Ventral pallidum,9,0,VP,"As Paxinos & Watson_2013, but might be slight differences due to the different approaches. Criteria seem to be the same as earlier editions, although based on the new chemoarchitectonic atlas",Ventral pallidum
42,42,54,PaxCh09_Caudoputamen,10,0,Cpu,"Calbindin staining in the CPu reveals patchiness medially, and virtually no staining laterally. The matrix is positive, but patches are negative. PV shows stronger immunoreactivity dorsolaterally. This complimentary CB/PV staining is only found rostrally.",Caudoputamen
43,43,55,"PaxCh09_Accumbens nucleus, core",10,0,AcbC,"Strong CB immunoreactivity, positive for TH","Accumbens nucleus, core"
44,44,56,PaxCh09_Globus pallidus,10,0,GP,"External globus pallidus. Positive to PV, negative for CB, CR, NADPH-d",Globus pallidus
45,45,57,PaxCh09_Ventral pallidum,10,0,VP,"PV positive, easy to recognize in such sections, as well as neurofilament protein stained sections. Faintly stained for CB and CR. Negative for NADPH-d.",Ventral pallidum
46,46,58,"PaxCh09_Substantia innominata, basal",10,0,SIB,"A sliver between the diagonal band nuclei and ventral pallidum, distinguished by it lack of PV reactivity and positivity for CB relatively to surrounding structures.","Substantia innominata, basal"
47,47,59,"PaxCh09_Substantia nigra, compact part, dorsal tier",10,0,SNCD,"Lightly stained for PV, free of CB, occasional CR reactivity.","Substantia nigra, compact part, dorsal tier"
48,48,60,"PaxCh09_Substantia nigra, reticular part",10,0,SNR,"PV positive, free of CR. CB positive, especially in the dorsomedial tier.","Substantia nigra, reticular part"
49,49,61,"PaxCh09_Accumbens nucleus, shell",10,0,AcbSh,Rostral tip termed shell. Enhanced in TH reactivity compared to the core.,"Accumbens nucleus, shell"
50,50,62,PaxCh09_Lateral stripe of striatum,10,0,LSS,"Dense band of cells in cresyl violet stained sections, negative to CB",Lateral stripe of striatum
51,51,63,PaxCh09_Lateral accumbens shell,10,0,LAcbSh,No specific criteria given,Lateral accumbens shell
52,52,64,PaxCh09_Entopeduncular nucleus,10,0,EP,Criteria not described,Entopeduncular nucleus
53,53,65,PaxCh09_Amygdalostriatal transition area,10,0,ASt,,Amygdalostriatal transition area
54,54,66,PaxCh09_Subthalamic nucleus,10,0,STh,"Positive for NADPH-d and PV, negative for CB",Subthalamic nucleus
55,55,67,PaxCh09_Parasubthalamic nucleus,10,0,PSTh,"Positive for CR, negative for PV and CB",Parasubthalamic nucleus
56,56,68,"PaxCh09_Substantia nigra, lateral part",10,0,SNL,Occasional CR reactivity,"Substantia nigra, lateral part"
57,57,69,"PaxCh09_Substantia nigra, compact part, ventral tier",10,0,SNCV,"Lightly stained for PV, free of CB, occasional CR reactivity.","Substantia nigra, compact part, ventral tier"
58,58,70,"PaxCh09_Substantia nigra, compact part, medial tier",10,0,SNCM,"Lightly stained for PV, free of CB, occasional CR reactivity","Substantia nigra, compact part, medial tier"
59,59,71,Pax98_Caudoputamen,11,0,CPu,As later editions,Caudoputamen
60,60,72,Pax98_Ventral pallidum,11,0,VP,As later editions,Ventral pallidum
61,61,73,Pax98_Lateral stripe of striatum,11,0,LSS,As later editions,Lateral stripe of striatum
62,62,74,"Pax98_Accumbens nucleus, shell",11,0,AcbSh,As later editions,"Accumbens nucleus, shell"
63,63,75,"Pax98_Accumbens nucleus, core",11,0,AcbC,As later editions,"Accumbens nucleus, core"
64,64,76,Pax98_Lateral accumbens shell,11,0,LAcbSh,As later editions,Lateral accumbens shell
65,65,77,Pax98_Subthalamic nucleus,11,0,STh,"Presumably as in later editions, not mentioned",Subthalamic nucleus
66,66,78,"Pax98_Substantia nigra, reticular part",11,0,SNR,"As later editions, although the dorsomedial and ventrolateral regions are indicated in one section (but not the rest)","Substantia nigra, reticular part"
67,67,79,"Pax98_Substantia nigra, lateral part",11,0,SNL,As later editions,"Substantia nigra, lateral part"
68,68,80,"Pax98_Substantia nigra, compact part, dorsal tier",11,0,SNCD,As later editions,"Substantia nigra, compact part, dorsal tier"
69,69,81,"Pax98_Substantia nigra, compact part, ventral tier",11,0,SNCV,As later editions,"Substantia nigra, compact part, ventral tier"
70,70,82,"Pax98_Substantia nigra, compact part, medial tier",11,0,SNCM,As later editions,"Substantia nigra, compact part, medial tier"
71,71,84,"Pax98_Substantia innominata, basal",11,0,SIB,Presumably same as in later editions,"Substantia innominata, basal"
72,72,85,"Pax98_Substantia innominata, dorsal",11,0,SID,"Roughly corresponds to the sublenticular extended amygdala, central part in later editions","Substantia innominata, dorsal"
73,73,86,"Pax98_Substantia innominata, ventral",11,0,SIV,"Roughly corresponds to the sublenticular extended amygdala, medial part in later editions","Substantia innominata, ventral"
74,74,87,Sw92_Caudoputamen,12,0,CP,As later editions,Caudoputamen
75,75,88,Sw92_Nucleus accumbens,12,0,ACB,"As in later editions. Presumably criteria are the same, but could be checked more thoroughly as later eds have more references. Shell and core not delineated",Nucleus accumbens
76,76,89,Sw92_Fundus of striatum,12,0,FS,As later editions,Fundus of striatum
77,77,90,Sw92_Globus pallidus lateral segment,12,0,GPl,"Corresponds to GPe in later editions. Presumably criteria are the same, but could be checked more thoroughly as later eds have more references",Globus pallidus lateral segment
78,78,91,Sw92_Globus pallidus medial segment,12,0,GPm,"Corresponds to GPi in later editions. Presumably criteria are the same, but could be checked more thoroughly as later eds have more references",Globus pallidus medial segment
79,79,92,Sw92_Substantia innominata,12,0,SI,"Presumably as in later editions. The definition, which is that the SI has been renamed ""ventral pallidum"", is inconsistent with the information in the cited reference. Nevertheless, the SI has been kept as the term for this large region",Substantia innominata
80,80,94,Sw92_Subthalamic nucleus,12,0,STN,As in later editions,Subthalamic nucleus
81,81,95,Sw92_Substantia nigra compact part,12,0,SNc,As later editions,Substantia nigra compact part
82,82,96,Sw92_Substantia nigra reticular part,12,0,SNr,As in later editions,Substantia nigra reticular part
83,83,97,FrPax07_Caudoputamen,13,0,CPu,Same criteria as Paxinos & Watson_2007,Caudoputamen
84,84,98,"FrPax07_Accumbens nucleus, shell",13,0,AcbSh,Same criteria as Paxinos & Watson_2007,"Accumbens nucleus, shell"
85,85,99,"FrPax07_Accumbens nucleus, core",13,0,AcbC,Same criteria as Paxinos & Watson_2007,"Accumbens nucleus, core"
86,86,100,FrPax07_Ventral pallidum,13,0,VP,Same criteria as Paxinos & Watson_2007,Ventral pallidum
87,87,101,FrPax07_Lateral accumbens shell,13,0,LAcbSh,Same criteria as Paxinos & Watson_2007,Lateral accumbens shell
88,88,102,FrPax07_Lateral stripe of striatum,13,0,LSS,Same criteria as Paxinos & Watson_2007,Lateral stripe of striatum
89,89,103,"FrPax07_Substantia innominata, basal part",13,0,SIB,Same criteria as Paxinos & Watson_2007,"Substantia innominata, basal part"
90,90,104,FrPax07_Basal nucleus (Meynert),13,0,B,Presumably as earlier editions,Basal nucleus (Meynert)
91,91,105,FrPax07_Globus pallidus,13,0,GP,Same criteria as Paxinos & Watson_2007,Globus pallidus
92,92,106,FrPax07_Entopeduncular nucleus,13,0,EP,Same criteria as Paxinos & Watson_2007,Entopeduncular nucleus
93,93,107,"FrPax07_Substantia nigra, reticular part",13,0,SNR,Same criteria as Paxinos & Watson_2007,"Substantia nigra, reticular part"
94,94,108,"FrPax07_Substantia nigra, compact part",13,0,SNc,Same criteria as Paxinos & Watson_2007,"Substantia nigra, compact part"
95,95,109,"FrPax07_Substantia nigra, lateral part",13,0,SNL,Same criteria as Paxinos & Watson_2007,"Substantia nigra, lateral part"
96,96,110,"FrPax07_Substantia nigra, compact part, dorsal tier",13,0,SNCD,Same criteria as Paxinos & Watson_2007,"Substantia nigra, compact part, dorsal tier"
97,97,111,"FrPax07_Substantia nigra, compact part, medial tier",13,0,SNCM,Same criteria as Paxinos & Watson_2007,"Substantia nigra, compact part, medial tier"
98,98,112,FrPax07_Subthalamic nucleus,13,0,STh,"Same criteria as Paxinos & Watson_2007. Unclear if it differs significantly from the criteria in the rat, as it is specially mentioned in v2, but probably not.",Subthalamic nucleus
99,99,114,Pax07_Basal nucleus (Meynert),7,0,B,Presumably as later editions,Basal nucleus (Meynert)
100,100,115,Pax13_Caudoputamen,14,0,CPu,"Same criteria as Paxinos & Watson_2007, although based on the new chemoarchitectonic atlas",Caudoputamen
101,101,116,Pax13_Lateral stripe of striatum,14,0,LSS,"Same criteria as Paxinos & Watson_2007, although based on the new chemoarchitectonic atlas. See Paxinos et al_chemoarchitectonic_2009 for criteria",Lateral stripe of striatum
102,102,117,"Pax13_Accumbens nucleus, shell",14,0,AcbSh,"Same criteria as Paxinos & Watson_2007, although differences might exist due to revision of delineations and a more extensive chemoarchitectonic atlas","Accumbens nucleus, shell"
103,103,118,"Pax13_Accumbens nucleus, core",14,0,AcbC,"Same criteria as Paxinos & Watson_2007, although based on the new chemoarchitectonic atlas","Accumbens nucleus, core"
104,104,119,Pax13_Lateral accumbens shell,14,0,LAcbSh,"First version with border of LAcbSh defined, otherwise same criteria as Paxinos & Watson_2007",Lateral accumbens shell
105,105,120,Pax13_Ventral pallidum,14,0,VP,"Same criteria as Paxinos & Watson_2007, although based on new cytoarchitectonic atlas",Ventral pallidum
106,106,121,"Pax13_Substantia innominata, basal part",14,0,SIB,"Presumably defined as in earlier editions, although based on the new chemoarchitectonic atlas. See Paxinos et al_chemoarchitectonic_2009 for criteria","Substantia innominata, basal part"
107,107,122,Pax13_External part of the globus pallidus,14,0,EGP,Defined as the lateral part only of what was previously considered EGP,External part of the globus pallidus
108,108,123,Pax13_Internal part of the globus pallidus,14,0,IGP,"Defined as a part of what has previously been considered EGP, situated directly medial to it",Internal part of the globus pallidus
109,109,124,Pax13_Basal nucleus (Meynert),14,0,B,"Presumably as earlier editions, although now defined as part of the diagonal domain",Basal nucleus (Meynert)
110,110,125,Pax13_Entopeduncular nucleus,14,0,EP,"Looks similar to previous versions upon visual inspection, but is not considered homologue of primate IGP but part of hypothalamus",Entopeduncular nucleus
111,111,126,Pax13_Subthalamic nucleus,14,0,STh,"Not described, presumably similar to as in Paxinos et al_2015. Classified as part of hypothalamus",Subthalamic nucleus
112,112,127,"Pax13_Substantia nigra, reticular part",14,0,SNR,"Assumed similar to Paxinos et al_2015, cannot access plates from atlas","Substantia nigra, reticular part"
113,113,128,"Pax13_Substantia nigra, compact part, dorsal tier",14,0,SNCD,"Presumably as Paxinos et al_2015, cannot access plates from atlas. Might be slight differences due to the different approaches. Criteria seem to be the same as earlier editions, although based on the new chemoarchitectonic atlas. See Paxinos et al_chemoarchitectonic_2009 for criteria","Substantia nigra, compact part, dorsal tier"
114,114,129,"Pax13_Substantia nigra, compact part, medial tier",14,0,SNCM,"Assumed similar to Paxinos et al_2015, cannot access plates from atlas","Substantia nigra, compact part, medial tier"
115,115,130,"Pax13_Substantia nigra, lateral part",14,0,SNL,"Assumed similar to Paxinos et al_2015, cannot access plates from atlas","Substantia nigra, lateral part"
116,116,131,Pax13_Amygdalostriatal transition area,14,0,ASt,"Situated between the ventral part of the caudal CPu and the amygdala, not demarcated",Amygdalostriatal transition area
117,117,132,Pax07_Magnocellular preoptic nucleus,7,0,MCPO,"Corresponds to Swanson's magnocellular nucleus, which according to the latter is a homologue to the primate Meynert nucleus. However, Paxinos also have delineated a basal nucleus of Meynert separately. Both the MCPO and B are rich in AChE",Magnocellular preoptic nucleus
118,118,133,Pax13_Lateral nucleus of the diagonal band,14,0,LDB,"Renamed from magnocellular preoptic nucleus, included in the so-called ""Diagonal domain""",Lateral nucleus of the diagonal band
119,119,134,Pax15_Lateral nucleus of the diagonal band,9,0,LDB,"Renamed from magnocellular preoptic nucleus, included in the so-called ""Diagonal domain""",Lateral nucleus of the diagonal band
120,120,142,"Pax05_Substantia innominata, basal",19,0,SI,"Marked by some TH positivity, but negative for SMI-32. Extended amygdala medial and central parts are delineated, and defined as corresponding to ventral and dorsal parts of the SI in previous editions","Substantia innominata, basal"
121,121,143,Pax05_Ventral pallidum,19,0,VP,As later editions,Ventral pallidum
122,122,144,Pax05_Globus pallidus external part,19,0,EGP,Term changed from lateral globus pallidus in order to be consistent with primate literature. Otherwise as later editions,Globus pallidus external part
123,123,145,Pax05_Globus pallidus internal part,19,0,IGP,Term changed from medial globus pallidus in order to be consistent with primate literature. Otherwise as later editions,Globus pallidus internal part
124,124,146,Pax05_Lateral stripe of striatum,19,0,LSS,As later editions,Lateral stripe of striatum
125,125,147,Pax05_Caudoputamen,19,0,CPu,As later editions,Caudoputamen
126,126,148,Pax05_Basal nucleus (Meynert),19,0,B,Presumably as later editions,Basal nucleus (Meynert)
127,127,149,Pax05_Subthalamic nucleus,19,0,STh,"Presumably as later editions, not mentioned",Subthalamic nucleus
128,128,150,Pax05_Parasubthalamic nucleus,19,0,PSTh,As later editions,Parasubthalamic nucleus
129,129,151,"Pax05_Substantia nigra, reticular part",19,0,SNR,As later editions,"Substantia nigra, reticular part"
130,130,152,"Pax05_Substantia nigra, lateral part",19,0,SNL,As later editions,"Substantia nigra, lateral part"
131,131,153,"Pax05_Substantia nigra, compact part, dorsal tier",19,0,SNCD,As later editions,"Substantia nigra, compact part, dorsal tier"
132,132,154,"Pax05_Substantia nigra, compact part, ventral tier",19,0,SNCV,As in Paxinos & Watson_2007,"Substantia nigra, compact part, ventral tier"
133,133,155,"Pax05_Substantia nigra, compact part, medial tier",19,0,SNCM,As later editions,"Substantia nigra, compact part, medial tier"
134,134,156,"Pax05_Accumbens nucleus, rostral pole",19,0,AcbR,"This is the only Paxinos & Watson version where this subregion appears, and it only does so in one section. In version 4, the rostral pole is not seen in any of the images. In later versions, the rostral tip is delineated as the shell region. This removal of the ""rostral pole"" term is not explained","Accumbens nucleus, rostral pole"
135,135,157,"Pax05_Accumbens nucleus, core",19,0,AcbC,As later editions,"Accumbens nucleus, core"
136,136,158,"Pax05_Accumbens nucleus, shell",19,0,AcbSh,"As later editions, except that the rostral pole is delineated separately and not as part of the shell","Accumbens nucleus, shell"
137,137,159,Pax07_Amygdalostriatal transition area,7,0,ASt,"Situated between the ventral part of the caudal CPu and the amygdala, not demarcated",Amygdalostriatal transition area
138,138,160,Pax05_Amygdalostriatal transition area,19,0,ASt,"Situated between the ventral part of the caudal CPu and the amygdala, not demarcated",Amygdalostriatal transition area
139,139,162,Pax98_Amygdalostriatal transition area,11,0,AStr,"Situated between the ventral part of the caudal CPu and the amygdala, not demarcated",Amygdalostriatal transition area
140,140,163,FrPax07_Amygdalostriatal transition area,13,0,ASt,"Situated between the ventral part of the caudal CPu and the amygdala, not demarcated",Amygdalostriatal transition area
141,141,164,Pax15_Basal nucleus (Meynert),9,0,B,"Presumably similarly defined among versions, although now defined as part of the diagonal domain",Basal nucleus (Meynert)
142,142,165,Pax98_Basal nucleus (Meynert),11,0,B,Presumably as later editions,Basal nucleus (Meynert)
143,143,166,FrPax01_Basal nucleus (Meynert),20,0,B,"Located at the border between external globus pallidus and internal capsule, invading both. This description is not available in any of the rat atlases, and it is unclear how it relates to the rat brain",Basal nucleus (Meynert)
144,144,167,Pax05_Lateral accumbens shell,19,0,LAcbSh,As later editions,Lateral accumbens shell
145,145,169,FrPax01_Lateral accumbens shell,20,0,LAcbSh,"Make consideration, looks different than v3 and v1",Lateral accumbens shell
146,146,170,FrPax01_Parasubthalamic nucleus,20,0,PSTh,A packed group of cells at the caudal limit of the subthalamic nucleus. Aware that people might have considered it part of STN earlier. The PSTh is more prominent in mouse than in rat,Parasubthalamic nucleus
147,147,171,Pax13_Parasubthalamic nucleus,14,0,PSTh,"Presumably same criteria as earlier editions, although based on the new chemoarchitectonic atlas",Parasubthalamic nucleus
148,148,172,Pax15_Parasubthalamic nucleus,9,0,PSTh,"As Paxinos & Watson_2013, but might be slight differences due to the different approaches",Parasubthalamic nucleus
149,149,173,FrPax01_Substantia innominata,20,0,SI,"This region probably corresponds (more or less precisely) to the dorsal and ventral substantia innominata as delineated in Paxinos & Watson_1998. In this atlas, the central and medial divisions of the sublenticular amygdala are also indicated. No basal SI component is delineated, probably included in the general term too.",Substantia innominata
150,150,175,"FrPax01_Substantia nigra, compact part",20,0,SNC,"Subdivisions not indicated, different from v3 but similar to v1","Substantia nigra, compact part"
151,151,176,"FrPax01_Substantia nigra, reticular part",20,0,SNR,As later editions,"Substantia nigra, reticular part"
152,152,177,"FrPax01_Substantia nigra, lateral part",20,0,SNL,As later editions,"Substantia nigra, lateral part"
153,153,178,FrPax01_Subthalamic nucleus,20,0,STh,"Is mentioned in the introduction, but only that it is ""prominent"". Presumably as later editions.",Subthalamic nucleus
154,154,179,FrPax01_Caudoputamen,20,0,CPu,As later editions,Caudoputamen
155,155,180,"FrPax01_Accumbens nucleus, shell",20,0,AcbSh,As later editions,"Accumbens nucleus, shell"
156,156,181,"FrPax01_Accumbens nucleus, core",20,0,AcbC,As later editions,"Accumbens nucleus, core"
157,157,182,FrPax01_Ventral pallidum,20,0,VP,As later editions,Ventral pallidum
158,158,183,FrPax01_Lateral globus pallidus,20,0,LGP,As later editions,Lateral globus pallidus
159,159,184,FrPax01_Medial globus pallidus,20,0,MGP,As later editions,Medial globus pallidus
160,160,185,FrPax01_Magnocellulcar preoptic nucleus,20,0,MCPO,As later editions,Magnocellulcar preoptic nucleus
161,161,186,FrPax07_Magnocellular preoptic nucleus,13,0,MCPO,Same criteria as Paxinos & Watson_2007,Magnocellular preoptic nucleus
162,162,187,Pax98_Magnocellular preoptic nucleus,11,0,MCPO,As later editions,Magnocellular preoptic nucleus
163,163,188,Pax05_Magnocellular preoptic nucleus,19,0,MCPO,As later editions,Magnocellular preoptic nucleus
164,164,189,"FrPax07_Interstitial nucleus of the posterior limb of the anterior commissure, lateral part",13,0,IPACL,,"Interstitial nucleus of the posterior limb of the anterior commissure, lateral part"
165,165,190,"Pax98_Interstitial nucleus of the posterior limb of the anterior commissure, lateral part",11,0,IPACL,,"Interstitial nucleus of the posterior limb of the anterior commissure, lateral part"
166,166,191,Pax98_Lateral globus pallidus,11,0,LGP,,Lateral globus pallidus
167,167,192,Pax98_Medial globus pallidus,11,0,MGP,,Medial globus pallidus
168,168,193,Sw98_Substantia nigra reticular part,27,0,SNr,As in later editions,Substantia nigra reticular part
169,169,194,Sw98_Substantia nigra compact part,27,0,SNc,As later editions,Substantia nigra compact part
170,170,195,Sw98_Caudoputamen,27,0,CP,As later editions,Caudoputamen
171,171,196,Sw98_Nucleus accumbens,27,0,ACB,"As in later editions. Presumably criteria are the same, but could be checked more thoroughly as later eds have more references. Shell and core not delineated",Nucleus accumbens
