,bg_id,bams_id,relation_type,description
54,63,32,overlapping,"Swanson's entorhinal area comprises a lateral part, a medial part, and a medial part, ventral zone. The lateral part largely overlaps with WHS lateral entorhinal cortex but also has areas overlapping with the WHS postrhinal cortex. The medial part has some overlap with the parasubiculum rostrally, but otherwise largely corresponds to WHS medial entorhinal cortex."
55,1,33,overlapping,"At +0.95 from bregma (+0.33 from Waxholm bregma), the fundus of striatum is situated inside the WHS' caudoputamen. However, this is the only overlap between WHS caudoputamen and Swanson's fundus of striatum. At 1.20 (0.65 from Waxholm bregma), the fundus of striatum appears in Swanson's atlas in the area corresponding to the lateral part of the WHS accumbens nucleus, shell. However, it is only situated in WHS' nucleus accumbens in this one section. More posteriorly, Swanson's fundus of striatum is situated within Waxholm's basal forebrain. "
56,94,33,overlapping,"At +0.95 from bregma (+0.33 from Waxholm bregma), the fundus of striatum is situated inside the WHS' caudoputamen. However, this is the only overlap between WHS caudoputamen and Swanson's fundus of striatum. At 1.20 (0.65 from Waxholm bregma), the fundus of striatum appears in Swanson's atlas in the area corresponding to the lateral part of the WHS accumbens nucleus, shell. However, it is only situated in WHS' nucleus accumbens in this one section. More posteriorly, Swanson's fundus of striatum is situated within Waxholm's basal forebrain. "
57,48,33,overlapping,"At +0.95 from bregma (+0.33 from Waxholm bregma), the fundus of striatum is situated inside the WHS' caudoputamen. However, this is the only overlap between WHS caudoputamen and Swanson's fundus of striatum. At 1.20 (0.65 from Waxholm bregma), the fundus of striatum appears in Swanson's atlas in the area corresponding to the lateral part of the WHS accumbens nucleus, shell. However, it is only situated in WHS' nucleus accumbens in this one section. More posteriorly, Swanson's fundus of striatum is situated within Waxholm's basal forebrain. "
58,30,34,overlapping,"Swanson's globus pallidus consists of a lateral and a medial segment (called external and internal segment in version 3). The WHS has an globus pallidus external part consisting of a lateral and a medial part. Both of Swanson's lateral and medial segment overlap with both of the WHS globus pallidus external parts. In addition, Swanson's globus pallidus internal segment overlaps with the WHS entopeduncular nucleus."
59,92,34,overlapping,"Swanson's globus pallidus consists of a lateral and a medial segment (called external and internal segment in version 3). The WHS has an globus pallidus external part consisting of a lateral and a medial part. Both of Swanson's lateral and medial segment overlap with both of the WHS globus pallidus external parts. In addition, Swanson's globus pallidus internal segment overlaps with the WHS entopeduncular nucleus."
60,93,34,overlapping,"Swanson's globus pallidus consists of a lateral and a medial segment (called external and internal segment in version 3). The WHS has an globus pallidus external part consisting of a lateral and a medial part. Both of Swanson's lateral and medial segment overlap with both of the WHS globus pallidus external parts. In addition, Swanson's globus pallidus internal segment overlaps with the WHS entopeduncular nucleus."
61,92,35,overlapping,"Swanson's globus pallidus external segment (GPe) overlaps with the WHS globus pallidus external, lateral part (GPEl). The rostral part of Swanson's GPe is very similar to the WHS GPEl, but the WHS GPEl appear to be sligthly larger at its rostral extreme. From Swanson's plate 21, the GPe overlaps with WHS GPEl, but not fully because of the globus pallidus external, medial part (GPEm) appearing in the WHS. In these intermediate levels, it seems that Swanson's GPE has a larger ventral extent than the combined WHS GPEl and GPEm. Caudally, from Swanson's plate 25, the GPe is part of the WHS GPEl, but covers only its most lateral part. The anteroposterior extent of the structures appear to be equal. At intermediate levels of Swanson's globus pallidus external segment (from plate 21), its medial part inculdes WHS globus pallidus external, medial part (GPEm). The most posterior end of the WHS GPEm is situated in the ventral part of Swanson's globus pallidus internal segment, however."
62,93,35,overlapping,"Swanson's globus pallidus external segment (GPe) overlaps with the WHS globus pallidus external, lateral part (GPEl). The rostral part of Swanson's GPe is very similar to the WHS GPEl, but the WHS GPEl appear to be sligthly larger at its rostral extreme. From Swanson's plate 21, the GPe overlaps with WHS GPEl, but not fully because of the globus pallidus external, medial part (GPEm) appearing in the WHS. In these intermediate levels, it seems that Swanson's GPE has a larger ventral extent than the combined WHS GPEl and GPEm. Caudally, from Swanson's plate 25, the GPe is part of the WHS GPEl, but covers only its most lateral part. The anteroposterior extent of the structures appear to be equal. At intermediate levels of Swanson's globus pallidus external segment (from plate 21), its medial part inculdes WHS globus pallidus external, medial part (GPEm). The most posterior end of the WHS GPEm is situated in the ventral part of Swanson's globus pallidus internal segment, however."
63,30,36,overlapping,"At -1.08 from bregma (-1.85 from Waxholm bregma), Swanson's globus pallidus internal segment (GPi) appears directly medially to the external segment. It overlaps both the WHS globus pallidus external lateral part (GPEl) and globus pallidus external, medial part (GPEm). At these levels, the overlap with the GPEl is primarily in the dorsal part of Swanson's GPi, while the overlap with the GPEm is in the ventral Swanson GPi. However, Swanson's GPi appears to have a larger ventral extent than the WHS GPEm. It overlaps the external globus pallidus region in WHS until -1.78 from bregma (-2.39 from Waxholm bregma), where Swanson's internal segment becomes incapsulated in the internal capsule. At -1.78 from bregma (-2.39 from Waxholm bregma), Swanson's internal segment becomes incapsulated in the internal capsule, but is much more elongated than Waxholms entopeduncular nucleus and does not match the shape. These seem to have quite similar anteroposterior extent, but still only seem to overlap slightly."
64,92,36,overlapping,"At -1.08 from bregma (-1.85 from Waxholm bregma), Swanson's globus pallidus internal segment (GPi) appears directly medially to the external segment. It overlaps both the WHS globus pallidus external lateral part (GPEl) and globus pallidus external, medial part (GPEm). At these levels, the overlap with the GPEl is primarily in the dorsal part of Swanson's GPi, while the overlap with the GPEm is in the ventral Swanson GPi. However, Swanson's GPi appears to have a larger ventral extent than the WHS GPEm. It overlaps the external globus pallidus region in WHS until -1.78 from bregma (-2.39 from Waxholm bregma), where Swanson's internal segment becomes incapsulated in the internal capsule. At -1.78 from bregma (-2.39 from Waxholm bregma), Swanson's internal segment becomes incapsulated in the internal capsule, but is much more elongated than Waxholms entopeduncular nucleus and does not match the shape. These seem to have quite similar anteroposterior extent, but still only seem to overlap slightly."
65,93,36,overlapping,"At -1.08 from bregma (-1.85 from Waxholm bregma), Swanson's globus pallidus internal segment (GPi) appears directly medially to the external segment. It overlaps both the WHS globus pallidus external lateral part (GPEl) and globus pallidus external, medial part (GPEm). At these levels, the overlap with the GPEl is primarily in the dorsal part of Swanson's GPi, while the overlap with the GPEm is in the ventral Swanson GPi. However, Swanson's GPi appears to have a larger ventral extent than the WHS GPEm. It overlaps the external globus pallidus region in WHS until -1.78 from bregma (-2.39 from Waxholm bregma), where Swanson's internal segment becomes incapsulated in the internal capsule. At -1.78 from bregma (-2.39 from Waxholm bregma), Swanson's internal segment becomes incapsulated in the internal capsule, but is much more elongated than Waxholms entopeduncular nucleus and does not match the shape. These seem to have quite similar anteroposterior extent, but still only seem to overlap slightly."
66,92,37,overlapping,"Swanson's globus pallidus lateral segment (GPl) overlaps with the WHS globus pallidus external, lateral part (GPEl). The rostral part of Swanson's GPl is very similar to the WHS GPEl, but the WHS GPEl appear to be sligthly larger at its rostral extreme. From Swanson's plate 21, the GPl overlaps with WHS GPEl, but not fully because of the globus pallidus external, medial part (GPEm) appearing in the WHS. In these intermediate levels, it seems that Swanson's GPl has a larger ventral extent than the combined WHS GPEl and GPEm. Caudally, from Swanson's plate 25, the GPl is part of the WHS GPEl, but covers only its most lateral part. The anteroposterior extent of the structures appear to be equal. At intermediate levels of Swanson's globus pallidus lateral segment (from plate 21), its medial part includes WHS globus pallidus external, medial part (GPEm). The most posterior end of the WHS GPEm is situated in the ventral part of Swanson's globus pallidus internal segment, however."
67,93,37,overlapping,"Swanson's globus pallidus lateral segment (GPl) overlaps with the WHS globus pallidus external, lateral part (GPEl). The rostral part of Swanson's GPl is very similar to the WHS GPEl, but the WHS GPEl appear to be sligthly larger at its rostral extreme. From Swanson's plate 21, the GPl overlaps with WHS GPEl, but not fully because of the globus pallidus external, medial part (GPEm) appearing in the WHS. In these intermediate levels, it seems that Swanson's GPl has a larger ventral extent than the combined WHS GPEl and GPEm. Caudally, from Swanson's plate 25, the GPl is part of the WHS GPEl, but covers only its most lateral part. The anteroposterior extent of the structures appear to be equal. At intermediate levels of Swanson's globus pallidus lateral segment (from plate 21), its medial part includes WHS globus pallidus external, medial part (GPEm). The most posterior end of the WHS GPEm is situated in the ventral part of Swanson's globus pallidus internal segment, however."
68,30,38,overlapping,"At -1.78 from bregma (-2.39 from Waxholm bregma), Swanson's medial segment becomes incapsulated in the internal capsule, but is much more elongated than Waxholms entopeduncular nucleus and does not match the shape. These seem to have quite similar anteroposterior extent, but still only seem to overlap slightly."
69,92,38,overlapping,"At -1.78 from bregma (-2.39 from Waxholm bregma), Swanson's medial segment becomes incapsulated in the internal capsule, but is much more elongated than Waxholms entopeduncular nucleus and does not match the shape. These seem to have quite similar anteroposterior extent, but still only seem to overlap slightly."
70,93,38,overlapping,"At -1.78 from bregma (-2.39 from Waxholm bregma), Swanson's medial segment becomes incapsulated in the internal capsule, but is much more elongated than Waxholms entopeduncular nucleus and does not match the shape. These seem to have quite similar anteroposterior extent, but still only seem to overlap slightly."
71,43,39,overlapping,"At its rostral extreme, Swanson's gustatory areas overlap with the WHS dorsolateral orbital cortex. After this, Swanson's area overlaps with several cortical regions in the WHS, primarily the dysgranular insular cortex and granular insular cortex. However, at some intermediate levels it seems that the most dorsal part of Swanson's gustatory areas also overlap with WHS primary somatosensory area, upper lip region (face)"
72,45,39,overlapping,"At its rostral extreme, Swanson's gustatory areas overlap with the WHS dorsolateral orbital cortex. After this, Swanson's area overlaps with several cortical regions in the WHS, primarily the dysgranular insular cortex and granular insular cortex. However, at some intermediate levels it seems that the most dorsal part of Swanson's gustatory areas also overlap with WHS primary somatosensory area, upper lip region (face)"
73,64,39,overlapping,"At its rostral extreme, Swanson's gustatory areas overlap with the WHS dorsolateral orbital cortex. After this, Swanson's area overlaps with several cortical regions in the WHS, primarily the dysgranular insular cortex and granular insular cortex. However, at some intermediate levels it seems that the most dorsal part of Swanson's gustatory areas also overlap with WHS primary somatosensory area, upper lip region (face)"
74,65,39,overlapping,"At its rostral extreme, Swanson's gustatory areas overlap with the WHS dorsolateral orbital cortex. After this, Swanson's area overlaps with several cortical regions in the WHS, primarily the dysgranular insular cortex and granular insular cortex. However, at some intermediate levels it seems that the most dorsal part of Swanson's gustatory areas also overlap with WHS primary somatosensory area, upper lip region (face)"
75,66,40,identical,"The infralimbic area in Swanson's atlas is very similar to WHS infralimbic cortex. However, at one level close to the genu of the corpus callosum, Swanson's infralimbic area overlaps WHS prelimbic cortex. At this level, the WHS infralimbic cortex is situated ventral to the corpus callosum while the Swanson version is dorsal to it."
76,67,40,overlapping,"The infralimbic area in Swanson's atlas is very similar to WHS infralimbic cortex. However, at one level close to the genu of the corpus callosum, Swanson's infralimbic area overlaps WHS prelimbic cortex. At this level, the WHS infralimbic cortex is situated ventral to the corpus callosum while the Swanson version is dorsal to it."
77,32,41,part of,Swanson's Interfascicular nucleus raphe (IF) is part of the WHS Brainstem
78,68,42,includes,"Swanson's lateral habenular nucleus includes the WHS lateral habenular nucleus, lateral part, and lateral habenular nucleus, medial part"
79,69,42,includes,"Swanson's lateral habenular nucleus includes the WHS lateral habenular nucleus, lateral part, and lateral habenular nucleus, medial part"
80,48,43,overlapping,"The rostral part of Swanson's lateral hypothalamic area is part of the WHS brainstem, the intermediate part is situated in WHS hypothalamic region, and the posterior part is situated in the WHS brainstem"
81,51,43,overlapping,"The rostral part of Swanson's lateral hypothalamic area is part of the WHS brainstem, the intermediate part is situated in WHS hypothalamic region, and the posterior part is situated in the WHS brainstem"
82,32,43,overlapping,"The rostral part of Swanson's lateral hypothalamic area is part of the WHS brainstem, the intermediate part is situated in WHS hypothalamic region, and the posterior part is situated in the WHS brainstem"
83,51,44,part of,Swanson's Lateral hypothalamic area juxtaparaventricular region (LHAjp) is part of the WHS hypothalamic region
84,48,45,part of,Swanson's Lateral hypothalamic area suprafornical region (LHAs) is part of the WHS basal forebrain region
85,52,46,part of,Swanson's Lateral nucleus of the amygdala (LA) is part of the WHS neocortex
86,48,47,part of,Swanson's Lateral preoptic area (LPO) is part of the WHS basal forebrain region
87,70,48,part of,"Swanson's lateral septal nucleus ventral part (LSv) is part of the WHS septal region. A small part of the posterior LSv might, however, overlap with WHS bed nucleus of the stria terminalis"
88,32,49,part of,Swanson's Locus coeruleus (LC) is part of the WHS Brainstem
89,48,50,overlapping,"The rostral part of Swanson's medial preoptic area is part of WHS basal forebrain, the caudal part is situated in WHS hypothalamic region"
90,51,50,overlapping,"The rostral part of Swanson's medial preoptic area is part of WHS basal forebrain, the caudal part is situated in WHS hypothalamic region"
91,48,51,overlapping,"The rostral part of Swanson's medial preoptic nucleus is part of WHS basal forebrain, the caudal part is situated in WHS hypothalamic region"
92,51,51,overlapping,"The rostral part of Swanson's medial preoptic nucleus is part of WHS basal forebrain, the caudal part is situated in WHS hypothalamic region"
93,94,53,overlapping,"Swanson's nucleus accumbens (ACB) largely includes the WHS accumbens nucleus, shell, but is slightly more narrowly defined. In particular, WHS nucleus accumbens, shell is visible at a more rostral level than the Swanson ACB. In this area, the WHS nucleus accumbens shell overlaps with olfactory areas in the Swanson atlas. From Swanson's plate 10, the ACB includes the WHS accumbens nucleus, shell, with borders that look fairly similar (although the dorsal border with the caudoputamen appears to be slightly more dorsally placed in the Swanson atlas). Swanson's nucleus accumbens (ACB) furthermore includes the WHS accumbens nucleus, core. The WHS region is included in the ACB throughout the latters anteroposterior extent."
94,95,53,part of,"Swanson's nucleus accumbens (ACB) largely includes the WHS accumbens nucleus, shell, but is slightly more narrowly defined. In particular, WHS nucleus accumbens, shell is visible at a more rostral level than the Swanson ACB. In this area, the WHS nucleus accumbens shell overlaps with olfactory areas in the Swanson atlas. From Swanson's plate 10, the ACB includes the WHS accumbens nucleus, shell, with borders that look fairly similar (although the dorsal border with the caudoputamen appears to be slightly more dorsally placed in the Swanson atlas). Swanson's nucleus accumbens (ACB) furthermore includes the WHS accumbens nucleus, core. The WHS region is included in the ACB throughout the latters anteroposterior extent."
95,56,54,part of,Swanson's Nucleus incertus compact part (NIc) is part of the WHS periventricular gray
96,56,55,part of,Swanson's Nucleus incertus diffuse part (NId) is part of the WHS periventricular gray
97,71,56,part of,Swanson's orbital area medial part is part of the medial orbital cortex in the WHS. It has a similar anteroposterior extent but a smaller dorsolateral extent.
98,72,57,identical,Swanson's orbital area ventral part (sometimes referred to as ventrolateral part in the plates) is largely identical to the WHS ventral orbital cortex
99,32,58,part of,Swanson's Pedunculopontine nucleus (PPN) is part of the WHS Brainstem
100,55,59,part of,Swanson's Periaqueductal gray (PAG) is part of the WHS periaqueductal gray
101,57,60,part of,"Swanson's perirhinal area is quite similar to the WHS perirhinal area 35, although the WHS region is slightly larger dorsally."
102,51,61,overlapping,"Swanson's posterior hypothalamic nucleus is mainly situated in the WHS hypothalamic region, but posteriorly, the dorsal part is situated in WHS brainstem."
103,32,61,overlapping,"Swanson's posterior hypothalamic nucleus is mainly situated in the WHS hypothalamic region, but posteriorly, the dorsal part is situated in WHS brainstem."
104,48,62,overlapping,"A small part of Swanson's posterior nucleus of the amygdala anteriorly overlaps with WHS basal forebrain, while the rest is situated in WHS neocortex"
105,52,62,overlapping ,"A small part of Swanson's posterior nucleus of the amygdala anteriorly overlaps with WHS basal forebrain, while the rest is situated in WHS neocortex"
