,ID,Region_name,Nomenclature,Abbreviation,Comments
13,20,Pax07_Globus pallidus,7,GP,"The external part of the GP, previously referred to as the lateral or external part of the GP. See Paxinos et al_chemoarchitectonic_2009 for criteria"
14,21,Pax07_Entopeduncular nucleus,7,EP,The previously named medial or internal part of the GP
15,22,Pax07_Lateral stripe of striatum,7,LSS,"As earlier editions. Described as a dense band of cells, negative to CB and more lightly stained for TH than surrounding areas"
16,23,"Pax07_Accumbens nucleus, shell",7,AcbSh,"See Paxinos et al_chemoarchitectonic_1999 for criteria. Defined as later editions, although differences might exist due to revision of delineations and a more extensive chemoarchitectonic atlas"
17,24,Pax07_Substantia nigra reticular part,7,SNR,May be subdivided into dorsomedial and ventrolateral parts based on PV and CB distribution. See Paxinos et al_chemoarchitectonic_1999 for criteria?
18,26,"Pax07_Substantia nigra compacta part, ventral tier",7,SNCV,See Paxinos et al_chemoarchitectonic_1999 for criteria?
19,27,"Pax07_Substantia nigra compacta part, dorsal tier",7,SNCD,See Paxinos et al_chemoarchitectonic_1999 for criteria?
20,28,"Pax07_Substantia nigra compacta part, medial tier",7,SNCM,See Paxinos et al_chemoarchitectonic_1999 for criteria?
21,29,Pax07_Substantia nigra lateral part,7,SNL,See Paxinos et al_chemoarchitectonic_1999 for criteria?
22,30,Pax07_Subthalamic nucleus,7,STh,See Paxinos et al_chemoarchitectonic_1999 for criteria?
23,31,Pax07_Caudoputamen,7,Cpu,See Paxinos et al_chemoarchitectonic_2009 for criteria
24,32,Sw04_Subthalamic nucleus,6,STN,
25,33,Sw04_Parasubthalamic nucleus,6,PSTN,
26,38,"Pax15_Lateral accumbens, shell region",9,LAcbSh,"As Paxinos & Watson_2013, but might be slight differences due to the different approaches"
27,39,Pax15_Internal part of the globus pallidus,9,IGP,Same as Paxinos & Watson_2013
28,40,Pax15_External part of the globus pallidus,9,EGP,"Same as Paxinos & Watson_2013, but might be slight differences due to the different approaches. See Paxinos et al_chemoarchitectonic_2009 for criteria"
29,41,Pax15_Entopeduncular nucleus,9,EP,Same as Paxinos & Watson_2013
30,42,Pax15_Lateral stripe of striatum,9,LSS,Same as Paxinos & Watson_2013
31,43,"Pax15_Accumbens nucleus, core region",9,AcbC,"Same as Paxinos & Watson_2013, but might be slight differences due to the different approaches"
32,44,"Pax15_Accumbens nucleus, shell region",9,AcbSh,"Same as Paxinos & Watson_2013, but might be slight differences due to the different approaches"
33,45,Pax15_Caudoputamen,9,CPu,"Same as Paxinos & Watson_2013, but might be slight differences due to the different approaches. See Paxinos et al_chemoarchitectonic_2009 for criteria"
34,46,Pax15_Amygdalastriatal transition area,9,ASt,Same as Paxinos & Watson_2013
35,47,Pax15_Subthalamic nucleus,9,STh,"Looks quite similar to Paxinos & Watson_2007, might be slight differences. Classified as part of hypothalamus"
36,48,"Pax15_Substantia nigra, compact part, dorsal tier",9,SNCD,"Looks quite similar to Paxinos & Watson_2007, might be slight differences"
37,49,"Pax15_Substantia nigra, compact part, medial tier",9,SNCM,"Looks quite similar to Paxinos & Watson_2007, might be slight differences. Might be slight differences due to the different approaches. Criteria seem to be the same as earlier editions, although based on the new chemoarchitectonic atlas. See Paxinos et al_chemoarchitectonic_2009 for criteria"
38,50,"Pax15_Substantia nigra, lateral part",9,SNL,"As Paxinos & Watson_2013, but might be slight differences due to the different approaches. Criteria seem to be the same as earlier editions, although based on the new chemoarchitectonic atlas. See Paxinos et al_chemoarchitectonic_2009 for criteria"
39,51,"Pax15_Substantia nigra, reticular part",9,SNR,"SNR in this version contains the SNCV from Paxinos & Watson_2007. Otherwise criteria seem to be the same as earlier editions, although based on the new chemoarchitectonic atlas. See Paxinos et al_chemoarchitectonic_2009 for criteria"
40,52,"Pax15_Substantia innominata, basal part",9,SIB,"As Paxinos & Watson_2013, but might be slight differences due to the different approaches"
41,53,Pax15_Ventral pallidum,9,VP,"As Paxinos & Watson_2013, but might be slight differences due to the different approaches. Criteria seem to be the same as earlier editions, although based on the new chemoarchitectonic atlas"
42,54,PaxCh09_Caudoputamen,10,Cpu,"Calbindin staining in the CPu reveals patchiness medially, and virtually no staining laterally. The matrix is positive, but patches are negative. PV shows stronger immunoreactivity dorsolaterally. This complimentary CB/PV staining is only found rostrally."
43,55,"PaxCh09_Accumbens nucleus, core",10,AcbC,"Strong CB immunoreactivity, positive for TH"
44,56,PaxCh09_Globus pallidus,10,GP,"External globus pallidus. Positive to PV, negative for CB, CR, NADPH-d"
45,57,PaxCh09_Ventral pallidum,10,VP,"PV positive, easy to recognize in such sections, as well as neurofilament protein stained sections. Faintly stained for CB and CR. Negative for NADPH-d."
46,58,"PaxCh09_Substantia innominata, basal",10,SIB,"A sliver between the diagonal band nuclei and ventral pallidum, distinguished by it lack of PV reactivity and positivity for CB relatively to surrounding structures."
47,59,"PaxCh09_Substantia nigra, compact part, dorsal tier",10,SNCD,"Lightly stained for PV, free of CB, occasional CR reactivity."
48,60,"PaxCh09_Substantia nigra, reticular part",10,SNR,"PV positive, free of CR. CB positive, especially in the dorsomedial tier."
49,61,"PaxCh09_Accumbens nucleus, shell",10,AcbSh,Rostral tip termed shell. Enhanced in TH reactivity compared to the core.
50,62,PaxCh09_Lateral stripe of striatum,10,LSS,"Dense band of cells in cresyl violet stained sections, negative to CB"
51,63,PaxCh09_Lateral accumbens shell,10,LAcbSh,No specific criteria given
52,64,PaxCh09_Entopeduncular nucleus,10,EP,Criteria not described
53,65,PaxCh09_Amygdalostriatal transition area,10,ASt,
54,66,PaxCh09_Subthalamic nucleus,10,STh,"Positive for NADPH-d and PV, negative for CB"
55,67,PaxCh09_Parasubthalamic nucleus,10,PSTh,"Positive for CR, negative for PV and CB"
56,68,"PaxCh09_Substantia nigra, lateral part",10,SNL,Occasional CR reactivity
57,69,"PaxCh09_Substantia nigra, compact part, ventral tier",10,SNCV,"Lightly stained for PV, free of CB, occasional CR reactivity."
58,70,"PaxCh09_Substantia nigra, compact part, medial tier",10,SNCM,"Lightly stained for PV, free of CB, occasional CR reactivity"
59,71,Pax98_Caudoputamen,11,CPu,As later editions
60,72,Pax98_Ventral pallidum,11,VP,As later editions
61,73,Pax98_Lateral stripe of striatum,11,LSS,As later editions
62,74,"Pax98_Accumbens nucleus, shell",11,AcbSh,As later editions
63,75,"Pax98_Accumbens nucleus, core",11,AcbC,As later editions
64,76,Pax98_Lateral accumbens shell,11,LAcbSh,As later editions
65,77,Pax98_Subthalamic nucleus,11,STh,"Presumably as in later editions, not mentioned"
66,78,"Pax98_Substantia nigra, reticular part",11,SNR,"As later editions, although the dorsomedial and ventrolateral regions are indicated in one section (but not the rest)"
67,79,"Pax98_Substantia nigra, lateral part",11,SNL,As later editions
68,80,"Pax98_Substantia nigra, compact part, dorsal tier",11,SNCD,As later editions
69,81,"Pax98_Substantia nigra, compact part, ventral tier",11,SNCV,As later editions
70,82,"Pax98_Substantia nigra, compact part, medial tier",11,SNCM,As later editions
71,84,"Pax98_Substantia innominata, basal",11,SIB,Presumably same as in later editions
72,85,"Pax98_Substantia innominata, dorsal",11,SID,"Roughly corresponds to the sublenticular extended amygdala, central part in later editions"
73,86,"Pax98_Substantia innominata, ventral",11,SIV,"Roughly corresponds to the sublenticular extended amygdala, medial part in later editions"
74,87,Sw92_Caudoputamen,12,CP,As later editions
75,88,Sw92_Nucleus accumbens,12,ACB,"As in later editions. Presumably criteria are the same, but could be checked more thoroughly as later eds have more references. Shell and core not delineated"
76,89,Sw92_Fundus of striatum,12,FS,As later editions
77,90,Sw92_Globus pallidus lateral segment,12,GPl,"Corresponds to GPe in later editions. Presumably criteria are the same, but could be checked more thoroughly as later eds have more references"
78,91,Sw92_Globus pallidus medial segment,12,GPm,"Corresponds to GPi in later editions. Presumably criteria are the same, but could be checked more thoroughly as later eds have more references"
79,92,Sw92_Substantia innominata,12,SI,"Presumably as in later editions. The definition, which is that the SI has been renamed ""ventral pallidum"", is inconsistent with the information in the cited reference. Nevertheless, the SI has been kept as the term for this large region"
80,94,Sw92_Subthalamic nucleus,12,STN,As in later editions
81,95,Sw92_Substantia nigra compact part,12,SNc,As later editions
82,96,Sw92_Substantia nigra reticular part,12,SNr,As in later editions
83,97,FrPax07_Caudoputamen,13,CPu,Same criteria as Paxinos & Watson_2007
84,98,"FrPax07_Accumbens nucleus, shell",13,AcbSh,Same criteria as Paxinos & Watson_2007
85,99,"FrPax07_Accumbens nucleus, core",13,AcbC,Same criteria as Paxinos & Watson_2007
86,100,FrPax07_Ventral pallidum,13,VP,Same criteria as Paxinos & Watson_2007
87,101,FrPax07_Lateral accumbens shell,13,LAcbSh,Same criteria as Paxinos & Watson_2007
88,102,FrPax07_Lateral stripe of striatum,13,LSS,Same criteria as Paxinos & Watson_2007
89,103,"FrPax07_Substantia innominata, basal part",13,SIB,Same criteria as Paxinos & Watson_2007
90,104,FrPax07_Basal nucleus (Meynert),13,B,Presumably as earlier editions
91,105,FrPax07_Globus pallidus,13,GP,Same criteria as Paxinos & Watson_2007
92,106,FrPax07_Entopeduncular nucleus,13,EP,Same criteria as Paxinos & Watson_2007
93,107,"FrPax07_Substantia nigra, reticular part",13,SNR,Same criteria as Paxinos & Watson_2007
94,108,"FrPax07_Substantia nigra, compact part",13,SNc,Same criteria as Paxinos & Watson_2007
95,109,"FrPax07_Substantia nigra, lateral part",13,SNL,Same criteria as Paxinos & Watson_2007
96,110,"FrPax07_Substantia nigra, compact part, dorsal tier",13,SNCD,Same criteria as Paxinos & Watson_2007
97,111,"FrPax07_Substantia nigra, compact part, medial tier",13,SNCM,Same criteria as Paxinos & Watson_2007
98,112,FrPax07_Subthalamic nucleus,13,STh,"Same criteria as Paxinos & Watson_2007. Unclear if it differs significantly from the criteria in the rat, as it is specially mentioned in v2, but probably not."
99,114,Pax07_Basal nucleus (Meynert),7,B,Presumably as later editions
100,115,Pax13_Caudoputamen,14,CPu,"Same criteria as Paxinos & Watson_2007, although based on the new chemoarchitectonic atlas"
101,116,Pax13_Lateral stripe of striatum,14,LSS,"Same criteria as Paxinos & Watson_2007, although based on the new chemoarchitectonic atlas. See Paxinos et al_chemoarchitectonic_2009 for criteria"
102,117,"Pax13_Accumbens nucleus, shell",14,AcbSh,"Same criteria as Paxinos & Watson_2007, although differences might exist due to revision of delineations and a more extensive chemoarchitectonic atlas"
103,118,"Pax13_Accumbens nucleus, core",14,AcbC,"Same criteria as Paxinos & Watson_2007, although based on the new chemoarchitectonic atlas"
104,119,Pax13_Lateral accumbens shell,14,LAcbSh,"First version with border of LAcbSh defined, otherwise same criteria as Paxinos & Watson_2007"
105,120,Pax13_Ventral pallidum,14,VP,"Same criteria as Paxinos & Watson_2007, although based on new cytoarchitectonic atlas"
106,121,"Pax13_Substantia innominata, basal part",14,SIB,"Presumably defined as in earlier editions, although based on the new chemoarchitectonic atlas. See Paxinos et al_chemoarchitectonic_2009 for criteria"
107,122,Pax13_External part of the globus pallidus,14,EGP,Defined as the lateral part only of what was previously considered EGP
108,123,Pax13_Internal part of the globus pallidus,14,IGP,"Defined as a part of what has previously been considered EGP, situated directly medial to it"
109,124,Pax13_Basal nucleus (Meynert),14,B,"Presumably as earlier editions, although now defined as part of the diagonal domain"
110,125,Pax13_Entopeduncular nucleus,14,EP,"Looks similar to previous versions upon visual inspection, but is not considered homologue of primate IGP but part of hypothalamus"
111,126,Pax13_Subthalamic nucleus,14,STh,"Not described, presumably similar to as in Paxinos et al_2015. Classified as part of hypothalamus"
112,127,"Pax13_Substantia nigra, reticular part",14,SNR,"Assumed similar to Paxinos et al_2015, cannot access plates from atlas"
113,128,"Pax13_Substantia nigra, compact part, dorsal tier",14,SNCD,"Presumably as Paxinos et al_2015, cannot access plates from atlas. Might be slight differences due to the different approaches. Criteria seem to be the same as earlier editions, although based on the new chemoarchitectonic atlas. See Paxinos et al_chemoarchitectonic_2009 for criteria"
114,129,"Pax13_Substantia nigra, compact part, medial tier",14,SNCM,"Assumed similar to Paxinos et al_2015, cannot access plates from atlas"
115,130,"Pax13_Substantia nigra, lateral part",14,SNL,"Assumed similar to Paxinos et al_2015, cannot access plates from atlas"
116,131,Pax13_Amygdalostriatal transition area,14,ASt,"Situated between the ventral part of the caudal CPu and the amygdala, not demarcated"
117,132,Pax07_Magnocellular preoptic nucleus,7,MCPO,"Corresponds to Swanson's magnocellular nucleus, which according to the latter is a homologue to the primate Meynert nucleus. However, Paxinos also have delineated a basal nucleus of Meynert separately. Both the MCPO and B are rich in AChE"
118,133,Pax13_Lateral nucleus of the diagonal band,14,LDB,"Renamed from magnocellular preoptic nucleus, included in the so-called ""Diagonal domain"""
119,134,Pax15_Lateral nucleus of the diagonal band,9,LDB,"Renamed from magnocellular preoptic nucleus, included in the so-called ""Diagonal domain"""
120,142,"Pax05_Substantia innominata, basal",19,SI,"Marked by some TH positivity, but negative for SMI-32. Extended amygdala medial and central parts are delineated, and defined as corresponding to ventral and dorsal parts of the SI in previous editions"
121,143,Pax05_Ventral pallidum,19,VP,As later editions
122,144,Pax05_Globus pallidus external part,19,EGP,Term changed from lateral globus pallidus in order to be consistent with primate literature. Otherwise as later editions
123,145,Pax05_Globus pallidus internal part,19,IGP,Term changed from medial globus pallidus in order to be consistent with primate literature. Otherwise as later editions
124,146,Pax05_Lateral stripe of striatum,19,LSS,As later editions
125,147,Pax05_Caudoputamen,19,CPu,As later editions
126,148,Pax05_Basal nucleus (Meynert),19,B,Presumably as later editions
127,149,Pax05_Subthalamic nucleus,19,STh,"Presumably as later editions, not mentioned"
128,150,Pax05_Parasubthalamic nucleus,19,PSTh,As later editions
129,151,"Pax05_Substantia nigra, reticular part",19,SNR,As later editions
130,152,"Pax05_Substantia nigra, lateral part",19,SNL,As later editions
131,153,"Pax05_Substantia nigra, compact part, dorsal tier",19,SNCD,As later editions
132,154,"Pax05_Substantia nigra, compact part, ventral tier",19,SNCV,As in Paxinos & Watson_2007
133,155,"Pax05_Substantia nigra, compact part, medial tier",19,SNCM,As later editions
134,156,"Pax05_Accumbens nucleus, rostral pole",19,AcbR,"This is the only Paxinos & Watson version where this subregion appears, and it only does so in one section. In version 4, the rostral pole is not seen in any of the images. In later versions, the rostral tip is delineated as the shell region. This removal of the ""rostral pole"" term is not explained"
135,157,"Pax05_Accumbens nucleus, core",19,AcbC,As later editions
136,158,"Pax05_Accumbens nucleus, shell",19,AcbSh,"As later editions, except that the rostral pole is delineated separately and not as part of the shell"
137,159,Pax07_Amygdalostriatal transition area,7,ASt,"Situated between the ventral part of the caudal CPu and the amygdala, not demarcated"
138,160,Pax05_Amygdalostriatal transition area,19,ASt,"Situated between the ventral part of the caudal CPu and the amygdala, not demarcated"
139,162,Pax98_Amygdalostriatal transition area,11,AStr,"Situated between the ventral part of the caudal CPu and the amygdala, not demarcated"
140,163,FrPax07_Amygdalostriatal transition area,13,ASt,"Situated between the ventral part of the caudal CPu and the amygdala, not demarcated"
141,164,Pax15_Basal nucleus (Meynert),9,B,"Presumably similarly defined among versions, although now defined as part of the diagonal domain"
142,165,Pax98_Basal nucleus (Meynert),11,B,Presumably as later editions
143,166,FrPax01_Basal nucleus (Meynert),20,B,"Located at the border between external globus pallidus and internal capsule, invading both. This description is not available in any of the rat atlases, and it is unclear how it relates to the rat brain"
144,167,Pax05_Lateral accumbens shell,19,LAcbSh,As later editions
145,169,FrPax01_Lateral accumbens shell,20,LAcbSh,"Make consideration, looks different than v3 and v1"
146,170,FrPax01_Parasubthalamic nucleus,20,PSTh,A packed group of cells at the caudal limit of the subthalamic nucleus. Aware that people might have considered it part of STN earlier. The PSTh is more prominent in mouse than in rat
147,171,Pax13_Parasubthalamic nucleus,14,PSTh,"Presumably same criteria as earlier editions, although based on the new chemoarchitectonic atlas"
148,172,Pax15_Parasubthalamic nucleus,9,PSTh,"As Paxinos & Watson_2013, but might be slight differences due to the different approaches"
149,173,FrPax01_Substantia innominata,20,SI,"This region probably corresponds (more or less precisely) to the dorsal and ventral substantia innominata as delineated in Paxinos & Watson_1998. In this atlas, the central and medial divisions of the sublenticular amygdala are also indicated. No basal SI component is delineated, probably included in the general term too."
150,175,"FrPax01_Substantia nigra, compact part",20,SNC,"Subdivisions not indicated, different from v3 but similar to v1"
151,176,"FrPax01_Substantia nigra, reticular part",20,SNR,As later editions
152,177,"FrPax01_Substantia nigra, lateral part",20,SNL,As later editions
153,178,FrPax01_Subthalamic nucleus,20,STh,"Is mentioned in the introduction, but only that it is ""prominent"". Presumably as later editions."
154,179,FrPax01_Caudoputamen,20,CPu,As later editions
155,180,"FrPax01_Accumbens nucleus, shell",20,AcbSh,As later editions
156,181,"FrPax01_Accumbens nucleus, core",20,AcbC,As later editions
157,182,FrPax01_Ventral pallidum,20,VP,As later editions
158,183,FrPax01_Lateral globus pallidus,20,LGP,As later editions
159,184,FrPax01_Medial globus pallidus,20,MGP,As later editions
160,185,FrPax01_Magnocellulcar preoptic nucleus,20,MCPO,As later editions
161,186,FrPax07_Magnocellular preoptic nucleus,13,MCPO,Same criteria as Paxinos & Watson_2007
162,187,Pax98_Magnocellular preoptic nucleus,11,MCPO,As later editions
163,188,Pax05_Magnocellular preoptic nucleus,19,MCPO,As later editions
164,189,"FrPax07_Interstitial nucleus of the posterior limb of the anterior commissure, lateral part",13,IPACL,
165,190,"Pax98_Interstitial nucleus of the posterior limb of the anterior commissure, lateral part",11,IPACL,
166,191,Pax98_Lateral globus pallidus,11,LGP,
167,192,Pax98_Medial globus pallidus,11,MGP,
168,193,Sw98_Substantia nigra reticular part,27,SNr,As in later editions
169,194,Sw98_Substantia nigra compact part,27,SNc,As later editions
170,195,Sw98_Caudoputamen,27,CP,As later editions
171,196,Sw98_Nucleus accumbens,27,ACB,"As in later editions. Presumably criteria are the same, but could be checked more thoroughly as later eds have more references. Shell and core not delineated"
172,197,Sw98_Fundus of striatum,27,FS,As later editions
173,198,Sw98_Globus pallidus lateral segment,27,GPl,"Corresponds to GPe in later editions. Presumably criteria are the same, but could be checked more thoroughly as later eds have more references"
174,199,Sw98_Globus pallidus medial segment,27,GPm,"Corresponds to GPi in later editions. Presumably criteria are the same, but could be checked more thoroughly as later eds have more references"
175,200,Sw98_Substantia innominata,27,SI,"Presumably as in later editions. The definition, which is that the SI has been renamed ""ventral pallidum"", is inconsistent with the information in the cited reference. Nevertheless, the SI has been kept as the term for this large region"
176,201,Sw98_Subthalamic nucleus,27,STN,As in later editions
177,202,Pax86_Caudoputamen,28,Cpu,"As later eds, but there is no ""lateral stripe of striatum"""
178,203,"Pax86_Accumbens nucleus, core",28,AcbC,As later eds
179,204,"Pax86_Accumbens nucleus, shell",28,AcbSh,"As later eds, but might be small differences due to adjacent regions being differently defined"
180,205,Pax86_Fundus striati,28,FStr,"Referred to as a ""ventrolateral pocket of striatum"", later the anterior part of this structure is referred to as lateral accumbens shell, while the most posterior, subcommisural part is labelled IPAC in later eds"
181,206,Pax86_Globus pallidus,28,GP,As later eds
182,207,Pax86_Ventral pallidum,28,VP,"Needs to be considered, seems smaller posteriorly in v2 compared to v4"
183,208,Pax86_Entopeduncular nucleus,28,EP,As later eds
184,209,Pax86_Subthalamic nucleus,28,STh,As later eds
185,210,"Pax86_Substantia nigra, pars reticulata",28,SNR,As later eds
186,211,"Pax86_Substantia nigra, pars compacta",28,SNC,Make consideration of relation
187,212,"Pax86_Substantia nigra, pars lateralis",28,SNL,Make consideration of relation
188,213,"FrPax96_Accumbens nucleus, core",29,AcbC,As later eds
189,214,"FrPax96_Accumbens nucleus, shell",29,AcbSh,As later eds
190,215,FrPax96_Caudoputamen,29,Cpu,As later eds
191,216,FrPax96_Lateral stripe of striatum,29,LSt,As later eds
192,217,FrPax96_Ventral pallidum,29,VP,"Basically the same, only very slightly larger in some places in v3"
193,218,FrPax96_Lateral accumbens shell,29,LAcbSh,"Looks different, appears much earlier in v3, make consideration"
194,219,FrPax96_Subthalamic nucleus,29,STh,As later eds
195,220,"FrPax96_Substantia nigra, pars reticulata",29,SNR,As later eds
196,221,"FrPax96_Substantia nigra, pars compacta",29,SNC,As v2
197,222,"FrPax96_Substantia nigra, pars lateralis",29,SNL,As later eds
198,223,FrPax96_Medial globus pallidus,29,MGP,As later eds
199,224,FrPax96_Lateral globus pallidus,29,LGP,As later eds
200,225,FrPax96_Amygdalostriatal transition area,29,Astr,As later eds
201,226,FrPax01_Amygdalostriatal transition area,20,AStr,As later eds
202,227,"FrPax96_Interstitial nucleus of the posterior limb of the anterior commissure, lateral part",29,IPACL,As later eds
203,228,"FrPax01_Interstitial nucleus of the posterior limb of the anterior commissure, lateral part",20,IPACL,As later eds
204,229,CustomMouse_Caudoputamen,21,,
205,230,CustomRat_Caudoputamen,22,,
206,231,CustomMouse_Nucleus accumbens,21,,
207,232,"CustomMouse_Striatum, anterior dorsal part",21,aDS,
208,233,"CustomMouse_Striatum, core ventral part",21,CoVS,
209,234,"CustomMouse_Striatum, posterior dorsolateral part",21,pDLS,
210,235,"CustomMouse_Striatum, posterior dorsomedial part",21,pDMS,
211,236,"CustomMouse_Striatum, shell ventral part",21,ShVS,
212,237,Pax05_Accumbens nucleus,19,Acb,
213,238,"Pax05_Substantia nigra, compact part",19,SNC,
214,239,CustomRat_striosome,22,,
215,240,CustomRat_matrix,22,,
216,241,CustomMouse_Dorsomedial striatum,21,dmStr,
217,242,"CustomMouse_Substantia nigra, pars compacta",21,snc,
218,243,CustomRat_Substantia nigra,22,SN,
219,244,Pax98_Substantia nigra,11,SN,
220,246,Pax86_Substantia nigra,28,SN,
221,247,CustomRat_Striatum,22,Str,
222,248,CustomMouse_Substantia nigra,21,,
223,249,"CustomRat_striatum, lateral",22,StrL,
224,250,"CustomRat_Striatum, medial",22,StrM,
225,251,CustomRat_nucleus accumbens shell region,22,NAcSh,
226,252,"CustomRat_Nucleus accumbens, core region",22,NacC,
227,253,CustomMouse_Dorsolateral striatum,21,dlStr,
228,254,FrPax96_Accumbens nucleus,29,Nacc,
229,255,Pax98_Accumbens nucleus,11,Nacc,
230,256,"CustomRat_Substantia nigra, compact part",22,SNC,
231,257,"CustomRat_Substantia nigra, reticular part",22,SNR,
232,258,CustomRat_Globus pallidus,22,GP,
233,259,CustomRat_Subthalamic nucleus,22,STh,
234,260,CustomRat_Entopeduncular nucleus,22,EP,
235,261,"CustomRat_Accumbens nucleus, rostral pole",22,NacR,
236,262,"CustomRat_Striatum, rostral dorsal part",22,,
237,263,"CustomRat_Substantia nigra, compact part, dorsal part",22,,
238,264,"CustomRat_Substantia nigra, compact part, lateral part",22,,
239,265,"CustomRat_Substantia nigra, compact part, ventral part",22,,
240,266,CustomMouse_Dorsal striatum,21,,
241,267,"CustomRat_Striatum, dorsolateral",22,,
242,268,"CustomRat_Striatum, ventromedial",22,,
243,269,CustomRat_nucleus accumbens,22,,
244,270,"CustomMouse_Nucleus accumbens, core region",21,,
245,271,Pax05_Substantia nigra,19,SN,
246,272,CustomMouse_Globus pallidus,21,,
247,273,CustomMouse_Subthalamic nucleus,21,,
248,274,"CustomMouse_Substantia nigra, pars reticulata",21,,
249,275,CustomMouse_Striatum,21,,
250,276,CustomRat_Neostriatum,22,nstr,
251,277,"CustomRat_Accumbens core, medial",22,,
252,278,"Pax98_Substantia nigra, compact part",11,,
253,279,CustomMouse_Entopeduncular nucleus,21,,
254,280,"CustomRat_Striatum, dorsomedial",22,,
255,281,CustomRat_Dorsal striatum,22,,
256,283,CustomRat_External globus pallidus,22,,
257,284,CustomRat_Internal globus pallidus,22,,
258,285,"Pax07_Substantia nigra, compacta part",7,SNC,
259,286,FrPax96_Substantia nigra,29,SN,
260,287,"CustomRat_Substantia nigra, rostro-dorso-medial part",22,SNrm,rostro-dorso-medial region of the SNpc (SNrm)
261,288,"CustomRat_Substantia nigra, caudo-ventro-lateral part",22,SNcv,including the SN pars reticulata and the ventrolateral region of pars compacta.
262,289,"Custommouse_Substantia nigra, compact part, central portion",21,SNcc,
263,290,"Custommouse_Substantia nigra, compact part, medial portion",21,SNcm,
264,291,Pax07_Substantia nigra,7,SN,
265,293,"CustomRat_Striatum, ventrolateral",22,,
266,294,CustomMouse_Rostral caudoputamen,21,CPr,
267,295,CustomMouse_Intermediate caudoputamen,21,Cpi,
268,296,CustomMouse_Caudal caudoputamen,21,CPc,
269,297,"CustomMouse_Striatum, putamen region",21,,
270,298,AMBAv1_Caudoputamen,17,,
271,299,PaxCh09_Striatum,10,,
