,node1,node1Label,node2,node2Label,Similarity
33,Purisai_2007_graphdata_sections_neurons_quantitation_snc,DataType,Purisai_2007_sections_neurons_quantitation_SNc,DataType,1.0
34,Komnig_2016b_snc,RegionRecord,Horvath_2011_snc,RegionRecord,1.0
35,Purisai_2007_graphdata_sections_TH_neurons_quantitation_snc,DataType,Purisai_2007_graphdata_sections_neurons_quantitation_snc,DataType,1.0
36,Komnig_2016b_snc,RegionRecord,Gross_2003_snc,RegionRecord,1.0
37,Purisai_2007_graphdata_sections_TH_neurons_quantitation_snc,DataType,Purisai_2007_sections_neurons_quantitation_SNc,DataType,1.0
38,Liu_2004_sn,RegionRecord,vanBregt_2012_snc,RegionRecord,1.0
39,Tatenhorst_2014_140_sections_neurons_quantitation_snc,DataType,Tatenhorst_2014_sections_TH_neurons_quantitation_snc,DataType,1.0
40,Liu_2004_sn,RegionRecord,Passos_2012_sn,RegionRecord,1.0
41,Tatenhorst_2014_140_sections_neurons_quantitation_snc,DataType,Tatenhorst_2014_sections_neurons_quantitation_SNc,DataType,1.0
42,Ma_2009_snc,RegionRecord,Taylor_2014_snc,RegionRecord,1.0
43,Tatenhorst_2014_140_sections_th_neurons_quantitation_snc,DataType,Tatenhorst_2014_sections_TH_neurons_quantitation_snc,DataType,1.0
44,Ma_2009_snc,RegionRecord,Kang_2010_snc,RegionRecord,1.0
45,Tatenhorst_2014_140_sections_th_neurons_quantitation_snc,DataType,Tatenhorst_2014_sections_neurons_quantitation_SNc,DataType,1.0
46,McCormack_2002_snc,RegionRecord,Horvath_2011_snc,RegionRecord,1.0
47,Loescher_2006_sections_GABA_neurons_quantitation_cpu_central_left,DataType,Loescher_2006_sections_GAD65heavy_mRNA_neurons_quantitation_cpu_central_right,DataType,1.0
48,McCormack_2002_snc,RegionRecord,Gross_2003_snc,RegionRecord,1.0
49,Loescher_2006_sections_GABA_neurons_quantitation_cpu_central_left,DataType,Loescher_2006_sections_GABA_neurons_quantitation_cpu_central_right,DataType,1.0
50,Olson_2015_sn,RegionRecord,Simkins_2012_SN,RegionRecord,1.0
51,Loescher_2006_sections_GAD65heavy_mRNA_neurons_quantitation_cpu_central_left,DataType,Loescher_2006_sections_GAD65heavy_mRNA_neurons_quantitation_cpu_central_right,DataType,1.0
52,Olson_2015_sn,RegionRecord,Hermann_2013_SN,RegionRecord,1.0
53,Loescher_2006_sections_GAD65heavy_mRNA_neurons_quantitation_cpu_central_left,DataType,Loescher_2006_sections_GABA_neurons_quantitation_cpu_central_right,DataType,1.0
54,Oorschot_1996_snc,RegionRecord,Johnson_2010b_rat_snc,RegionRecord,1.0
55,Loescher_2006_sections_GAD65light_mRNA_neurons_quantitation_cpu_central_left,DataType,Loescher_2006_sections_GAD65heavy_mRNA_neurons_quantitation_cpu_central_right,DataType,1.0
56,Oorschot_1996_snc,RegionRecord,Johnson_2010_rat_SNc,RegionRecord,1.0
57,Loescher_2006_sections_GAD65light_mRNA_neurons_quantitation_cpu_central_left,DataType,Loescher_2006_sections_GABA_neurons_quantitation_cpu_central_right,DataType,1.0
58,Oorschot_1996_snr,RegionRecord,Lolova_1995_snr,RegionRecord,1.0
59,Loescher_2006_sections_GAD67heavy_mRNA_neurons_quantitation_cpu_central_left,DataType,Loescher_2006_sections_GAD65heavy_mRNA_neurons_quantitation_cpu_central_right,DataType,1.0
60,Oorschot_1996_snr,RegionRecord,Hardman_2002_SNr,RegionRecord,1.0
61,Loescher_2006_sections_GAD67heavy_mRNA_neurons_quantitation_cpu_central_left,DataType,Loescher_2006_sections_GABA_neurons_quantitation_cpu_central_right,DataType,1.0
62,Pang_2016_snc,RegionRecord,Johnson_2010b_rat_snc,RegionRecord,1.0
63,Loescher_2006_sections_GAD67light_mRNA_neurons_quantitation_cpu_central_left,DataType,Loescher_2006_sections_GAD65heavy_mRNA_neurons_quantitation_cpu_central_right,DataType,1.0
64,Pang_2016_snc,RegionRecord,Johnson_2010_rat_SNc,RegionRecord,1.0
65,Loescher_2006_sections_GAD67light_mRNA_neurons_quantitation_cpu_central_left,DataType,Loescher_2006_sections_GABA_neurons_quantitation_cpu_central_right,DataType,1.0
66,Passos_2012_sn,RegionRecord,vanBregt_2012_snc,RegionRecord,1.0
67,Loescher_2006_sections_GABA_neurons_quantitation_cpu_posterior_right,DataType,Loescher_2006_sections_GAD65heavy_mRNA_neurons_quantitation_cpu_posterior_right,DataType,1.0
68,Passos_2012_sn,RegionRecord,Liu_2004_sn,RegionRecord,1.0
69,Loescher_2006_sections_GABA_neurons_quantitation_cpu_posterior_right,DataType,Loescher_2006_sections_GABA_neurons_quantitation_cpu_posterior_left,DataType,1.0
70,Price_2009_snc,RegionRecord,Depboylu_2013_snc,RegionRecord,1.0
71,Loescher_2006_sections_GABA_neurons_quantitation_cpu_posterior_left,DataType,Loescher_2006_sections_GAD65heavy_mRNA_neurons_quantitation_cpu_posterior_right,DataType,1.0
72,Price_2009_snc,RegionRecord,Sun_2012_snc,RegionRecord,1.0
73,Loescher_2006_sections_GABA_neurons_quantitation_cpu_posterior_left,DataType,Loescher_2006_sections_GABA_neurons_quantitation_cpu_posterior_right,DataType,1.0
74,Richter_2017_snc,RegionRecord,Horvath_2011_snc,RegionRecord,1.0
75,Loescher_2006_sections_GAD65heavy_mRNA_neurons_quantitation_cpu_posterior_right,DataType,Loescher_2006_sections_GABA_neurons_quantitation_cpu_posterior_left,DataType,1.0
76,Richter_2017_snc,RegionRecord,Gross_2003_snc,RegionRecord,1.0
77,Loescher_2006_sections_GAD65heavy_mRNA_neurons_quantitation_cpu_posterior_right,DataType,Loescher_2006_sections_GABA_neurons_quantitation_cpu_posterior_right,DataType,1.0
78,Simkins_2012_SN,RegionRecord,Olson_2015_sn,RegionRecord,1.0
79,Loescher_2006_sections_GAD65heavy_mRNA_neurons_quantitation_cpu_posterior_left,DataType,Loescher_2006_sections_GABA_neurons_quantitation_cpu_posterior_left,DataType,1.0
80,Simkins_2012_SN,RegionRecord,Hermann_2013_SN,RegionRecord,1.0
81,Loescher_2006_sections_GAD65heavy_mRNA_neurons_quantitation_cpu_posterior_left,DataType,Loescher_2006_sections_GABA_neurons_quantitation_cpu_posterior_right,DataType,1.0
82,Smeyne_2016_SNc,RegionRecord,Chadi_1993_snc,RegionRecord,1.0
83,Loescher_2006_sections_GAD67heavy_mRNA_neurons_quantitation_cpu_posterior_right,DataType,Loescher_2006_sections_GABA_neurons_quantitation_cpu_posterior_left,DataType,1.0
84,Smeyne_2016_SNc,RegionRecord,Breckenridge_2013_snc,RegionRecord,1.0
85,Loescher_2006_sections_GAD67heavy_mRNA_neurons_quantitation_cpu_posterior_right,DataType,Loescher_2006_sections_GABA_neurons_quantitation_cpu_posterior_right,DataType,1.0
86,Song_2012,RegionRecord,Olson_2015_sn,RegionRecord,1.0
87,Loescher_2006_sections_GAD67heavy_mRNA_neurons_quantitation_cpu_posterior_left,DataType,Loescher_2006_sections_GABA_neurons_quantitation_cpu_posterior_left,DataType,1.0
88,Song_2012,RegionRecord,Hermann_2013_SN,RegionRecord,1.0
89,Loescher_2006_sections_GAD67heavy_mRNA_neurons_quantitation_cpu_posterior_left,DataType,Loescher_2006_sections_GABA_neurons_quantitation_cpu_posterior_right,DataType,1.0
90,Sun_2012_snc,RegionRecord,Depboylu_2013_snc,RegionRecord,1.0
91,Loescher_2006_sections_GAD65light_mRNA_neurons_quantitation_cpu_posterior_right,DataType,Loescher_2006_sections_GABA_neurons_quantitation_cpu_posterior_left,DataType,1.0
92,Sun_2012_snc,RegionRecord,Price_2009_snc,RegionRecord,1.0
93,Loescher_2006_sections_GAD65light_mRNA_neurons_quantitation_cpu_posterior_right,DataType,Loescher_2006_sections_GABA_neurons_quantitation_cpu_posterior_right,DataType,1.0
94,Taylor_2014_snc,RegionRecord,Ma_2009_snc,RegionRecord,1.0
95,Loescher_2006_sections_GAD65light_mRNA_neurons_quantitation_cpu_posterior_left,DataType,Loescher_2006_sections_GABA_neurons_quantitation_cpu_posterior_left,DataType,1.0
96,Taylor_2014_snc,RegionRecord,Kang_2010_snc,RegionRecord,1.0
97,Loescher_2006_sections_GAD65light_mRNA_neurons_quantitation_cpu_posterior_left,DataType,Loescher_2006_sections_GABA_neurons_quantitation_cpu_posterior_right,DataType,1.0
98,vanBregt_2012_snc,RegionRecord,Passos_2012_sn,RegionRecord,1.0
99,Loescher_2006_sections_GAD67light_mRNA_neurons_quantitation_cpu_posterior_right,DataType,Loescher_2006_sections_GABA_neurons_quantitation_cpu_posterior_left,DataType,1.0
100,vanBregt_2012_snc,RegionRecord,Liu_2004_sn,RegionRecord,1.0
101,Loescher_2006_sections_GAD67light_mRNA_neurons_quantitation_cpu_posterior_right,DataType,Loescher_2006_sections_GABA_neurons_quantitation_cpu_posterior_right,DataType,1.0
102,Vidyadhara_2017_snc,RegionRecord,Horvath_2011_snc,RegionRecord,1.0
103,Loescher_2006_sections_GAD67light_mRNA_neurons_quantitation_cpu_posterior_left,DataType,Loescher_2006_sections_GABA_neurons_quantitation_cpu_posterior_left,DataType,1.0
104,Vidyadhara_2017_snc,RegionRecord,Gross_2003_snc,RegionRecord,1.0
105,Loescher_2006_sections_GAD67light_mRNA_neurons_quantitation_cpu_posterior_left,DataType,Loescher_2006_sections_GABA_neurons_quantitation_cpu_posterior_right,DataType,1.0
106,Vu_2000_sn,RegionRecord,Passos_2012_sn,RegionRecord,1.0
107,Loescher_2006_sections_GABA_neurons_quantitation_cpu_anterior_right,DataType,Loescher_2006_sections_GAD65heavy_mRNA_neurons_quantitation_cpu_anterior_right,DataType,1.0
108,Vu_2000_sn,RegionRecord,Liu_2004_sn,RegionRecord,1.0
109,Loescher_2006_sections_GABA_neurons_quantitation_cpu_anterior_right,DataType,Loescher_2006_sections_GABA_neurons_quantitation_cpu_anterior_left,DataType,1.0
110,Vu_2000_pilot_snc,RegionRecord,Johnson_2010b_rat_snc,RegionRecord,1.0
111,Loescher_2006_sections_GABA_neurons_quantitation_cpu_anterior_left,DataType,Loescher_2006_sections_GAD65heavy_mRNA_neurons_quantitation_cpu_anterior_right,DataType,1.0
112,Vu_2000_pilot_snc,RegionRecord,Johnson_2010_rat_SNc,RegionRecord,1.0
113,Loescher_2006_sections_GABA_neurons_quantitation_cpu_anterior_left,DataType,Loescher_2006_sections_GABA_neurons_quantitation_cpu_anterior_right,DataType,1.0
114,Andrews_2005_SNc,RegionRecord,Horvath_2011_snc,RegionRecord,1.0
115,Loescher_2006_sections_GAD65heavy_mRNA_neurons_quantitation_cpu_anterior_right,DataType,Loescher_2006_sections_GABA_neurons_quantitation_cpu_anterior_left,DataType,1.0
116,Andrews_2005_SNc,RegionRecord,Gross_2003_snc,RegionRecord,1.0
117,Loescher_2006_sections_GAD65heavy_mRNA_neurons_quantitation_cpu_anterior_right,DataType,Loescher_2006_sections_GABA_neurons_quantitation_cpu_anterior_right,DataType,1.0
118,Arai_1990_sn,RegionRecord,Olson_2015_sn,RegionRecord,1.0
119,Loescher_2006_sections_GAD65heavy_mRNA_neurons_quantitation_cpu_anterior_left,DataType,Loescher_2006_sections_GABA_neurons_quantitation_cpu_anterior_left,DataType,1.0
120,Arai_1990_sn,RegionRecord,Hermann_2013_SN,RegionRecord,1.0
121,Loescher_2006_sections_GAD65heavy_mRNA_neurons_quantitation_cpu_anterior_left,DataType,Loescher_2006_sections_GABA_neurons_quantitation_cpu_anterior_right,DataType,1.0
122,Bostanci_2008_sn,RegionRecord,Passos_2012_sn,RegionRecord,1.0
123,Loescher_2006_sections_GAD65light_mRNA_neurons_quantitation_cpu_anterior_right,DataType,Loescher_2006_sections_GABA_neurons_quantitation_cpu_anterior_left,DataType,1.0
124,Bostanci_2008_sn,RegionRecord,Liu_2004_sn,RegionRecord,1.0
125,Loescher_2006_sections_GAD65light_mRNA_neurons_quantitation_cpu_anterior_right,DataType,Loescher_2006_sections_GABA_neurons_quantitation_cpu_anterior_right,DataType,1.0
126,Bostanci_2013_sn,RegionRecord,Passos_2012_sn,RegionRecord,1.0
127,Loescher_2006_sections_GAD65light_mRNA_neurons_quantitation_cpu_anterior_left,DataType,Loescher_2006_sections_GABA_neurons_quantitation_cpu_anterior_left,DataType,1.0
128,Bostanci_2013_sn,RegionRecord,Liu_2004_sn,RegionRecord,1.0
129,Loescher_2006_sections_GAD65light_mRNA_neurons_quantitation_cpu_anterior_left,DataType,Loescher_2006_sections_GABA_neurons_quantitation_cpu_anterior_right,DataType,1.0
130,Bostanci_2010_sn,RegionRecord,Passos_2012_sn,RegionRecord,1.0
131,Loescher_2006_sections_GAD67heavy_mRNA_neurons_quantitation_cpu_anterior_right,DataType,Loescher_2006_sections_GABA_neurons_quantitation_cpu_anterior_left,DataType,1.0
132,Bostanci_2010_sn,RegionRecord,Liu_2004_sn,RegionRecord,1.0
133,Loescher_2006_sections_GAD67heavy_mRNA_neurons_quantitation_cpu_anterior_right,DataType,Loescher_2006_sections_GABA_neurons_quantitation_cpu_anterior_right,DataType,1.0
134,Bowenkamp_2000_sn,RegionRecord,Passos_2012_sn,RegionRecord,1.0
135,Loescher_2006_sections_GAD67heavy_mRNA_neurons_quantitation_cpu_anterior_left,DataType,Loescher_2006_sections_GABA_neurons_quantitation_cpu_anterior_left,DataType,1.0
136,Bowenkamp_2000_sn,RegionRecord,Liu_2004_sn,RegionRecord,1.0
137,Loescher_2006_sections_GAD67heavy_mRNA_neurons_quantitation_cpu_anterior_left,DataType,Loescher_2006_sections_GABA_neurons_quantitation_cpu_anterior_right,DataType,1.0
138,Breckenridge_2013_snc,RegionRecord,Chadi_1993_snc,RegionRecord,1.0
139,Loescher_2006_sections_GAD67light_mRNA_neurons_quantitation_cpu_anterior_left,DataType,Loescher_2006_sections_GABA_neurons_quantitation_cpu_anterior_left,DataType,1.0
140,Breckenridge_2013_snc,RegionRecord,Smeyne_2016_SNc,RegionRecord,1.0
141,Loescher_2006_sections_GAD67light_mRNA_neurons_quantitation_cpu_anterior_left,DataType,Loescher_2006_sections_GABA_neurons_quantitation_cpu_anterior_right,DataType,1.0
142,Bukhatwa_2009_sn,RegionRecord,Passos_2012_sn,RegionRecord,1.0
143,Loescher_2006_sections_GAD67light_mRNA_neurons_quantitation_cpu_anterior_right,DataType,Loescher_2006_sections_GABA_neurons_quantitation_cpu_anterior_left,DataType,1.0
144,Bukhatwa_2009_sn,RegionRecord,Liu_2004_sn,RegionRecord,1.0
145,Loescher_2006_sections_GAD67light_mRNA_neurons_quantitation_cpu_anterior_right,DataType,Loescher_2006_sections_GABA_neurons_quantitation_cpu_anterior_right,DataType,1.0
146,Cao_2012_sn,RegionRecord,Passos_2012_sn,RegionRecord,1.0
147,Loescher_2006_sham_sections_GABA_neurons_quantitation_cpu_central,DataType,Loescher_2006_sections_GAD65heavy_mRNA_neurons_quantitation_cpu_central_right,DataType,1.0
148,Cao_2012_sn,RegionRecord,Liu_2004_sn,RegionRecord,1.0
149,Loescher_2006_sham_sections_GABA_neurons_quantitation_cpu_central,DataType,Loescher_2006_sections_GABA_neurons_quantitation_cpu_central_right,DataType,1.0
150,Carta_2011_snc,RegionRecord,Horvath_2011_snc,RegionRecord,1.0
151,Loescher_2006_sham_sections_GABA_neurons_quantitation_cpu_posterior,DataType,Loescher_2006_sections_GABA_neurons_quantitation_cpu_posterior_left,DataType,1.0
152,Carta_2011_snc,RegionRecord,Gross_2003_snc,RegionRecord,1.0
153,Loescher_2006_sham_sections_GABA_neurons_quantitation_cpu_posterior,DataType,Loescher_2006_sections_GABA_neurons_quantitation_cpu_posterior_right,DataType,1.0
154,Chadi_1993_snc,RegionRecord,Breckenridge_2013_snc,RegionRecord,1.0
155,Loescher_2006_sham_sections_GABA_neurons_quantitation_cpu_anterior,DataType,Loescher_2006_sections_GABA_neurons_quantitation_cpu_anterior_left,DataType,1.0
156,Chadi_1993_snc,RegionRecord,Smeyne_2016_SNc,RegionRecord,1.0
157,Loescher_2006_sham_sections_GABA_neurons_quantitation_cpu_anterior,DataType,Loescher_2006_sections_GABA_neurons_quantitation_cpu_anterior_right,DataType,1.0
158,Asyyed_2006_SNc,RegionRecord,Ma_2009_snc,RegionRecord,1.0
159,Loescher_2006_sham_sections_GAD65heavy_neurons_quantitation_cpu_central,DataType,Loescher_2006_sections_GAD65heavy_mRNA_neurons_quantitation_cpu_central_right,DataType,1.0
160,Asyyed_2006_SNc,RegionRecord,Kang_2010_snc,RegionRecord,1.0
161,Loescher_2006_sham_sections_GAD65heavy_neurons_quantitation_cpu_central,DataType,Loescher_2006_sections_GABA_neurons_quantitation_cpu_central_right,DataType,1.0
162,Chalimoniuk_2006_snc,RegionRecord,Ma_2009_snc,RegionRecord,1.0
163,Loescher_2006_sham_sections_GAD65heavy_neurons_quantitation_cpu_posterior,DataType,Loescher_2006_sections_GABA_neurons_quantitation_cpu_posterior_left,DataType,1.0
164,Chalimoniuk_2006_snc,RegionRecord,Kang_2010_snc,RegionRecord,1.0
165,Loescher_2006_sham_sections_GAD65heavy_neurons_quantitation_cpu_posterior,DataType,Loescher_2006_sections_GABA_neurons_quantitation_cpu_posterior_right,DataType,1.0
166,Depboylu_2013_snc,RegionRecord,Sun_2012_snc,RegionRecord,1.0
167,Loescher_2006_sham_sections_GAD65heavy_neurons_quantitation_cpu_anterior,DataType,Loescher_2006_sections_GABA_neurons_quantitation_cpu_anterior_left,DataType,1.0
168,Depboylu_2013_snc,RegionRecord,Price_2009_snc,RegionRecord,1.0
169,Loescher_2006_sham_sections_GAD65heavy_neurons_quantitation_cpu_anterior,DataType,Loescher_2006_sections_GABA_neurons_quantitation_cpu_anterior_right,DataType,1.0
170,Fukuda_1994_snc,RegionRecord,Horvath_2011_snc,RegionRecord,1.0
171,Loescher_2006_sham_sections_GAD65light_neurons_quantitation_cpu_central,DataType,Loescher_2006_sections_GAD65heavy_mRNA_neurons_quantitation_cpu_central_right,DataType,1.0
172,Fukuda_1994_snc,RegionRecord,Gross_2003_snc,RegionRecord,1.0
173,Loescher_2006_sham_sections_GAD65light_neurons_quantitation_cpu_central,DataType,Loescher_2006_sections_GABA_neurons_quantitation_cpu_central_right,DataType,1.0
174,Gomide_2005b_snc,RegionRecord,Gomide_2005_snc,RegionRecord,1.0
175,Loescher_2006_sham_sections_GAD65light_neurons_quantitation_cpu_posterior,DataType,Loescher_2006_sections_GABA_neurons_quantitation_cpu_posterior_left,DataType,1.0
176,Gomide_2005b_snc,RegionRecord,Rodrigues_2001_snc,RegionRecord,1.0
177,Loescher_2006_sham_sections_GAD65light_neurons_quantitation_cpu_posterior,DataType,Loescher_2006_sections_GABA_neurons_quantitation_cpu_posterior_right,DataType,1.0
178,Guyenet_1981_sn,RegionRecord,Passos_2012_sn,RegionRecord,1.0
179,Loescher_2006_sham_sections_GAD65light_neurons_quantitation_cpu_anterior,DataType,Loescher_2006_sections_GABA_neurons_quantitation_cpu_anterior_left,DataType,1.0
180,Guyenet_1981_sn,RegionRecord,Liu_2004_sn,RegionRecord,1.0
181,Loescher_2006_sham_sections_GAD65light_neurons_quantitation_cpu_anterior,DataType,Loescher_2006_sections_GABA_neurons_quantitation_cpu_anterior_right,DataType,1.0
182,Hage_2016_sn_live,RegionRecord,Olson_2015_sn,RegionRecord,1.0
183,Loescher_2006_sham_sections_GAD67heavy_neurons_quantitation_cpu_central,DataType,Loescher_2006_sections_GAD65heavy_mRNA_neurons_quantitation_cpu_central_right,DataType,1.0
184,Hage_2016_sn_live,RegionRecord,Hermann_2013_SN,RegionRecord,1.0
185,Loescher_2006_sham_sections_GAD67heavy_neurons_quantitation_cpu_central,DataType,Loescher_2006_sections_GABA_neurons_quantitation_cpu_central_right,DataType,1.0
186,Hage_2016_sn_juxta,RegionRecord,Olson_2015_sn,RegionRecord,1.0
187,Loescher_2006_sham_sections_GAD67heavy_neurons_quantitation_cpu_posterior,DataType,Loescher_2006_sections_GABA_neurons_quantitation_cpu_posterior_left,DataType,1.0
188,Hage_2016_sn_juxta,RegionRecord,Hermann_2013_SN,RegionRecord,1.0
189,Loescher_2006_sham_sections_GAD67heavy_neurons_quantitation_cpu_posterior,DataType,Loescher_2006_sections_GABA_neurons_quantitation_cpu_posterior_right,DataType,1.0
190,Lorenc-Koci_2011_sn,RegionRecord,Harris_1996_SN,RegionRecord,1.0
191,Loescher_2006_sham_sections_GAD67heavy_neurons_quantitation_cpu_anterior,DataType,Loescher_2006_sections_GABA_neurons_quantitation_cpu_anterior_left,DataType,1.0
192,Omelchenko_2016_snc,RegionRecord,Johnson_2010b_rat_snc,RegionRecord,1.0
193,Loescher_2006_sham_sections_GAD67heavy_neurons_quantitation_cpu_anterior,DataType,Loescher_2006_sections_GABA_neurons_quantitation_cpu_anterior_right,DataType,1.0
194,Omelchenko_2016_snc,RegionRecord,Johnson_2010_rat_SNc,RegionRecord,1.0
195,Loescher_2006_sham_sections_GAD67light_neuron_quantitation_cpu_central,DataType,Loescher_2006_sections_GAD65heavy_mRNA_neurons_quantitation_cpu_central_right,DataType,1.0
196,Park_2006_snc,RegionRecord,Johnson_2010b_rat_snc,RegionRecord,1.0
197,Loescher_2006_sham_sections_GAD67light_neuron_quantitation_cpu_central,DataType,Loescher_2006_sections_GABA_neurons_quantitation_cpu_central_right,DataType,1.0
198,Park_2006_snc,RegionRecord,Johnson_2010_rat_SNc,RegionRecord,1.0
199,Loescher_2006_sham_sections_GAD67light_neuron_quantitation_cpu_posterior,DataType,Loescher_2006_sections_GABA_neurons_quantitation_cpu_posterior_left,DataType,1.0
200,Purisai_2007,RegionRecord,Horvath_2011_snc,RegionRecord,1.0
201,Loescher_2006_sham_sections_GAD67light_neuron_quantitation_cpu_posterior,DataType,Loescher_2006_sections_GABA_neurons_quantitation_cpu_posterior_right,DataType,1.0
202,Purisai_2007,RegionRecord,Gross_2003_snc,RegionRecord,1.0
203,Loescher_2006_sham_sections_GAD67light_neuron_quantitation_cpu_anterior,DataType,Loescher_2006_sections_GABA_neurons_quantitation_cpu_anterior_left,DataType,1.0
204,Ratzka_2012_snc_P28,RegionRecord,Horvath_2011_snc,RegionRecord,1.0
205,Loescher_2006_sham_sections_GAD67light_neuron_quantitation_cpu_anterior,DataType,Loescher_2006_sections_GABA_neurons_quantitation_cpu_anterior_right,DataType,1.0
206,Ratzka_2012_snc_P28,RegionRecord,Gross_2003_snc,RegionRecord,1.0
207,Abdurakhmanova_2017_sections_PV_neurons_quantitation_cpu,DataType,Abdurakhmanova_2017_sections_NOS_neurons_quantitation_cpu,DataType,1.0
208,Ratzka_2012_snc_P0,RegionRecord,Breckenridge_2013_snc,RegionRecord,1.0
209,Abdurakhmanova_2017_sections_PV_neurons_quantitation_cpu,DataType,Abdurakhmanova_2017_sections_ChAT_neurons_quantitation_cpu,DataType,1.0
210,Ratzka_2012_snc_P0,RegionRecord,Smeyne_2016_SNc,RegionRecord,1.0
211,Abdurakhmanova_2017_sections_ChAT_neurons_quantitation_cpu,DataType,Abdurakhmanova_2017_sections_NOS_neurons_quantitation_cpu,DataType,1.0
212,Rodrigues_2001_snc,RegionRecord,Gomide_2005_snc,RegionRecord,1.0
213,Abdurakhmanova_2017_sections_ChAT_neurons_quantitation_cpu,DataType,Abdurakhmanova_2017_sections_PV_neurons_quantitation_cpu,DataType,1.0
214,Rodrigues_2001_snc,RegionRecord,Gomide_2005b_snc,RegionRecord,1.0
215,Abdurakhmanova_2017_sections_NOS_neurons_quantitation_cpu,DataType,Abdurakhmanova_2017_sections_ChAT_neurons_quantitation_cpu,DataType,1.0
216,Saal_2015,RegionRecord,Olson_2015_sn,RegionRecord,1.0
217,Abdurakhmanova_2017_sections_NOS_neurons_quantitation_cpu,DataType,Abdurakhmanova_2017_sections_PV_neurons_quantitation_cpu,DataType,1.0
218,Saal_2015,RegionRecord,Hermann_2013_SN,RegionRecord,1.0
