,Name,Label,Page Rank Score
190,Ketamine-xylacine,Solution,1.032688904926181
191,Core region,RegionZone,1.03081791481236
192,Dorsal striatum,RegionOther,1.0178057020530105
193,Shell region,RegionZone,1.0143142435699701
194,Cresyl violet,Solution,1.0108901079744101
195,Digoxigenin,ReporterLabel,1.0100207716226577
196,Cao_2012_sn,RegionRecord,1.0078928351402283
197,Confocal microscope,Microscope,1.006662030518055
198,Signal amplification,TreatmentPurpose,1.006289827823639
199,GFAP,CellPhenotype,0.9989746607812697
200,Calretinin expressing,CellType,0.9972650389653201
201,Tyrosine hydroxylase negative,CellType,0.9956305372540919
202,Microglia,CellClass,0.9913479149652756
203,Roberts_1995_striatum,RegionRecord,0.9872499804943801
204,Midbrain,BrainRegion,0.9828953166899737
205,McNeill_1990_SN,RegionRecord,0.980024978518486
206,External segment,BrainRegion,0.9767330536618828
207,Brain,BrainRegion,0.9753919475613031
208,Calbindin expressing,CellType,0.9752538313776554
209,Meade_2000_cpu,RegionRecord,0.9665484284982084
210,Rostroventral,RegionZone,0.9665348917245864
211,Mocha image analysis,Software,0.9556405596435069
212,Medium sized cell,CellType,0.9534302509191003
213,Swiss-Webster,Strain,0.9525312743615358
214,Substance P / enkephalin co-expressing,CellType,0.951243483103906
215,Vibratome,SectioningInstrument,0.9499275535345078
216,Resin,Solution,0.9271468037739397
217,Chloral hydrate,Solution,0.9194633215665817
218,Goat anti rabbit_biotin,Reporter,0.9184020638465882
219,Ultramicrotome,SectioningInstrument,0.915720471739769
220,GAD67 mRNA,CellPhenotype,0.9100624352690246
221,Soma,CellularRegion,0.9079579877589922
222,European Journal of Neuroscience,SourceOrigin,0.9025588472373783
223,Dopaminergic neuron,CellType,0.9023892546912855
224,Medium size,CellPhenotype,0.8836711658787224
225,Basic fibroblast growth factor expressing,CellType,0.8811169507463652
226,Biocytin,Solution,0.8807175582740455
227,http://uri.interlex.org/base/ilx_0106919,CellDescription,0.8802433909668403
228,Basic fibroblast growth factor,CellPhenotype,0.8777147287962401
229,Dopaminergic neuron,CellPhenotype,0.8676317001480595
230,Glial cell,CellType,0.8662419060789281
231,Astrocyte,CellType,0.8656698020667025
232,HISTO 200,Software,0.8640001138672233
233,McArthur_2016_SNc,RegionRecord,0.8612661954015494
234,Proximal dendrite,CellularRegion,0.8576528417800647
235,Oligodendrocyte,CellType,0.8571698101729341
236,Dorsomedial striatum,RegionOther,0.8569690249860287
237,Fundus of striatum,BrainRegion,0.8565399235114456
238,Rostral dorsolateral,RegionZone,0.8545196510851384
239,TrkA expressing,CellType,0.8532835528746434
240,Neocortex,BrainRegion,0.8449215858222358
241,Golgi-cox solution,Solution,0.8433742292691022
242,Eilam_2003_cpu,RegionRecord,0.8433295492082834
243,Cullity_2018_cpu,RegionRecord,0.8416876003146172
244,,Source,0.8416876003146172
245,Adolescent,AgeCategory,0.8397765696514397
246,GAD65 mRNA,CellPhenotype,0.8386774027906364
247,Paraformaldehyde-picric acid,Solution,0.8310719421133399
248,Kosinski_1997_str,RegionRecord,0.8305720599368215
249,Centromedial,RegionZone,0.8304502606391907
250,Small sized cell,CellType,0.8258794180384393
251,Guan_1999_striatum,RegionRecord,0.8213671393692493
252,Permeabilization,TreatmentPurpose,0.8212233930826187
253,Neuromorpho,SourceOrigin,0.8198145933449268
254,Macrophage,CellType,0.8189692651387875
255,Entellan,Solution,0.8183035284280777
256,Iba-1,CellPhenotype,0.8173169513484111
257,"Substantia nigra, compact part",RegionOther,0.8122710987925529
258,Counterstaining,TreatmentPurpose,0.8065087080001831
259,Caudoputamen,RegionOther,0.8014353405684232
260,Cholecystokinin,CellPhenotype,0.7976994581251744
261,"Substantia nigra, reticular part",RegionOther,0.7963532716035844
262,Sharpe_1998_cpu,RegionRecord,0.7955750416964292
263,Large sized cell,CellType,0.7952866643002744
264,IBAS I-II,Software,0.7917808471247554
265,Alkaline phosphatase,ReporterLabel,0.7873750120401383
266,Unspecified microscope,Microscope,0.7855016238987446
267,DAB,Solution,0.7781552540604024
268,Image Pro+,Software,0.7755291793495417
269,Neurobiology of aging,SourceOrigin,0.7739545834250748
270,Isopentane,Solution,0.772014057636261
271,Caudoputamen,RegionOther,0.7708791345357896
272,Bioquant image analysis,Software,0.767773019708693
273,Journal of Chemical Neuroanatomy,SourceOrigin,0.7669446807820349
274,DAB-H2O2,Solution,0.765892937593162
275,Postnatal,AgeCategory,0.7631279280874879
276,Parvalbumin mRNA,CellPhenotype,0.7626189728314653
277,Parvalbumin,ReporterTarget,0.7623103853315115
278,Hussain_1996_nacc,RegionRecord,0.7617515809834003
279,Pentobarbital,Solution,0.7539559002965689
280,Immunofluorescence,VisualizationProtocol,0.7506886899471283
281,GABAergic neuron,CellType,0.7445511306031637
282,International journal of neuroscience,SourceOrigin,0.7422237860038877
283,Dopamine transporter,CellPhenotype,0.7397932101477837
284,Dopamine 1 receptor mRNA,CellPhenotype,0.7356568062765526
285,ApoD expressing,CellType,0.7347488751589935
286,Dopamine 2 receptor mRNA,CellPhenotype,0.7332150952353544
287,Formalin,Solution,0.7285243439022452
288,O'Kusky_1999_stereology,StereologyDetail,0.7185907958075404
289,General stain,TreatmentPurpose,0.7184760451316834
290,Wissman_2012_nacc,RegionRecord,0.7164248116896488
291,Ihara_1986_str,RegionRecord,0.7141875192523003
292,Robinson_1995_cpu,RegionRecord,0.7141875192523003
293,CB1R expressing,CellType,0.7141206188416866
294,Fixation,TreatmentPurpose,0.7123019337654114
295,C-fos expressing,CellType,0.712295782274569
296,Substance P expressing,CellType,0.7115368517836033
297,Pickel_2006_nacc,RegionRecord,0.7073639625683427
298,Pre-proenkephalin mRNA,CellPhenotype,0.7065818421177664
299,Nigrostriatal,CellPhenotype,0.7029005840755869
300,Goat antibody,ReporterTarget,0.6997718749567867
301,Periventricular gray,BrainRegion,0.697144903920915
302,Ishida_2001_snc,RegionRecord,0.6961250206455588
303,Buffer solution,Solution,0.6953347564674914
304,Neuropharmacology,SourceOrigin,0.6914209158159792
305,Calbindin,ReporterTarget,0.6828051805496216
306,Wouterlood_2012_cpu,RegionRecord,0.6806429255753755
307,Pre proenkephalin expressing,CellType,0.6787409412470936
308,Ilastik,Software,0.6780624682083727
309,Unspecified,ReporterLabel,0.6764365322887897
310,Substantia innominata,BrainRegion,0.6729332786053419
311,GAD67 expressing,CellType,0.6694861325231671
312,Intermediate,RegionZone,0.6621992187574506
313,Parvalbumin,CellPhenotype,0.6567126186401211
314,Tribromoethanol,Solution,0.6513753950595856
315,Dopamine receptor 2  / enkephalin co-expressing,CellType,0.6489459422205983
316,Dopamine receptor 1  / enkephalin co-expressing,CellType,0.6489459422205983
317,Rostral intermediate,RegionZone,0.6488367829471827
318,"Substantia nigra, pars compacta",RegionOther,0.6429346245713532
319,Osmium tetroxide,Solution,0.6418012182228267
320,CD11b,CellPhenotype,0.6329514964911266
321,Kappa opioid receptor expressing,CellType,0.632215462840238
322,"Matrix, rostral intermediate",RegionZone,0.6268172843381762
323,"Substantia nigra, compact part",RegionOther,0.6229774383828043
324,Small size,CellPhenotype,0.6187454336918042
325,MBA Cell Type Atlas_cpu,RegionRecord,0.6152156043797731
326,MBA Cell Type Atlas_nacc,RegionRecord,0.6152156043797731
327,MBA Cell Type Atlas_fstr,RegionRecord,0.6152156043797731
328,MBA Cell Type Atlas_gpe,RegionRecord,0.6152156043797731
329,MBA Cell Type Atlas_gpi,RegionRecord,0.6152156043797731
330,MBA Cell Type Atlas_snc,RegionRecord,0.6152156043797731
331,MBA Cell Type Atlas_snr,RegionRecord,0.6152156043797731
332,MBA Cell Type Atlas_stn,RegionRecord,0.6152156043797731
333,MBA Cell Type Atlas_si,RegionRecord,0.6152156043797731
334,Normal serum,Solution,0.612702682847157
335,Taylor_2014_snc,RegionRecord,0.6119278276339174
336,Taylor_2014_stereology,StereologyDetail,0.6119278276339174
337,Brain,BrainRegion,0.609825136962523
338,Wouterlood_2012_striatum,RegionRecord,0.609675747063011
339,Adolescent,AgeCategory,0.6089175056666136
340,Central dorsolateral,RegionZone,0.6075537271797656
341,Large size,CellPhenotype,0.6057435162029312
342,Globus pallidus,BrainRegion,0.6032285871029887
343,Rabbit anti TH_3,Reporter,0.6008012235164643
344,Baquet_2009_SNc,RegionRecord,0.6004212965490298
345,In situ hybridization,VisualizationProtocol,0.5964017689228058
346,Glia cell,NeuralStructure,0.5954257279634476
347,Rostral subthalamic nucleus projection neuron,CellType,0.5918177276508018
348,Caudal subthalamic nucleus projection neuron,CellType,0.5918177276508018
349,Lateral subthalamic nucleus projection neuron,CellType,0.5918177276508018
350,Medial subthalamic nucleus projection neuron,CellType,0.5918177276508018
351,Microtome,SectioningInstrument,0.5915722787380219
352,Globus pallidus lateral segment,BamsRegion,0.586670434492759
353,Glutamate receptor 1 expressing,CellType,0.5855795840628051
354,Subthalamic nucleus projection neuron,CellType,0.5853056323372825
355,Perineuronal net-surrounded neuron,CellType,0.583923497206888
356,NMO_Henny_SNc,RegionRecord,0.5836315376684069
357,Fischer 344,Substrain,0.5828703367849811
358,Neuron,CellularRegion,0.5799221547843494
359,cAMP response element-positive,CellType,0.5793475581362144
360,Vesicle containing profile,CellularRegion,0.5763052302004374
361,Dendritic spines,NeuralStructure,0.5756237745285034
362,NMO_Martone_2008_str,RegionRecord,0.5720654681324959
363,Alexi_1996_SN,RegionRecord,0.5701302256435156
364,Dopamine 1 receptor,ReporterTarget,0.569764317944646
365,"Accumbens nucleus, shell",RegionOther,0.568648148421198
366,Rosen_2001_cpu,RegionRecord,0.56862499024719
367,Rosen_2001_stereology,StereologyDetail,0.56862499024719
368,Journal of neural transmission,SourceOrigin,0.5668962112627923
369,Yoshikawa_2010_cpu,RegionRecord,0.5667190473526718
370,Guyenet_1981_sn,RegionRecord,0.5662166826426983
371,Uranyl acetate,Solution,0.5661317524500191
372,Park_2006_snc,RegionRecord,0.5657514356076717
373,O'Kusky_1999_gp,RegionRecord,0.5656145986169577
374,Sanchez_2008_SN,RegionRecord,0.5650124892592431
375,Sanchez_2008_stereology,StereologyDetail,0.5650124892592431
376,Richards_2007_stereology_SNc,StereologyDetail,0.563657852448523
377,Horse anti mouse_biotin,Reporter,0.563179036974907
378,Laprade_1997_cpu,RegionRecord,0.5626041563227774
379,Caudomedial,RegionZone,0.5582674711942673
380,Neuropeptide Y,CellPhenotype,0.5569380192998624
381,Lawson_1990_striatum,RegionRecord,0.5541749878786505
382,Subthalamic nucleus,RegionOther,0.5533950084820389
383,VGAT expressing,CellType,0.5531353615742559
384,Dry ice,Solution,0.5526357759721577
385,Dopamine 1 receptor,CellPhenotype,0.5517887936817952
386,Pre-prosomatostatin mRNA,CellPhenotype,0.5502385849869732
387,Somatostatin mRNA,CellPhenotype,0.5502385849869732
388,Mouse anti TH_1,Reporter,0.5494701579213143
389,Dopamine 2 receptor,CellPhenotype,0.5493470794741002
390,Meredith_1989_nacc,RegionRecord,0.5480165878776461
391,Fundus of the striatum,BamsRegion,0.5476835680928105
392,"GAD65, heavily expressing",CellType,0.5466416516236566
393,"GAD67, heavily expressing",CellType,0.5466416516236566
394,NMDA receptor expressing,CellType,0.5463488171703719
395,"GAD65, lightly expressing",CellType,0.5462249849818253
396,"GAD67, lightly expressing",CellType,0.5462249849818253
397,Glucocorticoid receptor expressing,CellType,0.5452590768120789
398,Dynorphin expressing,CellType,0.5408144358835009
399,Lead citrate,Solution,0.5391162985470146
400,Unspecified,TreatmentPurpose,0.5381325796246529
401,"NADPHd, strongly expressing",CellType,0.5351400266296767
402,Glutamine synthetase expressing,CellType,0.5341871207609075
403,Substantia nigra compact part,BamsRegion,0.5334742988107802
404,"NADPHd, weakly expressing",CellType,0.532863241051098
405,Genetic label,VisualizationProtocol,0.5313251942396164
406,Pre-enkephalin expressing,CellType,0.5310924078233146
407,p75 neurotrophin receptor expressing,CellType,0.5296757409244381
408,Peroxidase-anti-peroxidase,Solution,0.5288714956957846
409,Low huntingtin expressing/calbindin expressing,CellType,0.5275507413677477
410,Moderate huntingtin expressing/calbindin expressing,CellType,0.5275507413677477
411,Strong huntingtin expressing/calbindin expressing,CellType,0.5275507413677477
412,Huntingtin negative/calbindin expressing,CellType,0.5275507413677477
413,GAD65 expressing,CellType,0.5275507413677477
414,Low huntingtin expressing/calbindin negative,CellType,0.5267334337241553
415,Moderate huntingtin expressing/calbindin negative,CellType,0.5267334337241553
416,Strong huntingtin expressing/calbindin negative,CellType,0.5267334337241553
417,Lawhorn_2009_cpu,RegionRecord,0.5258720102719963
418,Lawhorn_2009_stereology,StereologyDetail,0.5258720102719963
419,VGLUT1 negative,CellType,0.5246478459693097
420,Breckenridge_2013_snc,RegionRecord,0.5246198238804937
421,Richter_2017_snc,RegionRecord,0.5189000288024546
422,GFAP,ReporterTarget,0.5188597541302442
423,Caudoputamen,RegionOther,0.5179269659332931
424,XPB expressing,CellType,0.5174992936250205
425,XPA expressing,CellType,0.5168921495374674
426,CD1,Strain,0.5164749300573022
427,Uryu_1999_cpu,RegionRecord,0.5163737760216464
428,Substantia nigra lateral part,BrainRegion,0.5153463755167357
429,Oligodendrocyte,CellClass,0.5142971642968164
430,Oligodendrocyte transcription factor 2,CellPhenotype,0.5142971642968164
431,Substance P,CellPhenotype,0.5133134839481268
432,Pre-protachykinin mRNA,CellPhenotype,0.5133134839481268
433,Forlano_2010_nacc,RegionRecord,0.5131570834666491
434,Volocity,Software,0.5131570834666491
435,TrkA,CellPhenotype,0.5126455116738484
436,Rostral intermediate dorsal,RegionZone,0.5125945252366364
437,Vectashield,Solution,0.5117989603430033
438,Periaqueductal gray,BrainRegion,0.511374894564128
439,Explora Nova,Software,0.5088889181613923
440,Rat antibody,ReporterTarget,0.5066873416304588
441,Lawhorn_2008_cpu,RegionRecord,0.5060555875301361
442,"Microglia, resting",CellType,0.505971411585233
443,"Microglia, active",CellType,0.505971411585233
444,Molecular neurobiology,SourceOrigin,0.5050315234810114
445,Substantia nigra,RegionOther,0.5030166673474014
446,Lieb_1996_stereology,StereologyDetail,0.5003593765199185
447,Lieb_1996_sn,RegionRecord,0.5003593765199185
448,VGLUT2,CellPhenotype,0.4992338042687452
449,Biological Psychiatry,SourceOrigin,0.49856704198755325
450,Cells,NeuralStructure,0.4949726462364197
451,Caudoputamen,BamsRegion,0.49468725901715777
452,Hydrogen peroxide,Solution,0.49295063382014637
453,Caudoputamen,RegionOther,0.49137970311567186
454,Digoxigenin,ReporterTarget,0.4911691073328257
455,Gelatin,Solution,0.49100440220208835
456,Neuroscience research,SourceOrigin,0.4905095276422799
457,"Accumbens nucleus, core",RegionOther,0.4861848783679306
458,Drd1a-EGFP,TransgenicLine,0.4854684145422653
459,Drd2-EGFP,TransgenicLine,0.4854684145422653
460,Journal of Anatomy,SourceOrigin,0.4830773164518178
461,Dorsal,RegionZone,0.4830397665500641
462,Molecular brain research,SourceOrigin,0.47802770407870415
463,Medial,RegionZone,0.47568455822765826
464,Neostriatum,RegionOther,0.47564346343278885
465,Mouse Brain Architecture,SourceOrigin,0.47521664183586837
466,Secondary motor area,BamsRegion,0.47210228074400834
467,Serotonergic neuron,CellType,0.4714668971381687
468,Caudoputamen,RegionOther,0.47120527070946994
469,Rostral ventrolateral,RegionZone,0.46998341223225
470,BALB/c,Strain,0.46968745442572984
471,"Striatum, dorsolateral",RegionOther,0.46667634615296266
472,Brain Research Bulletin,SourceOrigin,0.46665083430707455
473,Central ventromedial,RegionZone,0.4665068695321679
474,Frontiers in systems neuroscience,SourceOrigin,0.46644863607361914
475,Eukitt,Solution,0.46531781516969206
476,Lewis,Strain,0.4637445681728422
477,Nucleus accumbens,BamsRegion,0.46341117559144623
478,Dehydration,TreatmentPurpose,0.4627260059118271
479,Apolipoprotein D,CellPhenotype,0.4622682816201974
480,Isofluorane,Solution,0.45966938976198435
481,Sheep antibody,ReporterTarget,0.458238073065877
482,Substantia nigra,RegionOther,0.4554453163407743
483,Globus pallidus medial segment,BamsRegion,0.4550892770290375
484,Dorsolateral striatum,RegionOther,0.4550666983239352
485,Frontiers in Molecular Neuroscience,SourceOrigin,0.4545127327786759
486,C-fos,CellPhenotype,0.4527257082763916
487,NIH Image software,Software,0.4518476820550859
488,Paraformaldehyde-picric acid-sucrose,Solution,0.4515602082828991
489,Paraformaldehyde-glutaraldehyde-picric acid,Solution,0.4513344135135412
490,"Synapses, asymmetrical",NeuralStructure,0.4511580586433411
491,Schizophrenia research,SourceOrigin,0.45078414604067807
492,S100-beta,CellPhenotype,0.4492770086976211
493,S100B,CellPhenotype,0.4492770086976211
494,Bouin's fixative,Solution,0.44880157313309615
495,Central medial thalamic nucleus,BrainRegion,0.448318300283569
496,Mountex,Solution,0.44765529893338685
497,nNOS,ReporterTarget,0.44758004397153855
498,Neurochemistry international,SourceOrigin,0.4474506482481957
499,CBA/J,Substrain,0.44740466329385525
500,Neurobiotin,Solution,0.44567357306368655
501,GAD65 mRNA,ReporterTarget,0.4451335325837136
502,Basal ganglia,SourceOrigin,0.4438042807858438
503,Unspecified antibody_biotin,Reporter,0.4434778094291687
504,35S-UTP,ReporterLabel,0.44325202237814665
505,GAD67 mRNA,ReporterTarget,0.44267650209367276
506,Alexa fluor 594,ReporterLabel,0.43971342742443087
507,PalGFP-Sindbis virus,Solution,0.4393354070838541
508,Guidetti_2001_cpu,RegionRecord,0.4359642952680588
509,BALB/cJ,Substrain,0.4351526706945151
510,Fukuda_1994_snc,RegionRecord,0.4340290274471045
511,Old,AgeCategory,0.43289141044951984
512,Neuropeptide Y,ReporterTarget,0.4328342575579882
513,Experimental Brain Research,SourceOrigin,0.4326539999805391
514,Subthalamic nucleus,BamsRegion,0.4324284573711767
515,Quantimet 550,Software,0.43209375962615015
516,Baker_1980_cpu,RegionRecord,0.43209375962615015
517,San Jose_2001_str,RegionRecord,0.43209375962615015
518,Dopamine 2 receptor,ReporterTarget,0.43142683841288093
