,analysis1,id1,analysis2,id2,similarity
15,Ariano_1997_sections_GluR1_D1A_GluR1_mRNA_neuron_quantitation_2,64,Ariano_1997_sections_GluR1_D1A_D1A_neuron_quantitation_1,60,1.0
16,Ariano_1997_sections_D1A_NMDAR1_D1A_mRNA_neuron_quantitation_1,71,Ariano_1997_sections_D1A_NMDAR1_NMDAR1_neuron_quantitation_2,67,1.0
17,Loescher_2006_sections_GABA_neurons_quantitation,165,Loescher_2006_sham_sections_GABA_neurons_quantitation,533,1.0
18,Luk_2001_sections_PV_neurons_distribution,746,Luk_2001_sections_PV_neurons_quantitation,652,1.0
19,Loescher_2006_sections_GABA_neurons_quantitation,165,Loescher_2006_sections_GABA_neurons_distribution,306,1.0
20,Ariano_1997_sections_GluR1_NMDAR1_NMDAR1_neuron_quantitation,59,Ariano_1997_sections_GluR1_NMDAR1_GluR1_mRNA_neuron_quantitation_4,66,1.0
21,Cao_2013_males_sections_olig_cells_quantitation,560,Cao_2013_females_sections_olig_cells_quantitation,559,1.0
22,Ariano_1997_sections_D1A_GluR1_D1A_mRNA_neuron_quantitation_2,72,Ariano_1997_sections_D1A_GluR1_GluR1_neuron_quantitation_2,69,1.0
23,Ariano_1997_sections_GluR1_D1A_D1A_neuron_quantitation_1,60,Ariano_1997_sections_GluR1_D1A_GluR1_mRNA_neuron_quantitation_2,64,1.0
24,Ariano_1997_sections_D2_GluR1_D2_mRNA_neuron_quantitation_2,75,Ariano_1997_sections_D2_GluR1_GluR1_neuron_quantitation_3,70,1.0
25,Ariano_1997_sections_D1A_NMDAR1_NMDAR1_neuron_quantitation_2,67,Ariano_1997_sections_D1A_NMDAR1_D1A_mRNA_neuron_quantitation_1,71,1.0
26,Itzev_2008_ultrathinsections_DS,131,Sharpe_1998_P10_ultrathin_synapses_quantitation,702,1.0
27,Wang_2007_sections_SP/ENK_neurons_patch_quantitation,247,Wang_2007_sections_SP/ENK_neuron_matrix_quantitation,248,1.0
28,Ariano_1997_sections_GluR1_NMDAR1_GluR1_mRNA_neuron_quantitation_4,66,Ariano_1997_sections_GluR1_NMDAR1_NMDAR1_neuron_quantitation,59,1.0
29,Walker_2012_ultrathin_VGLUT1-_terminals_quantitation,246,Walker_2012_ultrathin_VGLUT1_terminals_quantitation,245,1.0
30,Roberts_1995b_ultrathin_synapses_sym_quantitation,681,Sharpe_1998_P10_ultrathin_synapses_quantitation,702,1.0
31,Ariano_1997_sections_D2_D1A_D2_mRNA_neuron_quantitation_3,76,Ariano_1997_sections_D2_D1A_D1A_neuron_quantitation_2,63,1.0
32,Sharpe_1998_adult_ultrathin_synapses_quantitation,701,Sharpe_1998_P15_ultrathin_synapses_quantitation,703,1.0
33,Cao_2013_females_sections_olig_cells_quantitation,559,Cao_2013_males_sections_olig_cells_quantitation,560,1.0
34,Meredith_1989_sections_single_ChAT_neurons_distribution,179,Meredith_1989_sections_single_ChAT_neurons_quantitation,178,1.0
35,Sharpe_1998_adult_ultrathin_synapses_quantitation,701,Sharpe_1998_P10_ultrathin_synapses_quantitation,702,1.0
36,Kosinski_1997_sections_htt+/calb-_neurons_quantitation,138,Kosinski_1997_sections_htt++/calb-_neurons_quantitation,140,1.0
37,Kosinski_1997_sections_htt+++/calb-_neurons_quantitation,142,Kosinski_1997_sections_htt+/calb-_neurons_quantitation,138,1.0
38,Forlano_2010_males_slices_MSN_spines_quantitation,104,Forlano_2010_females_slices_MSN_spines_quantitation,103,1.0
39,Kosinski_1997_sections_htt+/calb_neuron_quantitation,139,Kosinski_1997_sections_htt++/calb-_neurons_quantitation,140,1.0
40,Meredith_1989_sections_single_ChAT_neurons_quantitation,178,Meredith_1989_sections_single_ChAT_neurons_distribution,179,1.0
41,Kosinski_1997_sections_htt+++/calb_neurons_quantitation,141,Kosinski_1997_sections_htt+/calb-_neurons_quantitation,138,1.0
42,Burke_1990_sections_ChAT_cells_quantitation,81,Burke_1990_sections_ChAT_neurons_distribution,82,1.0
43,Walker_2012b_sections_Thneg_neurons_quantitation,490,Vu_2000_pilot_sections_TH_neurons_quantitation,414,1.0
44,Kosinski_1997_sections_htt+++/calb_neurons_quantitation,141,Kosinski_1997_sections_htt++/calb-_neurons_quantitation,140,1.0
45,Kosinski_1997_sections_htt+/calb_neuron_quantitation,139,Kosinski_1997_sections_htt+/calb-_neurons_quantitation,138,1.0
46,Park_2006_TH_nissl_sections_neurons_quantitation,474,Park_2006_TH_nissl_sections_TH_neurons_quantitation,475,1.0
47,Park_2006_TH_nissl_sections_TH_neurons_quantitation,475,Park_2006_TH_nissl_sections_neurons_quantitation,474,1.0
48,Johnson_2010_rats_sections_TH_neurons_quantitation,346,Johnson_2010_rats_sections_neurons_quantitation,351,1.0
49,Johnson_2010_rats_sections_TH_neurons_quantitation,346,Johnson_2010b_rat_sections_Thneg_neurons_quantitation,359,1.0
50,Johnson_2010b_rat_sections_TH_neurons_quantitation,358,Johnson_2010_rats_sections_neurons_quantitation,351,1.0
51,Johnson_2010_rats_sections_Thneg_neurons_quantitation,350,Johnson_2010_rats_sections_neurons_quantitation,351,1.0
52,Lolova_1995_3m_sections_bFGF_neurons_quantitation,157,Lolova_1995_12m_sections_bFGF_large_neuron_quantitation,163,1.0
53,Lolova_1995_3m_sections_bFGF_small_neurons_quantitation,158,Lolova_1995_12m_sections_bFGF_large_neuron_quantitation,163,1.0
54,Lolova_1995_12m_sections_bFGF_medium_neuron_quantitation,162,Lolova_1995_12m_sections_bFGF_large_neuron_quantitation,163,1.0
55,Lolova_1995_3m_sections_bFGF_large_neuron_quantitation,160,Lolova_1995_12m_sections_bFGF_large_neuron_quantitation,163,1.0
56,Lolova_1995_3m_sections_bFGF_medium_neurons_quantitation,159,Lolova_1995_3m_sections_bFGF_neurons_quantitation,157,1.0
57,Khudoerkov_2014_TH-_neurons_quantitation,136,Khudoerkov_2014_TH_neurons_quantitation,135,1.0
58,Roberts_1995_ultrathin_synapses_quantitation,212,Roberts_1995_ultrathin_asym_synapses_quantitation,213,1.0
59,Lenz_1994_sections_GAD67_neurons_quantitation,147,Lenz_1994_sections_PV_GAD67_neurons_quantitation,148,1.0
60,Wouterlood_2012_sections_vgat_terminals_distribution,261,Wouterlood_2012_sections_vgat_terminals_quantitation,260,1.0
61,Roberts_1995_ultrathin_sym_synapses_quantitation,214,Roberts_1995_ultrathin_asym_synapses_quantitation,213,1.0
62,Roberts_1995_ultrathin_sym_synapses_quantitation,214,Roberts_1995_ultrathin_synapses_quantitation,212,1.0
63,Lenz_1994_sections_PV_GAD67_neurons_quantitation,148,Lenz_1994_sections_GAD67_neurons_quantitation,147,1.0
64,Bowenkamp_2000_old_sections_TH_neurons_quantitation,430,Bowenkamp_2000_adult_sections_TH_neurons_quantitation,429,1.0
65,Koshimizu_2013_sections_cSTN_boutons_quantitation,466,Koshimizu_2013_sections_lSTN_boutons_quantitation,467,1.0
66,Koshimizu_2013_sections_cSTN_boutons_quantitation,466,Koshimizu_2013_sections_mSTN_boutons_quantitation,468,1.0
67,Koshimizu_2013_sections_lSTN_boutons_quantitation,467,Koshimizu_2013_sections_mSTN_boutons_quantitation,468,1.0
68,Koshimizu_2013_sections_rSTN_boutons_quantitation,465,Koshimizu_2013_sections_mSTN_boutons_quantitation,468,1.0
69,Bowenkamp_2000_adult_sections_TH_neurons_quantitation,429,Bowenkamp_2000_old_sections_TH_neurons_quantitation,430,1.0
70,Nair-Roberts_2008_sections_GAD_TH_TH_neurons_quantitation,186,Nair-Roberts_2008_sections_GAD_TH_GAD_neuron_quantitation,187,1.0
71,Gritti_2006_sections_cells_quantitation,115,Gritti_2006_sections_PAG_neurons_quantitation,114,1.0
72,Gritti_2006_sections_PAG_neurons_quantitation,114,Gritti_2006_sections_cells_quantitation,115,1.0
73,Ishida_2001_sections_cfos_neurons_quantitation,461,Ishida_2001_sections_TH_neurons_quantitation,460,1.0
74,Ishida_2001_sections_TH_neurons_quantitation,460,Ishida_2001_sections_cfos_neurons_quantitation,461,1.0
75,Koshimizu_2013_sections_rSTN_boutons_quantitation,465,Koshimizu_2013_sections_cSTN_boutons_quantitation,466,1.0
76,Koshimizu_2013_sections_boutons_quantitation,464,Koshimizu_2013_sections_cSTN_boutons_quantitation,466,1.0
77,Koshimizu_2013_sections_boutons_quantitation,464,Koshimizu_2013_sections_mSTN_boutons_quantitation,468,1.0
78,Koshimizu_2013_sections_lSTN_boutons_quantitation,467,Koshimizu_2013_sections_cSTN_boutons_quantitation,466,1.0
79,Koshimizu_2013_sections_mSTN_boutons_quantitation,468,Koshimizu_2013_sections_cSTN_boutons_quantitation,466,1.0
80,Koshimizu_2013_sections_mSTN_boutons_quantitation,468,Koshimizu_2013_sections_lSTN_boutons_quantitation,467,1.0
81,Nair-Roberts_2008_sections_GAD_TH_GAD_neuron_quantitation,187,Nair-Roberts_2008_sections_GAD_TH_TH_neurons_quantitation,186,1.0
82,Roberts_1995_ultrathin_asym_synapses_quantitation,213,Roberts_1995_ultrathin_synapses_quantitation,212,1.0
83,Roberts_1995_ultrathin_asym_synapses_quantitation,213,Roberts_1995_ultrathin_sym_synapses_quantitation,214,1.0
84,Roberts_1995_ultrathin_synapses_quantitation,212,Roberts_1995_ultrathin_sym_synapses_quantitation,214,1.0
85,Wouterlood_2012_sections_vgat_terminals_quantitation,260,Wouterlood_2012_sections_vgat_terminals_distribution,261,1.0
86,Khudoerkov_2014_TH_neurons_quantitation,135,Khudoerkov_2014_TH-_neurons_quantitation,136,1.0
87,Lolova_1995_3m_sections_bFGF_medium_neurons_quantitation,159,Lolova_1995_12m_sections_bFGF_large_neuron_quantitation,163,1.0
88,Lolova_1995_3m_sections_bFGF_large_neuron_quantitation,160,Lolova_1995_3m_sections_bFGF_neurons_quantitation,157,1.0
89,Lolova_1995_12m_sections_bFGF_small_neuron_quantitation,161,Lolova_1995_3m_sections_bFGF_neurons_quantitation,157,1.0
90,Lolova_1995_12m_sections_bFGF_small_neuron_quantitation,161,Lolova_1995_12m_sections_bFGF_large_neuron_quantitation,163,1.0
91,Lolova_1995_12m_sections_bFGF_medium_neuron_quantitation,162,Lolova_1995_3m_sections_bFGF_neurons_quantitation,157,1.0
92,Lolova_1995_12m_sections_bFGF_neuron_quantitation,164,Lolova_1995_3m_sections_bFGF_neurons_quantitation,157,1.0
93,Lolova_1995_12m_sections_bFGF_neuron_quantitation,164,Lolova_1995_12m_sections_bFGF_large_neuron_quantitation,163,1.0
94,Lolova_1995_3m_sections_bFGF_small_neurons_quantitation,158,Lolova_1995_3m_sections_bFGF_neurons_quantitation,157,1.0
95,Lolova_1995_12m_sections_bFGF_large_neuron_quantitation,163,Lolova_1995_3m_sections_bFGF_neurons_quantitation,157,1.0
96,Lolova_1995_12m_sections_bFGF_large_neuron_quantitation,163,Lolova_1995_3m_sections_bFGF_small_neurons_quantitation,158,1.0
97,Lolova_1995_3m_sections_bFGF_neurons_quantitation,157,Lolova_1995_3m_sections_bFGF_small_neurons_quantitation,158,1.0
98,Johnson_2010_rats_sections_Thneg_neurons_quantitation,350,Johnson_2010b_rat_sections_Thneg_neurons_quantitation,359,1.0
99,Johnson_2010b_rat_sections_TH_neurons_quantitation,358,Johnson_2010b_rat_sections_Thneg_neurons_quantitation,359,1.0
100,Vu_2000_pilot_sections_TH_neurons_quantitation,414,Walker_2012b_sections_Thneg_neurons_quantitation,490,1.0
101,Johnson_2010b_rat_sections_neurons_quantitation,357,Johnson_2010b_rat_sections_Thneg_neurons_quantitation,359,1.0
102,Johnson_2010b_rat_sections_neurons_quantitation,357,Johnson_2010_rats_sections_neurons_quantitation,351,1.0
103,Johnson_2010_rats_sections_neurons_quantitation,351,Johnson_2010b_rat_sections_Thneg_neurons_quantitation,359,1.0
104,Johnson_2010_rats_sections_neurons_quantitation,351,Johnson_2010b_rat_sections_neurons_quantitation,357,1.0
105,Johnson_2010b_rat_sections_Thneg_neurons_quantitation,359,Johnson_2010_rats_sections_neurons_quantitation,351,1.0
106,Johnson_2010b_rat_sections_Thneg_neurons_quantitation,359,Johnson_2010b_rat_sections_neurons_quantitation,357,1.0
107,Kosinski_1997_sections_htt++/calb_neurons_quantitation,137,Kosinski_1997_sections_htt+/calb-_neurons_quantitation,138,1.0
108,Kosinski_1997_sections_htt++/calb_neurons_quantitation,137,Kosinski_1997_sections_htt++/calb-_neurons_quantitation,140,1.0
109,Forlano_2010_females_slices_MSN_spines_quantitation,103,Forlano_2010_males_slices_MSN_spines_quantitation,104,1.0
110,Burke_1990_sections_ChAT_neurons_distribution,82,Burke_1990_sections_ChAT_cells_quantitation,81,1.0
111,Kosinski_1997_sections_htt-/calb_neurons_quantitation,143,Kosinski_1997_sections_htt+/calb-_neurons_quantitation,138,1.0
112,Kosinski_1997_sections_htt-/calb_neurons_quantitation,143,Kosinski_1997_sections_htt++/calb-_neurons_quantitation,140,1.0
113,Kosinski_1997_sections_htt+++/calb-_neurons_quantitation,142,Kosinski_1997_sections_htt++/calb-_neurons_quantitation,140,1.0
114,Kosinski_1997_sections_htt++/calb-_neurons_quantitation,140,Kosinski_1997_sections_htt+/calb-_neurons_quantitation,138,1.0
115,Kosinski_1997_sections_htt++/calb-_neurons_quantitation,140,Kosinski_1997_sections_htt+++/calb-_neurons_quantitation,142,1.0
116,Kosinski_1997_sections_htt+/calb-_neurons_quantitation,138,Kosinski_1997_sections_htt+++/calb-_neurons_quantitation,142,1.0
117,Roberts_1995b_ultrathin_synapses_sym_quantitation,681,Sharpe_1998_P15_ultrathin_synapses_quantitation,703,1.0
118,Roberts_1995b_ultrathin_synapses_asym_quantitation,682,Sharpe_1998_P10_ultrathin_synapses_quantitation,702,1.0
119,Roberts_1995b_ultrathin_synapses_asym_quantitation,682,Sharpe_1998_P15_ultrathin_synapses_quantitation,703,1.0
120,Itzev_2008_ultrathinsections_DS,131,Sharpe_1998_P15_ultrathin_synapses_quantitation,703,1.0
121,Ariano_1997_sections_GluR1_D2_D2_neuron_quantitation_1,61,Ariano_1997_sections_GluR1_D2_GluR1_mRNA_neuron_quantitation_3,65,1.0
122,Ariano_1997_sections_GluR1double_GluR1_neuron_quantitation_1,57,Ariano_1997_sections_GluR1double_GluR1_mRNA_neuron_quantitation_1,58,1.0
123,Sharpe_1998_P21_ultrathin_synapses_quantitation,704,Sharpe_1998_P10_ultrathin_synapses_quantitation,702,1.0
124,Sharpe_1998_P21_ultrathin_synapses_quantitation,704,Sharpe_1998_P15_ultrathin_synapses_quantitation,703,1.0
125,Ariano_1997_sections_D2_NMDAR1_NMDAR1_neuron_quantitation_3,68,Ariano_1997_sections_D2_NMDAR1_D2_mRNA_neuron_quantitation_1,74,1.0
126,Sharpe_1998_P15_ultrathin_synapses_quantitation,703,Sharpe_1998_P21_ultrathin_synapses_quantitation,704,1.0
127,Fischer_1992_18m_sections_ChAT_neurons_quantitation,601,Fischer_1992_30m_sections_ChAT_neurons_quantitation,602,1.0
128,Fischer_1992_18m_sections_ChAT_neurons_quantitation,601,Fischer_1992_12m_sections_ChAT_neurons_quantitation,600,1.0
129,Laprade_1997_sections_ish_PPE_neurons_quantitation,631,Laprade_1997_sections_ish_GAD65_neurons_quantitation,630,1.0
130,Fischer_1992_30m_sections_ChAT_neurons_quantitation,602,Fischer_1992_12m_sections_ChAT_neurons_quantitation,600,1.0
131,Fischer_1992_12m_sections_ChAT_neurons_quantitation,600,Fischer_1992_30m_sections_ChAT_neurons_quantitation,602,1.0
132,Ariano_1997_sections_D1A_GluR1_GluR1_neuron_quantitation_2,69,Ariano_1997_sections_D1A_GluR1_D1A_mRNA_neuron_quantitation_2,72,1.0
133,Fischer_1992_12m_sections_ChAT_neurons_quantitation,600,Fischer_1992_3m_sections_ChAT_neurons_quantitation,603,1.0
134,Fischer_1992_3m_sections_ChAT_neurons_quantitation,603,Fischer_1992_30m_sections_ChAT_neurons_quantitation,602,1.0
135,Ariano_1997_sections_GluR1double_GluR1_mRNA_neuron_quantitation_1,58,Ariano_1997_sections_GluR1double_GluR1_neuron_quantitation_1,57,1.0
136,Ariano_1997_sections_GluR1_D2_GluR1_mRNA_neuron_quantitation_3,65,Ariano_1997_sections_GluR1_D2_D2_neuron_quantitation_1,61,1.0
137,Ariano_1997_sections_D2_NMDAR1_D2_mRNA_neuron_quantitation_1,74,Ariano_1997_sections_D2_NMDAR1_NMDAR1_neuron_quantitation_3,68,1.0
138,Loescher_2006_sham_sections_GABA_neurons_quantitation,533,Loescher_2006_sections_GABA_neurons_distribution,306,1.0
139,Walker_2012_ultrathin_VGLUT1_terminals_quantitation,245,Walker_2012_ultrathin_VGLUT1-_terminals_quantitation,246,1.0
140,Rodrigues_2001_sections_GFAP_cells_quantitation,479,Gomide_2005b_sections_GFAP_cells_quantitation,451,0.75
141,Gomide_2005b_sections_OX-42_cells_quantitation,452,Rodrigues_2001_sections_OX42_cells_quantitation,480,0.75
142,Gomide_2005b_sections_GFAP_cells_quantitation,451,Rodrigues_2001_sections_GFAP_cells_quantitation,479,0.75
143,Omelchenko_2016_sections_TH_neurons_quantitation,471,Panneton_2010_sections_TH_neurons_quantitation,378,0.75
144,Panneton_2010_sections_TH_neurons_quantitation,378,Omelchenko_2016_sections_TH_neurons_quantitation,471,0.75
145,Rodrigues_2001_sections_OX42_cells_quantitation,480,Gomide_2005b_sections_OX-42_cells_quantitation,452,0.75
146,Guan_1999_sections_ChAT_neurons_quantitation,117,Lohr_2000_sections_cholinergic_neurons_quantitation,650,0.75
147,Lohr_2000_sections_cholinergic_neurons_quantitation,650,Guan_1999_sections_ChAT_neurons_quantitation,117,0.75
148,Hardman_2002_sections_nissl_neurons_quantitation,123,Hardman_2002_sections_PV_neurons_quantitation,124,0.6666666666666666
149,Panneton_2010_sections_nissl_neurons_quantitation,379,Panneton_2010_sections_TH_neurons_quantitation,378,0.6666666666666666
150,Panneton_2010_sections_TH_neurons_quantitation,378,Panneton_2010_sections_nissl_neurons_quantitation,379,0.6666666666666666
151,Hardman_2002_sections_PV_neurons_quantitation,124,Hardman_2002_sections_nissl_neurons_quantitation,123,0.6666666666666666
152,Ariano_1997_sections_D1A_D2_D2_neuron_quantitation_2,62,Ariano_1997_sections_D1A_GluR1_GluR1_neuron_quantitation_2,69,0.6
153,Yoshikawa_2010_immuno_sections_chat_neurons_quantitation,721,Yoshikawa_2010_immuno_sections_npy_neurons_quantitation,723,0.6
154,Yoshikawa_2010_immuno_sections_chat_neurons_quantitation,721,Yoshikawa_2010_immuno_sections_darpp_neurons_quantitation,722,0.6
155,Ariano_1997_sections_GluR1_D1A_GluR1_mRNA_neuron_quantitation_2,64,Ariano_1997_sections_GluR1double_GluR1_mRNA_neuron_quantitation_1,58,0.6
156,Ariano_1997_sections_GluR1_D1A_D1A_neuron_quantitation_1,60,Ariano_1997_sections_GluR1double_GluR1_mRNA_neuron_quantitation_1,58,0.6
157,Rodrigues_2001_sections_OX42_cells_quantitation,480,Gomide_2005_sections_bgfg_cells_quantitation,334,0.6
158,Guan_1999_sections_SOM_neurons_quantitation,121,Guan_1999_sections_PV_neurons_quantitation,120,0.6
159,Rodrigues_2001_sections_GFAP_cells_quantitation,479,Gomide_2005_sections_s100_cells_quantitation,335,0.6
160,Gomide_2005_sections_bgfg_cells_quantitation,334,Rodrigues_2001_sections_OX42_cells_quantitation,480,0.6
161,Gomide_2005_sections_s100_cells_quantitation,335,Rodrigues_2001_sections_GFAP_cells_quantitation,479,0.6
162,Guan_1999_sections_SOM_neurons_quantitation,121,Guan_1999_sections_ChAT_neurons_quantitation,117,0.6
163,Guan_1999_sections_nNOS_neurons_quantitation,119,Guan_1999_sections_PV_neurons_quantitation,120,0.6
164,Guan_1999_sections_nNOS_neurons_quantitation,119,Guan_1999_sections_ChAT_neurons_quantitation,117,0.6
165,Ariano_1997_sections_D1A_GluR1_D1A_mRNA_neuron_quantitation_2,72,Ariano_1997_sections_D1A_D2_D1A_mRNA_neuron_quantitation_3,73,0.6
166,Ariano_1997_sections_GluR1_NMDAR1_NMDAR1_neuron_quantitation,59,Ariano_1997_sections_GluR1_D2_GluR1_mRNA_neuron_quantitation_3,65,0.6
167,Yoshikawa_2010_immuno_sections_pv_neurons_quantitation,724,Yoshikawa_2010_immuno_sections_npy_neurons_quantitation,723,0.6
168,Ariano_1997_sections_GluR1_NMDAR1_GluR1_mRNA_neuron_quantitation_4,66,Ariano_1997_sections_GluR1_D2_GluR1_mRNA_neuron_quantitation_3,65,0.6
169,Guan_1999_sections_PV_neurons_quantitation,120,del Moral_2004_sections_nNOS_neurons_quantitation,85,0.6
170,del Moral_2004_sections_nNOS_neurons_quantitation,85,Guan_1999_sections_PV_neurons_quantitation,120,0.6
171,Guan_1999_sections_GAD_neurons_quantitation,118,Guan_1999_sections_PV_neurons_quantitation,120,0.6
172,Guan_1999_sections_GAD_neurons_quantitation,118,Guan_1999_sections_ChAT_neurons_quantitation,117,0.6
173,del Moral_2004_sections_nNOS_neurons_quantitation,85,Guan_1999_sections_ChAT_neurons_quantitation,117,0.6
174,Guan_1999_sections_PV_neurons_quantitation,120,Guan_1999_sections_ChAT_neurons_quantitation,117,0.6
175,Guan_1999_sections_ChAT_neurons_quantitation,117,Guan_1999_sections_PV_neurons_quantitation,120,0.6
176,Ariano_1997_sections_D2_D1A_D2_mRNA_neuron_quantitation_3,76,Ariano_1997_sections_D2_NMDAR1_D2_mRNA_neuron_quantitation_1,74,0.6
177,Yoshikawa_2010_immuno_sections_pv_neurons_quantitation,724,Yoshikawa_2010_immuno_sections_darpp_neurons_quantitation,722,0.6
178,Wouterlood_2012_sections_vglut1_boutons_quantitation,258,Wouterlood_2012_sections_vglut1_distribution,262,0.6
179,Yang_2008_sections_XPB_neurons_quantitation,265,Yang_2008_sections_XPA_cells_quantitation,264,0.6
180,Wouterlood_2012_sections_vglut2_distribution,263,Wouterlood_2012_sections_vglut2_terminals_quantitation,259,0.6
181,Wouterlood_2012_sections_vglut2_terminals_quantitation,259,Wouterlood_2012_sections_vglut2_distribution,263,0.6
182,Wouterlood_2012_sections_vglut1_distribution,262,Wouterlood_2012_sections_vglut1_boutons_quantitation,258,0.6
183,Yang_2008_sections_XPA_cells_quantitation,264,Yang_2008_sections_XPB_neurons_quantitation,265,0.6
184,Ariano_1997_sections_D2_GluR1_D2_mRNA_neuron_quantitation_2,75,Ariano_1997_sections_D1A_GluR1_GluR1_neuron_quantitation_2,69,0.6
185,Ariano_1997_sections_D1A_NMDAR1_NMDAR1_neuron_quantitation_2,67,Ariano_1997_sections_D1A_GluR1_GluR1_neuron_quantitation_2,69,0.6
186,Ariano_1997_sections_GluR1_D2_D2_neuron_quantitation_1,61,Ariano_1997_sections_GluR1double_GluR1_mRNA_neuron_quantitation_1,58,0.6
187,Ariano_1997_sections_GluR1double_GluR1_neuron_quantitation_1,57,Ariano_1997_sections_D1A_GluR1_GluR1_neuron_quantitation_2,69,0.6
188,Ariano_1997_sections_D1A_NMDAR1_D1A_mRNA_neuron_quantitation_1,71,Ariano_1997_sections_D1A_GluR1_GluR1_neuron_quantitation_2,69,0.6
189,Ariano_1997_sections_D2_NMDAR1_NMDAR1_neuron_quantitation_3,68,Ariano_1997_sections_D2_D1A_D1A_neuron_quantitation_2,63,0.6
190,Yoshikawa_2010_immuno_sections_npy_neurons_quantitation,723,Yoshikawa_2010_immuno_sections_darpp_neurons_quantitation,722,0.6
191,Yoshikawa_2010_immuno_sections_npy_neurons_quantitation,723,Yoshikawa_2010_immuno_sections_chat_neurons_quantitation,721,0.6
192,Ariano_1997_sections_D2_GluR1_GluR1_neuron_quantitation_3,70,Ariano_1997_sections_D1A_GluR1_GluR1_neuron_quantitation_2,69,0.6
193,Yoshikawa_2010_immuno_sections_darpp_neurons_quantitation,722,Yoshikawa_2010_immuno_sections_chat_neurons_quantitation,721,0.6
194,Ariano_1997_sections_D1A_D2_D1A_mRNA_neuron_quantitation_3,73,Ariano_1997_sections_GluR1_D2_GluR1_mRNA_neuron_quantitation_3,65,0.6
195,Ariano_1997_sections_D1A_GluR1_GluR1_neuron_quantitation_2,69,Ariano_1997_sections_GluR1double_GluR1_mRNA_neuron_quantitation_1,58,0.6
196,Ariano_1997_sections_D2_NMDAR1_D2_mRNA_neuron_quantitation_1,74,Ariano_1997_sections_D2_GluR1_GluR1_neuron_quantitation_3,70,0.6
197,Ariano_1997_sections_GluR1_D2_GluR1_mRNA_neuron_quantitation_3,65,Ariano_1997_sections_GluR1double_GluR1_mRNA_neuron_quantitation_1,58,0.6
198,Ariano_1997_sections_GluR1double_GluR1_mRNA_neuron_quantitation_1,58,Ariano_1997_sections_GluR1_D2_GluR1_mRNA_neuron_quantitation_3,65,0.6
199,Yoshikawa_2010_immuno_sections_darpp_neurons_quantitation,722,Yoshikawa_2010_immuno_sections_npy_neurons_quantitation,723,0.6
200,Ariano_1997_sections_D2_D1A_D1A_neuron_quantitation_2,63,Ariano_1997_sections_D2_GluR1_GluR1_neuron_quantitation_3,70,0.6
201,Rymar_2004_sections_CR_neurons_quantitation,691,Alexi_1997_sections_calretinin_neurons_quantitation,542,0.5
202,Larsson_2001_sections_TrkA_neurons_quantitation,638,Larsson_2001_sections_PV_neurons_quantitation,637,0.5
203,Kerkerian_1990_sections_NPY_neurons_quantitation,132,Salin_1990_sections_som_neurons_quantitation,692,0.5
204,Lee_2002_sections_CR_neurons_quantitation,646,Lee_2002_sections_PV_neurons_quantitation,647,0.5
205,Lee_2002_sections_CB_neurons_quantitation,645,Alexi_1997_sections_GAD_neurons_quantitation,544,0.5
206,Johnston_1987_sections_chat_neurons_quantitation,627,Meredith_1989_sections_single_ChAT_neurons_quantitation,178,0.5
207,Johnston_1987_sections_chat_neurons_quantitation,627,Meredith_1989_sections_single_ChAT_neurons_distribution,179,0.5
