PhenotypeID,Phenotype_name,CellID,Cell_type_name
14,Expression_tyrosine hydroxylase,14,Tyrosine hydroxylase expressing
14,Expression_tyrosine hydroxylase,14,Tyrosine hydroxylase expressing
14,Expression_tyrosine hydroxylase,14,Tyrosine hydroxylase expressing
14,Expression_tyrosine hydroxylase,14,Tyrosine hydroxylase expressing
14,Expression_tyrosine hydroxylase,14,Tyrosine hydroxylase expressing
14,Expression_tyrosine hydroxylase,14,Tyrosine hydroxylase expressing
14,Expression_tyrosine hydroxylase,14,Tyrosine hydroxylase expressing
14,Expression_tyrosine hydroxylase,14,Tyrosine hydroxylase expressing
14,Expression_tyrosine hydroxylase,14,Tyrosine hydroxylase expressing
14,Expression_tyrosine hydroxylase,14,Tyrosine hydroxylase expressing
14,Expression_tyrosine hydroxylase,14,Tyrosine hydroxylase expressing
14,Expression_tyrosine hydroxylase,14,Tyrosine hydroxylase expressing
14,Expression_tyrosine hydroxylase,14,Tyrosine hydroxylase expressing
14,Expression_tyrosine hydroxylase,14,Tyrosine hydroxylase expressing
14,Expression_tyrosine hydroxylase,14,Tyrosine hydroxylase expressing
14,Expression_tyrosine hydroxylase,14,Tyrosine hydroxylase expressing
14,Expression_tyrosine hydroxylase,14,Tyrosine hydroxylase expressing
14,Expression_tyrosine hydroxylase,14,Tyrosine hydroxylase expressing
14,Expression_tyrosine hydroxylase,14,Tyrosine hydroxylase expressing
14,Expression_tyrosine hydroxylase,14,Tyrosine hydroxylase expressing
14,Expression_tyrosine hydroxylase,14,Tyrosine hydroxylase expressing
14,Expression_tyrosine hydroxylase,14,Tyrosine hydroxylase expressing
14,Expression_tyrosine hydroxylase,14,Tyrosine hydroxylase expressing
14,Expression_tyrosine hydroxylase,14,Tyrosine hydroxylase expressing
14,Expression_tyrosine hydroxylase,14,Tyrosine hydroxylase expressing
14,Expression_tyrosine hydroxylase,14,Tyrosine hydroxylase expressing
14,Expression_tyrosine hydroxylase,14,Tyrosine hydroxylase expressing
77,Electrophysiology_dopaminergic neuron,14,Tyrosine hydroxylase expressing
14,Expression_tyrosine hydroxylase,14,Tyrosine hydroxylase expressing
14,Expression_tyrosine hydroxylase,14,Tyrosine hydroxylase expressing
14,Expression_tyrosine hydroxylase,14,Tyrosine hydroxylase expressing
14,Expression_tyrosine hydroxylase,14,Tyrosine hydroxylase expressing
14,Expression_tyrosine hydroxylase,14,Tyrosine hydroxylase expressing
14,Expression_tyrosine hydroxylase,14,Tyrosine hydroxylase expressing
14,Expression_tyrosine hydroxylase,14,Tyrosine hydroxylase expressing
14,Expression_tyrosine hydroxylase,14,Tyrosine hydroxylase expressing
14,Expression_tyrosine hydroxylase,14,Tyrosine hydroxylase expressing
14,Expression_tyrosine hydroxylase,14,Tyrosine hydroxylase expressing
14,Expression_tyrosine hydroxylase,14,Tyrosine hydroxylase expressing
14,Expression_tyrosine hydroxylase,14,Tyrosine hydroxylase expressing
14,Expression_tyrosine hydroxylase,14,Tyrosine hydroxylase expressing
14,Expression_tyrosine hydroxylase,14,Tyrosine hydroxylase expressing
14,Expression_tyrosine hydroxylase,14,Tyrosine hydroxylase expressing
14,Expression_tyrosine hydroxylase,14,Tyrosine hydroxylase expressing
14,Expression_tyrosine hydroxylase,14,Tyrosine hydroxylase expressing
14,Expression_tyrosine hydroxylase,14,Tyrosine hydroxylase expressing
14,Expression_tyrosine hydroxylase,14,Tyrosine hydroxylase expressing
14,Expression_tyrosine hydroxylase,14,Tyrosine hydroxylase expressing
14,Expression_tyrosine hydroxylase,14,Tyrosine hydroxylase expressing
14,Expression_tyrosine hydroxylase,14,Tyrosine hydroxylase expressing
14,Expression_tyrosine hydroxylase,14,Tyrosine hydroxylase expressing
14,Expression_tyrosine hydroxylase,14,Tyrosine hydroxylase expressing
82,Expression_Nissl,14,Tyrosine hydroxylase expressing
14,Expression_tyrosine hydroxylase,14,Tyrosine hydroxylase expressing
82,Expression_Nissl,14,Tyrosine hydroxylase expressing
14,Expression_tyrosine hydroxylase,14,Tyrosine hydroxylase expressing
14,Expression_tyrosine hydroxylase,14,Tyrosine hydroxylase expressing
14,Expression_tyrosine hydroxylase,14,Tyrosine hydroxylase expressing
14,Expression_tyrosine hydroxylase,14,Tyrosine hydroxylase expressing
14,Expression_tyrosine hydroxylase,14,Tyrosine hydroxylase expressing
82,Expression_Nissl,14,Tyrosine hydroxylase expressing
14,Expression_tyrosine hydroxylase,14,Tyrosine hydroxylase expressing
82,Expression_Nissl,14,Tyrosine hydroxylase expressing
14,Expression_tyrosine hydroxylase,14,Tyrosine hydroxylase expressing
82,Expression_Nissl,14,Tyrosine hydroxylase expressing
14,Expression_tyrosine hydroxylase,14,Tyrosine hydroxylase expressing
82,Expression_Nissl,14,Tyrosine hydroxylase expressing
14,Expression_tyrosine hydroxylase,14,Tyrosine hydroxylase expressing
14,Expression_tyrosine hydroxylase,14,Tyrosine hydroxylase expressing
14,Expression_tyrosine hydroxylase,14,Tyrosine hydroxylase expressing
14,Expression_tyrosine hydroxylase,14,Tyrosine hydroxylase expressing
14,Expression_tyrosine hydroxylase,14,Tyrosine hydroxylase expressing
14,Expression_tyrosine hydroxylase,14,Tyrosine hydroxylase expressing
14,Expression_tyrosine hydroxylase,14,Tyrosine hydroxylase expressing
14,Expression_tyrosine hydroxylase,14,Tyrosine hydroxylase expressing
14,Expression_tyrosine hydroxylase,14,Tyrosine hydroxylase expressing
14,Expression_tyrosine hydroxylase,14,Tyrosine hydroxylase expressing
14,Expression_tyrosine hydroxylase,14,Tyrosine hydroxylase expressing
14,Expression_tyrosine hydroxylase,14,Tyrosine hydroxylase expressing
14,Expression_tyrosine hydroxylase,14,Tyrosine hydroxylase expressing
14,Expression_tyrosine hydroxylase,14,Tyrosine hydroxylase expressing
14,Expression_tyrosine hydroxylase,14,Tyrosine hydroxylase expressing
14,Expression_tyrosine hydroxylase,14,Tyrosine hydroxylase expressing
14,Expression_tyrosine hydroxylase,14,Tyrosine hydroxylase expressing
14,Expression_tyrosine hydroxylase,14,Tyrosine hydroxylase expressing
14,Expression_tyrosine hydroxylase,14,Tyrosine hydroxylase expressing
14,Expression_tyrosine hydroxylase,14,Tyrosine hydroxylase expressing
14,Expression_tyrosine hydroxylase,14,Tyrosine hydroxylase expressing
14,Expression_tyrosine hydroxylase,14,Tyrosine hydroxylase expressing
14,Expression_tyrosine hydroxylase,14,Tyrosine hydroxylase expressing
14,Expression_tyrosine hydroxylase,14,Tyrosine hydroxylase expressing
14,Expression_tyrosine hydroxylase,14,Tyrosine hydroxylase expressing
14,Expression_tyrosine hydroxylase,14,Tyrosine hydroxylase expressing
14,Expression_tyrosine hydroxylase,14,Tyrosine hydroxylase expressing
14,Expression_tyrosine hydroxylase,14,Tyrosine hydroxylase expressing
14,Expression_tyrosine hydroxylase,14,Tyrosine hydroxylase expressing
14,Expression_tyrosine hydroxylase,14,Tyrosine hydroxylase expressing
14,Expression_tyrosine hydroxylase,14,Tyrosine hydroxylase expressing
14,Expression_tyrosine hydroxylase,14,Tyrosine hydroxylase expressing
14,Expression_tyrosine hydroxylase,14,Tyrosine hydroxylase expressing
14,Expression_tyrosine hydroxylase,14,Tyrosine hydroxylase expressing
14,Expression_tyrosine hydroxylase,14,Tyrosine hydroxylase expressing
14,Expression_tyrosine hydroxylase,14,Tyrosine hydroxylase expressing
14,Expression_tyrosine hydroxylase,14,Tyrosine hydroxylase expressing
14,Expression_tyrosine hydroxylase,14,Tyrosine hydroxylase expressing
14,Expression_tyrosine hydroxylase,14,Tyrosine hydroxylase expressing
14,Expression_tyrosine hydroxylase,14,Tyrosine hydroxylase expressing
14,Expression_tyrosine hydroxylase,14,Tyrosine hydroxylase expressing
82,Expression_Nissl,14,Tyrosine hydroxylase expressing
14,Expression_tyrosine hydroxylase,14,Tyrosine hydroxylase expressing
14,Expression_tyrosine hydroxylase,14,Tyrosine hydroxylase expressing
14,Expression_tyrosine hydroxylase,14,Tyrosine hydroxylase expressing
14,Expression_tyrosine hydroxylase,14,Tyrosine hydroxylase expressing
14,Expression_tyrosine hydroxylase,14,Tyrosine hydroxylase expressing
14,Expression_tyrosine hydroxylase,14,Tyrosine hydroxylase expressing
82,Expression_Nissl,14,Tyrosine hydroxylase expressing
14,Expression_tyrosine hydroxylase,14,Tyrosine hydroxylase expressing
14,Expression_tyrosine hydroxylase,14,Tyrosine hydroxylase expressing
14,Expression_tyrosine hydroxylase,14,Tyrosine hydroxylase expressing
14,Expression_tyrosine hydroxylase,14,Tyrosine hydroxylase expressing
14,Expression_tyrosine hydroxylase,14,Tyrosine hydroxylase expressing
14,Expression_tyrosine hydroxylase,14,Tyrosine hydroxylase expressing
14,Expression_tyrosine hydroxylase,14,Tyrosine hydroxylase expressing
14,Expression_tyrosine hydroxylase,14,Tyrosine hydroxylase expressing
14,Expression_tyrosine hydroxylase,14,Tyrosine hydroxylase expressing
14,Expression_tyrosine hydroxylase,14,Tyrosine hydroxylase expressing
14,Expression_tyrosine hydroxylase,14,Tyrosine hydroxylase expressing
14,Expression_tyrosine hydroxylase,14,Tyrosine hydroxylase expressing
14,Expression_tyrosine hydroxylase,14,Tyrosine hydroxylase expressing
14,Expression_tyrosine hydroxylase,14,Tyrosine hydroxylase expressing
14,Expression_tyrosine hydroxylase,14,Tyrosine hydroxylase expressing
14,Expression_tyrosine hydroxylase,14,Tyrosine hydroxylase expressing
14,Expression_tyrosine hydroxylase,14,Tyrosine hydroxylase expressing
14,Expression_tyrosine hydroxylase,14,Tyrosine hydroxylase expressing
14,Expression_tyrosine hydroxylase,14,Tyrosine hydroxylase expressing
14,Expression_tyrosine hydroxylase,14,Tyrosine hydroxylase expressing
104,Expression_DAT,14,Tyrosine hydroxylase expressing
14,Expression_tyrosine hydroxylase,14,Tyrosine hydroxylase expressing
14,Expression_tyrosine hydroxylase,14,Tyrosine hydroxylase expressing
24,Expression_dynorphin mRNA,17,Dynorphin expressing
9,Expression_nitric oxide synthase,18,nNOS-expressing
9,Expression_nitric oxide synthase,18,nNOS-expressing
9,Expression_nitric oxide synthase,18,nNOS-expressing
9,Expression_nitric oxide synthase,18,nNOS-expressing
9,Expression_nitric oxide synthase,18,nNOS-expressing
9,Expression_nitric oxide synthase,18,nNOS-expressing
9,Expression_nitric oxide synthase,18,nNOS-expressing
9,Expression_nitric oxide synthase,18,nNOS-expressing
27,Expression_substance p,21,Substance P expressing
27,Expression_substance p,21,Substance P expressing
58,Expression_pre-protachykinin mRNA,21,Substance P expressing
58,Expression_pre-protachykinin mRNA,21,Substance P expressing
58,Expression_pre-protachykinin mRNA,21,Substance P expressing
58,Expression_pre-protachykinin mRNA,21,Substance P expressing
28,Morphology_small size,22,Small sized cell
28,Morphology_small size,22,Small sized cell
28,Morphology_small size,22,Small sized cell
20,Morphology_medium size,23,Medium sized cell
20,Morphology_medium size,23,Medium sized cell
20,Morphology_medium size,23,Medium sized cell
20,Morphology_medium size,23,Medium sized cell
20,Morphology_medium size,23,Medium sized cell
30,Expression_dopamine receptor 3 mRNA,25,Dopamine receptor 3 / enkephalin co-expressing
29,Expression_pre-proenkephalin A mRNA,25,Dopamine receptor 3 / enkephalin co-expressing
30,Expression_dopamine receptor 3 mRNA,26,Dopamine receptor 3 expressing / enkephalin negative
19,Expression_dopamine 2 receptor mRNA,29,Dopamine receptor 2  / enkephalin co-expressing
29,Expression_pre-proenkephalin A mRNA,29,Dopamine receptor 2  / enkephalin co-expressing
18,Expression_dopamine 1 receptor mRNA,30,Dopamine receptor 1  / enkephalin co-expressing
29,Expression_pre-proenkephalin A mRNA,30,Dopamine receptor 1  / enkephalin co-expressing
57,Expression_pre-proenkephalin mRNA,31,Pre proenkephalin expressing
29,Expression_pre-proenkephalin A mRNA,31,Pre proenkephalin expressing
22,Expression_choline acetyltransferase,33,Cholinergic neuron
22,Expression_choline acetyltransferase,33,Cholinergic neuron
22,Expression_choline acetyltransferase,33,Cholinergic neuron
22,Expression_choline acetyltransferase,33,Cholinergic neuron
22,Expression_choline acetyltransferase,33,Cholinergic neuron
22,Expression_choline acetyltransferase,33,Cholinergic neuron
22,Expression_choline acetyltransferase,33,Cholinergic neuron
22,Expression_choline acetyltransferase,33,Cholinergic neuron
22,Expression_choline acetyltransferase,33,Cholinergic neuron
22,Expression_choline acetyltransferase,33,Cholinergic neuron
22,Expression_choline acetyltransferase,33,Cholinergic neuron
22,Expression_choline acetyltransferase,33,Cholinergic neuron
22,Expression_choline acetyltransferase,33,Cholinergic neuron
22,Expression_choline acetyltransferase,33,Cholinergic neuron
22,Expression_choline acetyltransferase,33,Cholinergic neuron
22,Expression_choline acetyltransferase,33,Cholinergic neuron
22,Expression_choline acetyltransferase,33,Cholinergic neuron
22,Expression_choline acetyltransferase,33,Cholinergic neuron
22,Expression_choline acetyltransferase,33,Cholinergic neuron
22,Expression_choline acetyltransferase,33,Cholinergic neuron
76,Expression_cholecystokinin,33,Cholinergic neuron
22,Expression_choline acetyltransferase,33,Cholinergic neuron
22,Expression_choline acetyltransferase,33,Cholinergic neuron
85,Expression_NeuN,33,Cholinergic neuron
22,Expression_choline acetyltransferase,33,Cholinergic neuron
22,Expression_choline acetyltransferase,33,Cholinergic neuron
33,Expression_phosphate activated glutaminase,34,Phosphate activated glutaminase expressing
5,Expression_calbindin,36,Calbindin expressing
5,Expression_calbindin,36,Calbindin expressing
5,Expression_calbindin,36,Calbindin expressing
5,Expression_calbindin,36,Calbindin expressing
5,Expression_calbindin,36,Calbindin expressing
5,Expression_calbindin,36,Calbindin expressing
5,Expression_calbindin,36,Calbindin expressing
4,Expression_parvalbumin,37,Parvalbumin expressing
4,Expression_parvalbumin,37,Parvalbumin expressing
4,Expression_parvalbumin,37,Parvalbumin expressing
4,Expression_parvalbumin,37,Parvalbumin expressing
39,Expression_parvalbumin mRNA,37,Parvalbumin expressing
4,Expression_parvalbumin,37,Parvalbumin expressing
4,Expression_parvalbumin,37,Parvalbumin expressing
4,Expression_parvalbumin,37,Parvalbumin expressing
4,Expression_parvalbumin,37,Parvalbumin expressing
4,Expression_parvalbumin,37,Parvalbumin expressing
4,Expression_parvalbumin,37,Parvalbumin expressing
4,Expression_parvalbumin,37,Parvalbumin expressing
4,Expression_parvalbumin,37,Parvalbumin expressing
4,Expression_parvalbumin,37,Parvalbumin expressing
4,Expression_parvalbumin,37,Parvalbumin expressing
4,Expression_parvalbumin,37,Parvalbumin expressing
4,Expression_parvalbumin,37,Parvalbumin expressing
4,Expression_parvalbumin,37,Parvalbumin expressing
85,Expression_NeuN,37,Parvalbumin expressing
4,Expression_parvalbumin,37,Parvalbumin expressing
8,Expression_somatostatin,38,Somatostatin expressing
8,Expression_somatostatin,38,Somatostatin expressing
80,Expression_somatostatin mRNA,38,Somatostatin expressing
61,Expression_pre-prosomatostatin mRNA,38,Somatostatin expressing
8,Expression_somatostatin,38,Somatostatin expressing
61,Expression_pre-prosomatostatin mRNA,38,Somatostatin expressing
8,Expression_somatostatin,38,Somatostatin expressing
61,Expression_pre-prosomatostatin mRNA,38,Somatostatin expressing
8,Expression_somatostatin,38,Somatostatin expressing
6,Expression_calretinin,39,Calretinin expressing
6,Expression_calretinin,39,Calretinin expressing
6,Expression_calretinin,39,Calretinin expressing
6,Expression_calretinin,39,Calretinin expressing
6,Expression_calretinin,39,Calretinin expressing
35,Expression_NADPHd,40,NADPHd expressing
35,Expression_NADPHd,40,NADPHd expressing
35,Expression_NADPHd,40,NADPHd expressing
35,Expression_NADPHd,40,NADPHd expressing
35,Expression_NADPHd,40,NADPHd expressing
35,Expression_NADPHd,40,NADPHd expressing
35,Expression_NADPHd,40,NADPHd expressing
35,Expression_NADPHd,40,NADPHd expressing
35,Expression_NADPHd,40,NADPHd expressing
35,Expression_NADPHd,40,NADPHd expressing
35,Expression_NADPHd,40,NADPHd expressing
35,Expression_NADPHd,40,NADPHd expressing
35,Expression_NADPHd,40,NADPHd expressing
35,Expression_NADPHd,40,NADPHd expressing
35,Expression_NADPHd,40,NADPHd expressing
35,Expression_NADPHd,40,NADPHd expressing
35,Expression_NADPHd,40,NADPHd expressing
35,Expression_NADPHd,40,NADPHd expressing
35,Expression_NADPHd,40,NADPHd expressing
35,Expression_NADPHd,40,NADPHd expressing
10,Expression_neuropeptide Y,41,Neuropeptide Y expressing
10,Expression_neuropeptide Y,41,Neuropeptide Y expressing
10,Expression_neuropeptide Y,41,Neuropeptide Y expressing
10,Expression_neuropeptide Y,41,Neuropeptide Y expressing
10,Expression_neuropeptide Y,41,Neuropeptide Y expressing
10,Expression_neuropeptide Y,41,Neuropeptide Y expressing
10,Expression_neuropeptide Y,41,Neuropeptide Y expressing
10,Expression_neuropeptide Y,41,Neuropeptide Y expressing
85,Expression_NeuN,41,Neuropeptide Y expressing
10,Expression_neuropeptide Y,41,Neuropeptide Y expressing
82,Expression_Nissl,42,Neuron
82,Expression_Nissl,42,Neuron
82,Expression_Nissl,42,Neuron
82,Expression_Nissl,42,Neuron
82,Expression_Nissl,42,Neuron
82,Expression_Nissl,42,Neuron
82,Expression_Nissl,42,Neuron
82,Expression_Nissl,42,Neuron
82,Expression_Nissl,42,Neuron
85,Expression_NeuN,42,Neuron
85,Expression_NeuN,42,Neuron
82,Expression_Nissl,42,Neuron
82,Expression_Nissl,42,Neuron
82,Expression_Nissl,42,Neuron
82,Expression_Nissl,42,Neuron
82,Expression_Nissl,42,Neuron
82,Expression_Nissl,42,Neuron
82,Expression_Nissl,42,Neuron
82,Expression_Nissl,42,Neuron
82,Expression_Nissl,42,Neuron
82,Expression_Nissl,42,Neuron
82,Expression_Nissl,42,Neuron
82,Expression_Nissl,42,Neuron
82,Expression_Nissl,42,Neuron
14,Expression_tyrosine hydroxylase,42,Neuron
82,Expression_Nissl,42,Neuron
82,Expression_Nissl,42,Neuron
82,Expression_Nissl,42,Neuron
82,Expression_Nissl,42,Neuron
82,Expression_Nissl,42,Neuron
82,Expression_Nissl,42,Neuron
82,Expression_Nissl,42,Neuron
82,Expression_Nissl,42,Neuron
82,Expression_Nissl,42,Neuron
82,Expression_Nissl,42,Neuron
82,Expression_Nissl,42,Neuron
85,Expression_NeuN,42,Neuron
82,Expression_Nissl,42,Neuron
85,Expression_NeuN,42,Neuron
85,Expression_NeuN,42,Neuron
82,Expression_Nissl,42,Neuron
85,Expression_NeuN,42,Neuron
82,Expression_Nissl,42,Neuron
82,Expression_Nissl,42,Neuron
82,Expression_Nissl,42,Neuron
82,Expression_Nissl,42,Neuron
82,Expression_Nissl,42,Neuron
85,Expression_NeuN,42,Neuron
82,Expression_Nissl,42,Neuron
82,Expression_Nissl,42,Neuron
82,Expression_Nissl,43,Tyrosine hydroxylase negative
82,Expression_Nissl,43,Tyrosine hydroxylase negative
82,Expression_Nissl,43,Tyrosine hydroxylase negative
82,Expression_Nissl,43,Tyrosine hydroxylase negative
82,Expression_Nissl,43,Tyrosine hydroxylase negative
82,Expression_Nissl,43,Tyrosine hydroxylase negative
82,Expression_Nissl,43,Tyrosine hydroxylase negative
14,Expression_tyrosine hydroxylase,43,Tyrosine hydroxylase negative
82,Expression_Nissl,43,Tyrosine hydroxylase negative
37,Expression_huntingtin,45,Low huntingtin expressing/calbindin expressing
5,Expression_calbindin,45,Low huntingtin expressing/calbindin expressing
5,Expression_calbindin,46,Moderate huntingtin expressing/calbindin expressing
37,Expression_huntingtin,46,Moderate huntingtin expressing/calbindin expressing
37,Expression_huntingtin,47,Strong huntingtin expressing/calbindin expressing
5,Expression_calbindin,47,Strong huntingtin expressing/calbindin expressing
37,Expression_huntingtin,48,Low huntingtin expressing/calbindin negative
37,Expression_huntingtin,49,Moderate huntingtin expressing/calbindin negative
37,Expression_huntingtin,50,Strong huntingtin expressing/calbindin negative
5,Expression_calbindin,51,Huntingtin negative/calbindin expressing
38,Expression_GAD67 mRNA,54,GAD67 expressing
99,Expression_GAD67,54,GAD67 expressing
38,Expression_GAD67 mRNA,55,GAD67 / parvalbumin coexpressing
39,Expression_parvalbumin mRNA,55,GAD67 / parvalbumin coexpressing
40,Morphology_large size,56,Large sized cell
40,Morphology_large size,56,Large sized cell
40,Morphology_large size,56,Large sized cell
41,Expression_basic fibroblast growth factor,57,Basic fibroblast growth factor expressing
41,Expression_basic fibroblast growth factor,57,Basic fibroblast growth factor expressing
41,Expression_basic fibroblast growth factor,57,Basic fibroblast growth factor expressing
41,Expression_basic fibroblast growth factor,57,Basic fibroblast growth factor expressing
41,Expression_basic fibroblast growth factor,58,Basic fibroblast growth factor expressing, small size
28,Morphology_small size,58,Basic fibroblast growth factor expressing, small size
41,Expression_basic fibroblast growth factor,58,Basic fibroblast growth factor expressing, small size
28,Morphology_small size,58,Basic fibroblast growth factor expressing, small size
41,Expression_basic fibroblast growth factor,59,Basic fibroblast growth factor expressing, medium size
20,Morphology_medium size,59,Basic fibroblast growth factor expressing, medium size
41,Expression_basic fibroblast growth factor,59,Basic fibroblast growth factor expressing, medium size
20,Morphology_medium size,59,Basic fibroblast growth factor expressing, medium size
41,Expression_basic fibroblast growth factor,60,Basic fibroblast growth factor expressing, large size
40,Morphology_large size,60,Basic fibroblast growth factor expressing, large size
41,Expression_basic fibroblast growth factor,60,Basic fibroblast growth factor expressing, large size
40,Morphology_large size,60,Basic fibroblast growth factor expressing, large size
25,Expression_glutamic acid decarboxylase,61,GABAergic neuron
25,Expression_glutamic acid decarboxylase,61,GABAergic neuron
42,Expression_GABA,61,GABAergic neuron
45,Expression_GAD mRNA,61,GABAergic neuron
42,Expression_GABA,61,GABAergic neuron
42,Expression_GABA,61,GABAergic neuron
43,Expression_GAD65 mRNA,62,GAD65, lightly expressing
43,Expression_GAD65 mRNA,62,GAD65, lightly expressing
43,Expression_GAD65 mRNA,62,GAD65, lightly expressing
43,Expression_GAD65 mRNA,63,GAD65, heavily expressing
43,Expression_GAD65 mRNA,63,GAD65, heavily expressing
43,Expression_GAD65 mRNA,63,GAD65, heavily expressing
38,Expression_GAD67 mRNA,64,GAD67, lightly expressing
38,Expression_GAD67 mRNA,64,GAD67, lightly expressing
38,Expression_GAD67 mRNA,64,GAD67, lightly expressing
38,Expression_GAD67 mRNA,65,GAD67, heavily expressing
38,Expression_GAD67 mRNA,65,GAD67, heavily expressing
38,Expression_GAD67 mRNA,65,GAD67, heavily expressing
44,Expression_glutamine synthetase,66,Glutamine synthetase expressing
44,Expression_glutamine synthetase,66,Glutamine synthetase expressing
25,Expression_glutamic acid decarboxylase,67,GAD expressing
82,Expression_Nissl,67,GAD expressing
46,Expression_apolipoprotein D,68,ApoD expressing
47,Expression_cannabinoid receptor 1,69,CB1R expressing
47,Expression_cannabinoid receptor 1,69,CB1R expressing
47,Expression_cannabinoid receptor 1,69,CB1R expressing
48,Expression_GFAP,70,Astrocyte
48,Expression_GFAP,70,Astrocyte
49,Expression_CD11b,71,Macrophage
