e_uid,region1_nomenclature1,region_nomenclature2,topological_relation,annotation,reference,url,id,v_uid,v_uuid,v_lastmodified,v_status,v_lastmodified_epoch
96,Field CA1 pyramidal layer; superficial (Swanson-1998),Field CA1 pyramidal layer; superficial (Swanson-2004),identical,Collator note: Swanson 2004 nomenclature is very similar to Swanson 1998 version. For changes that were performed between Swanson 1998 and 2004 versions; please check "Changes to the original Atlas" ; page 7.,Swanson L.W.; (2004),http://scholar.google.com/scholar?hl=en&q=Swanson L.W.; (2004),732,96,72bc4044-a98a-53b1-9c42-e9c619b4dd19,2016-05-09 16:57:11,C,1.4628130310509E9
213,Bed nuclei of the stria terminalis posterior division strial extension (Swanson-1998),Bed nuclei of the stria terminalis strial extension (Swanson-2004),identical,Collator note: Swanson 2004 nomenclature is very similar to Swanson 1998 version. For changes that were performed between Swanson 1998 and 2004 versions; please check "Changes to the original Atlas" ; page 7.,Swanson L.W.; (2004),http://scholar.google.com/scholar?hl=en&q=Swanson L.W.; (2004),123,213,fc38fb9b-4d20-5e6c-ba5a-51583304d9e2,2016-05-09 16:57:11,C,1.4628130310509E9
830,Bed nuclei of the stria terminals rhomboid nucleus (Swanson-1992),Posterior lateral subnucleus of bed nucleus of stria terminalis (Moga-Fulwiler-Saper),is contained,Collator note: this relation is extracted from Figure 2 page 197. Details about the comparison can be found in cited references.,Dong H.; Petrovich G.D.; Swanson L.W.; (2001),http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=11750933,1816,830,8003a414-d211-501c-8a9e-69efadbe64c9,2016-05-09 16:57:11,C,1.4628130310509E9
314,Retina; outer nuclear layer (Swanson-1998),Retina; outer nuclear layer (Swanson-2004),identical,Collator note: Swanson 2004 nomenclature is very similar to Swanson 1998 version. For changes that were performed between Swanson 1998 and 2004 versions; please check "Changes to the original Atlas" ; page 7.,Swanson L.W.; (2004),http://scholar.google.com/scholar?hl=en&q=Swanson L.W.; (2004),844,314,2106ceef-8a6b-57be-a568-534ec95eba63,2016-05-09 16:57:11,C,1.4628130310509E9
1000,Parabrachial nucleus lateral division ventral lateral part (Swanson-1998),Parabrachial nucleus ventral lateral nucleus (Moga-Fulwiler-Saper),identical,Collator note: comparison was performed on the basis of Swanson-98 rat Atlas (page 209). the Fulwiler & Saper (1984) parcellation scheme and nomenclature were adopted almost entirely in this Atlas.,Swanson LW; (1998),http://scholar.google.com/scholar?hl=en&q=Swanson LW; (1998),512,1000,c91ecad7-8c61-51aa-bd33-0380aa00f50c,2016-05-09 16:57:11,C,1.4628130310509E9
39,Piriform area polymorph layer (Swanson-1998),Piriform area polymorph layer (Swanson-2004),identical,Collator note: Swanson 2004 nomenclature is very similar to Swanson 1998 version. For changes that were performed between Swanson 1998 and 2004 versions; please check "Changes to the original Atlas" ; page 7.,Swanson L.W.; (2004),http://scholar.google.com/scholar?hl=en&q=Swanson L.W.; (2004),669,39,29d7ed41-204b-5d3a-8025-16aa567b6ce3,2016-05-09 16:57:11,C,1.4628130310509E9
300,Paraventricular nucleus of the thalamus (Swanson-1998),Paraventricular nucleus of the thalamus (Swanson-2004),identical,Collator note: Swanson 2004 nomenclature is very similar to Swanson 1998 version. For changes that were performed between Swanson 1998 and 2004 versions; please check "Changes to the original Atlas" ; page 7.,Swanson L.W.; (2004),http://scholar.google.com/scholar?hl=en&q=Swanson L.W.; (2004),73,300,09356e5e-1365-54a3-825e-547f7280f9f1,2016-05-09 16:57:11,C,1.4628130310509E9
687,Bed nuclei of the stria terminalis anterior division magnocellular nucleus (Swanson-1998),Intermediate part of the lateral bed nucleus of the stria terminalis (de Olmos - 1995),overlap,Collator note: this relation is extracted from Figure 2 page 197. Details about the comparison can be found in cited references.,Dong H.; Petrovich G.D.; Swanson L.W.; (2001),http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=11750933,116,687,dbacdb90-1b14-5a88-9923-38be8de5f711,2016-05-09 16:57:11,C,1.4628130310509E9
388,Parabrachial nucleus lateral division central lateral part (Swanson-1998),Parabrachial nucleus lateral division central lateral part (Swanson-2004),identical,Collator note: Swanson 2004 nomenclature is very similar to Swanson 1998 version. For changes that were performed between Swanson 1998 and 2004 versions; please check "Changes to the original Atlas" ; page 7.,Swanson L.W.; (2004),http://scholar.google.com/scholar?hl=en&q=Swanson L.W.; (2004),506,388,ed2bc1ca-fc21-5e4e-873f-325eb88e8e5f,2016-05-09 16:57:11,C,1.4628130310509E9
430,Laterodorsal tegmental nucleus (Swanson-1998),Laterodorsal tegmental nucleus (Swanson-2004),identical,Collator note: Swanson 2004 nomenclature is very similar to Swanson 1998 version. For changes that were performed between Swanson 1998 and 2004 versions; please check "Changes to the original Atlas" ; page 7.,Swanson L.W.; (2004),http://scholar.google.com/scholar?hl=en&q=Swanson L.W.; (2004),555,430,11ac45cd-b843-5f30-a130-6baf1c553ff2,2016-05-09 16:57:11,C,1.4628130310509E9
655,Bed nucleus of the stria terminalis lateral subdivision (de Olmos -1985),Bed nucleus of stria terminalis group b (Bleier),identical,The BSTL corresponds to the "b" division of Bleier et al. (1979)....,de Olmos J.; Alheid G.F. & Beltramino C.A.; (1985),http://scholar.google.com/scholar?hl=en&q=de Olmos J.; Alheid G.F. & Beltramino C.A.; (1985),13899,655,8260402e-3c18-52b4-9835-7bc956a6ab56,2016-05-09 16:57:11,C,1.4628130310509E9
91,Subiculum ventral part pyramidal layer (Swanson-1998),Subiculum ventral part pyramidal layer (Swanson-2004),identical,Collator note: Swanson 2004 nomenclature is very similar to Swanson 1998 version. For changes that were performed between Swanson 1998 and 2004 versions; please check "Changes to the original Atlas" ; page 7.,Swanson L.W.; (2004),http://scholar.google.com/scholar?hl=en&q=Swanson L.W.; (2004),724,91,c385f976-5f3c-53a8-996f-ce02e828de1f,2016-05-09 16:57:11,C,1.4628130310509E9
595,Paraventricular nucleus of the hypothalamus; parvicellular division; periventricular part (Swanson-1998),Paraventricular hypothalamic nucleus; parvicellular division; periventricular part (Swanson-2004),identical,Collator note: Swanson 2004 nomenclature is very similar to Swanson 1998 version. For changes that were performed between Swanson 1998 and 2004 versions; please check "Changes to the original Atlas" ; page 7.,Swanson L.W.; (2004),http://scholar.google.com/scholar?hl=en&q=Swanson L.W.; (2004),253,595,6786452a-9bab-534f-b337-d4cc823a1fad,2016-05-09 16:57:11,C,1.4628130310509E9
263,Interposed nucleus (Swanson-1998),Interposed nucleus (Swanson-2004),identical,Collator note: Swanson 2004 nomenclature is very similar to Swanson 1998 version. For changes that were performed between Swanson 1998 and 2004 versions; please check "Changes to the original Atlas" ; page 7.,Swanson L.W.; (2004),http://scholar.google.com/scholar?hl=en&q=Swanson L.W.; (2004),838,263,ac202e1b-1eec-50d5-9ae4-0995631ddc9d,2016-05-09 16:57:11,C,1.4628130310509E9
863,Supracapsular subnucleus of bed nucleus of stria terminalis (Moga-Fulwiler-Saper),Bed nucleus of the stria terminalis supracapsular part (de Olmos -1985),identical,In general; our observations are in agreement with theirs [de Olmos et al.; 1985; Paxinos & Swanson; 1986]; so we have retained much of their terminology (Table 2).,Moga M.M.; Saper C.B.; Gray T.S.; (1989),http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=ShowDetailView&TermToSearch=2568370,13807,863,a6522a55-865f-5d20-b6a3-e2b652f0c847,2016-05-09 16:57:11,C,1.4628130310509E9
954,Juxtacapsular part of the lateral bed nucleus of the stria terminalis (de Olmos - 1995),Bed nucleus of the stria terminalis subarea 2 (Geeraedts),is contained,Also undesignated within BST2 is the juxtacapsular part of the bed nucleus.,Alheid G.F; de Olmos J.S. & Beltramino C.A.; (1995),http://scholar.google.com/scholar?hl=en&q=Alheid G.F; de Olmos J.S. & Beltramino C.A.; (1995),13985,954,f7130098-a394-5e62-bdfc-543882932629,2016-05-09 16:57:11,C,1.4628130310509E9
174,Lateral septal nucleus rostral (rostroventral) part dorsolateral zone lateral region dorsal domain (Swanson-1998),Lateral septal nucleus rostral (rostroventral) part dorsolateral zone lateral region dorsal domain (Swanson-2004),identical,Collator note: Swanson 2004 nomenclature is very similar to Swanson 1998 version. For changes that were performed between Swanson 1998 and 2004 versions; please check "Changes to the original Atlas" ; page 7.,Swanson L.W.; (2004),http://scholar.google.com/scholar?hl=en&q=Swanson L.W.; (2004),397,174,e318ae11-03d7-5897-932c-3a85d34ad292,2016-05-09 16:57:11,C,1.4628130310509E9
290,Interanteromedial nucleus of the thalamus (Swanson-1998),Interanteromedial nucleus of the thalamus (Swanson-2004),identical,Collator note: Swanson 2004 nomenclature is very similar to Swanson 1998 version. For changes that were performed between Swanson 1998 and 2004 versions; please check "Changes to the original Atlas" ; page 7.,Swanson L.W.; (2004),http://scholar.google.com/scholar?hl=en&q=Swanson L.W.; (2004),61,290,e30d05de-7ce6-50b3-bd8f-264333d0fa9f,2016-05-09 16:57:11,C,1.4628130310509E9
401,Supramammillary nucleus lateral part (Swanson-1998),Supramammillary nucleus lateral part (Swanson-2004),identical,Collator note: Swanson 2004 nomenclature is very similar to Swanson 1998 version. For changes that were performed between Swanson 1998 and 2004 versions; please check "Changes to the original Atlas" ; page 7.,Swanson L.W.; (2004),http://scholar.google.com/scholar?hl=en&q=Swanson L.W.; (2004),312,401,f98c8981-6760-5801-9ac6-fa938706949a,2016-05-09 16:57:11,C,1.4628130310509E9
326,Superior colliculus intermediate white layer (Swanson-1998),Superior colliculus intermediate white layer (Swanson-2004),identical,Collator note: Swanson 2004 nomenclature is very similar to Swanson 1998 version. For changes that were performed between Swanson 1998 and 2004 versions; please check "Changes to the original Atlas" ; page 7.,Swanson L.W.; (2004),http://scholar.google.com/scholar?hl=en&q=Swanson L.W.; (2004),424,326,7019f21a-c7b5-5374-8511-6b0bfbd288cc,2016-05-09 16:57:11,C,1.4628130310509E9
547,Subthalamic nucleus (Swanson-1998),Subthalamic nucleus (Swanson-2004),identical,Collator note: Swanson 2004 nomenclature is very similar to Swanson 1998 version. For changes that were performed between Swanson 1998 and 2004 versions; please check "Changes to the original Atlas" ; page 7.,Swanson L.W.; (2004),http://scholar.google.com/scholar?hl=en&q=Swanson L.W.; (2004),323,547,2a62f148-eb81-5c2f-946b-e753317297fb,2016-05-09 16:57:11,C,1.4628130310509E9
161,Lateral septal nucleus rostral (rostroventral) part medial zone ventral region (Swanson-1998),Lateral septal nucleus rostral (rostroventral) part medial zone ventral region (Swanson-2004),identical,Collator note: Swanson 2004 nomenclature is very similar to Swanson 1998 version. For changes that were performed between Swanson 1998 and 2004 versions; please check "Changes to the original Atlas" ; page 7.,Swanson L.W.; (2004),http://scholar.google.com/scholar?hl=en&q=Swanson L.W.; (2004),384,161,0c981e4d-f19e-5c70-93f2-a7df153d9872,2016-05-09 16:57:11,C,1.4628130310509E9
380,Parabrachial nucleus medial division medial medial part (Swanson-1998),Parabrachial nucleus medial division medial medial part (Swanson-2004),identical,Collator note: Swanson 2004 nomenclature is very similar to Swanson 1998 version. For changes that were performed between Swanson 1998 and 2004 versions; please check "Changes to the original Atlas" ; page 7.,Swanson L.W.; (2004),http://scholar.google.com/scholar?hl=en&q=Swanson L.W.; (2004),515,380,9aa45c76-be49-55e2-b3bc-07fd92fea967,2016-05-09 16:57:11,C,1.4628130310509E9
649,Bed nucleus of the stria terminalis medial (de Olmos -1985),Bed nucleus of the stria terminalis (de Olmos - 1995),contains,His [McDonald (1983)] medial bed nucleus appears to include...our medial part of the posterior bed nucleus (BSTMPm). In his account; McDonald (1983)recognized the BSTMPm as a special condensation of cells within the posterior portion of the medial bed nucleus; consisting of a fiber-encapsulated dense-celled dorsal part and a ventral extension of densely packed cells in a tight band just lateral to the fornix.,Barry G.E.; Wray; S.; (1985),http://scholar.google.com/scholar?hl=en&q=Barry G.E.; Wray; S.; (1985),13868,649,03c20b36-f5b6-5289-b382-4584fe2d80a5,2016-05-09 16:57:11,C,1.4628130310509E9
432,Locus coeruleus (Swanson-1998),Locus coeruleus (Swanson-2004),identical,Collator note: Swanson 2004 nomenclature is very similar to Swanson 1998 version. For changes that were performed between Swanson 1998 and 2004 versions; please check "Changes to the original Atlas" ; page 7.,Swanson L.W.; (2004),http://scholar.google.com/scholar?hl=en&q=Swanson L.W.; (2004),557,432,5bbff6df-9fd0-545e-b6e0-8960ce177175,2016-05-09 16:57:11,C,1.4628130310509E9
887,Ventral part of the medial bed nucleus of the stria terminalis (de Olmos - 1995),Bed nucleus of the stria terminalis dorsomedial nucleus (Ju/Swanson),contains,Collator note: this relation is not explicitely stated; nor described; in the text. It was extracted from Table V page 561.,Alheid G.F; de Olmos J.S. & Beltramino C.A.; (1995),http://scholar.google.com/scholar?hl=en&q=Alheid G.F; de Olmos J.S. & Beltramino C.A.; (1995),13971,887,a30ad042-ae4e-5367-bdb1-df07ca0bda87,2016-05-09 16:57:11,C,1.4628130310509E9
907,Lateral column of the posterior part of the medial bed nucleus of the stria terminalis (de Olmos - 1995),Preoptic subnucleus of bed nucleus of stria terminalis (Moga-Fulwiler-Saper),overlap,Their preoptic nucleus seems to conform for the most part to our intermediate column of the lateral bed nucleuss (BSTMPl). Collator note: the text seems to contradict Table V.A.;  in page 563; PO of Moga seems to be different of BSTMPl.,Alheid G.F; de Olmos J.S. & Beltramino C.A.; (1995),http://scholar.google.com/scholar?hl=en&q=Alheid G.F; de Olmos J.S. & Beltramino C.A.; (1995),13975,907,79a0627d-2837-58ac-a7fb-2e7c0db2745d,2016-05-09 16:57:11,C,1.4628130310509E9
936,Intermediate part of the lateral bed nucleus of the stria terminalis (de Olmos - 1995),Bed nuclei of the stria terminals anterior division magnocellular nucleus (Swanson-1992),overlap,Our BSTLI also appears to ecnompass several of their subnuclei; including their rhomboid nuclei; lateral parts of their ventral nuclei; their magnocellular nuclei; and lateral parts of their dorsolateral nuclei (DL).,Alheid G.F; de Olmos J.S. & Beltramino C.A.; (1995),http://scholar.google.com/scholar?hl=en&q=Alheid G.F; de Olmos J.S. & Beltramino C.A.; (1995),13984,936,f4d6fa51-4edd-5bbc-8199-9b9da1dcdbb1,2016-05-09 16:57:11,C,1.4628130310509E9
514,Preoptic periventricular nucleus (Swanson-1998),Preoptic periventricular nucleus (Swanson-2004),identical,Collator note: Swanson 2004 nomenclature is very similar to Swanson 1998 version. For changes that were performed between Swanson 1998 and 2004 versions; please check "Changes to the original Atlas" ; page 7.,Swanson L.W.; (2004),http://scholar.google.com/scholar?hl=en&q=Swanson L.W.; (2004),232,514,49601d0c-4c7b-5b8c-b027-bdc1f8372bef,2016-05-09 16:57:11,C,1.4628130310509E9
678,Bed nuclei of the stria terminalis posterior division transverse nucleus (Swanson-1998),Bed nucleus of the stria terminalis medial division posterior part medium celled column (de Olmos -1985),overlap,Collator note: this relation is extracted from Figure 2 page 197. Details about the comparison can be found in cited references.,Dong H.; Petrovich G.D.; Swanson L.W.; (2001),http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=11750933,120,678,dfb3663e-6dff-5cef-b9c1-cc25664ca633,2016-05-09 16:57:11,C,1.4628130310509E9
99,Field CA2 stratum radiatum (Swanson-1998),Field CA2 stratum radiatum (Swanson-2004),identical,Collator note: Swanson 2004 nomenclature is very similar to Swanson 1998 version. For changes that were performed between Swanson 1998 and 2004 versions; please check "Changes to the original Atlas" ; page 7.,Swanson L.W.; (2004),http://scholar.google.com/scholar?hl=en&q=Swanson L.W.; (2004),736,99,f2f993dc-d6e9-5953-8f16-1d64294bbd15,2016-05-09 16:57:11,C,1.4628130310509E9
631,Bed nuclei of the stria terminalis anterior division anterodorsal area (Swanson-1998),bed nucleus of the stria terminalis; medial division; anterior part (Paxinos/Watson-1998),identical,Collator note: Swanson 2004 nomenclature is very similar to Swanson 1998 version. For changes that were performed between Swanson 1998 and 2004 versions; please check "Changes to the original Atlas" ; page 7.,Swanson L.W.; (2004),http://scholar.google.com/scholar?hl=en&q=Swanson L.W.; (2004),106,631,8a816e96-17ab-56af-b6a0-9ca15a620049,2016-05-09 16:57:11,C,1.4628130310509E9
775,Bed nuclei of the stria terminals anterior division anteroventral area (Swanson-1992),Ventral bed nucleus of the stria terminalis (de Olmos -1985),is contained,Collator note: this relation is extracted from Figure 2 page 197. Details about the comparison can be found in cited references.,Dong H.; Petrovich G.D.; Swanson L.W.; (2001),http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=11750933,1813,775,adb006bb-6c0e-5ff7-8be1-8d0afe515edc,2016-05-09 16:57:11,C,1.4628130310509E9
239,Uvula (IX) (Swanson-1998),Uvula (IX) (Swanson-2004),identical,Collator note: Swanson 2004 nomenclature is very similar to Swanson 1998 version. For changes that were performed between Swanson 1998 and 2004 versions; please check "Changes to the original Atlas" ; page 7.,Swanson L.W.; (2004),http://scholar.google.com/scholar?hl=en&q=Swanson L.W.; (2004),811,239,d4b90619-312e-5c19-8881-98761912f45f,2016-05-09 16:57:11,C,1.4628130310509E9
553,Ventral part of the lateral geniculate complex lateral zone (Swanson-1998),Ventral part of the lateral geniculate complex lateral zone (Swanson-2004),identical,Collator note: Swanson 2004 nomenclature is very similar to Swanson 1998 version. For changes that were performed between Swanson 1998 and 2004 versions; please check "Changes to the original Atlas" ; page 7.,Swanson L.W.; (2004),http://scholar.google.com/scholar?hl=en&q=Swanson L.W.; (2004),345,553,b4c6e255-aef8-54d1-bf63-292b150a0a2b,2016-05-09 16:57:11,C,1.4628130310509E9
377,Nucleus sagulum (Swanson-1998),Nucleus sagulum (Swanson-2004),identical,Collator note: Swanson 2004 nomenclature is very similar to Swanson 1998 version. For changes that were performed between Swanson 1998 and 2004 versions; please check "Changes to the original Atlas" ; page 7.,Swanson L.W.; (2004),http://scholar.google.com/scholar?hl=en&q=Swanson L.W.; (2004),479,377,e21330ad-b27e-50b4-8da2-c9da8e49714c,2016-05-09 16:57:11,C,1.4628130310509E9
