Pericommissural type I neuron Larriva-Sahd (Larriva-Sahd),Serotonergic neuron
Pericommissural type II neuron Larriva-Sahd (Larriva-Sahd),Small sized cell
Purkinje neuron Cajal (Cajal (Cb)),Somatostatin / calretinin co-expressing
S-type retinal ganglion cell Fukuda-morphological (F-mopho),Somatostatin / nNOS co-expressing
SC-contra/dLGN-ipsilateral projecting retinal ganglion cell Kondo et al. (Kondo),Somatostatin expressing
SC-contralateral projecting retinal ganglion cell Kondo et al. (Kondo),Strong huntingtin expressing/calbindin expressing
SC-ipsi/contra projecting retinal ganglion cell Kondo et al. (Kondo),Strong huntingtin expressing/calbindin negative
SC-ipsi/contra/dLGN-contralateral projecting retinal ganglion cell Kondo et al. (Kondo),Substance P / PPA co-expressing
SC-ipsi/dLGN-contralateral projecting retinal ganglion cell Kondo et al. (Kondo),Substance P / enkephalin co-expressing
SC-ipsi/dLGN-ipsilateral projecting retinal ganglion cell Kondo et al. (Kondo),Substance P expressing
SC-ipsilateral projecting retinal ganglion cell Kondo et al. (Kondo),Subthalamic nucleus projection neuron
SCN-projecting retinal ganglion cell Moore (Moore),TrkA expressing
SP-ir neuron Ad-hoc (Ad-hoc),Tyrosine hydroxylase expressing
SS-ir neuron Ad-hoc (Ad-hoc),Tyrosine hydroxylase negative
TH-immunoreactive displaced amacrine cell Versaux-Boteri et al (VB),VGAT expressing
TH-immunoreactive interplexiform cell Versaux-Boteri et al (VB),VGLUT1 expressing
TH-immunoreactive small amacrine cell Versaux-Boteri et al (VB),VGLUT1 negative
TH-immunoreactive stellate amacrine cell Versaux-Boteri et al (VB),VGLUT2 expressing
TH-imunoreactive retinal cell Versaux-Boteri et al (VB),VIP / CCK co-expressing
accomodating neuron Cerebral interneurons electro (M-electro),VIP / calretinin co-expressing
alpha retinal ganglion cell Peichl (Peichl),VIP expressing
b-AC neuron Cerebral interneurons electro (M-electro),Vesicular monoamine transporter-2 expressing
b-NAC neuron Cerebral interneurons electro (M-electro),XPA expressing
b-STUT neuron Cerebral interneurons electro (M-electro),XPB expressing
basket neuron Chan-Palay (Chan-Palay),cAMP response element-positive
basket neuron Larriva-Sahd (Larriva-Sahd),nNOS-expressing
basket neuron Larriva-Sahd (Larriva-Sahd),p75 neurotrophin receptor expressing
basket neuron SSp-morpho-electrophysiological types (M-morpho-electr),
beaded neuron Larriva-Sahd (Larriva-Sahd),
bistratified amacrine cell Perry (Perry),
blue-sensitive cone Szel and Rohlich (SR),
burst LTS neuron Hoffman et al. (HTD),
c-AC neuron Cerebral interneurons electro (M-electro),
c-NAC neuron Cerebral interneurons electro (M-electro),
c-STUT neuron Cerebral interneurons electro (M-electro),
candelabrum cell Laine and Axelrad (LA),
cell group a Bleier et al. (Bleier),
cell group a Bleier et al. (Bleier),
cell group c Bleier et al. (Bleier),
cell group c Bleier et al. (Bleier),
cell group d Bleier et al. (Bleier),
cell group d Bleier et al. (Bleier),
cell group e Bleier et al. (Bleier),
cell group e Bleier et al. (Bleier),
cell grup b Bleier et al. (Bleier),
cell grup b Bleier et al. (Bleier),
cell nomenclature,
cerebellar granule cell Chan-Palay (Chan-Palay),
cerebellar molecular layer interneuron Sultan and Bower (SB),
cholinergic amacrine cell Voigt (V),
cholinergic neuron Armstrong,
cholinergic neuron Armstrong,
class A neuron Webster-Gabbott (W-G-DLG),
class B neuron Webster-Gabbott (W-G-DLG),
common spiny neuron Larriva-Sahd (Larriva-Sahd),
cone Cajal-Detwiler-Walls (C-D-W),
cone Cajal-Detwiler-Walls (C-D-W),
constrained-range neuron Larriva-Sahd (Larriva-Sahd),
curly bipolar neuron Van den Pol (Van den Pol),
d-AC neuron Cerebral interneurons electro (M-electro),
d-NAC neuron Cerebral interneurons electro (M-electro),
dLGN-contralateral projecting retinal ganglion cell Kondo et al. (Kondo),
dLGN-ipsi/contra projecting retinal ganglion cell Kondo et al. (Kondo),
dLGN-ipsi/contra/SC-contralateral projecting retinal ganglion cell Kondo et al. (Kondo),
dLGN-ipsilateral projecting retinal ganglion cell Kondo et al. (Kondo),
deep horizontal cell Langer (Langer-SC),
deep vertical fusiform cell Langer (Langer-SC),
deeper long axon stellate cell Chan-Palay (Chan-Palay),
delta retinal ganglion cell Peichl (Peichl),
dense axon plexus-forming neurons Larriva-Sahd (Larriva-Sahd),
descending neuron,
descending neuron,
descending neuron Swanson (Swanson),
diffuse amacrine cell Leure-Dupree (LD),
diffuse ganglion cell Bunt (Bunt),
displaced NPY-immunoreactive amacrine cell Oh et al. (Oh),
dopamine interplexiform cell Nguyen-Legros et al. (NL),
fast-conducting retinal ganglion cell Fukuda-physiological (F-physio),
fusiform neuron Larriva-Sahd (Larriva-Sahd),
fusiform tranversely oriented neuron Ju et al. (Ju),
giant ganglion cell Bunt (Bunt),
globular cell Laine and Axelrad (LA),
glutamate expressing retinal ganglion cell Hannibal et al. (Hannibal),
glutamate/PACAP expressing retinal ganglion cell Hannibal et al. (Hannibal),
green-sensitive cone Szel and Rohlich (SR),
heterodendritic neuron Larriva-Sahd (Larriva-Sahd),
horizontal cell Langer (Langer-SC),
horizontal cell Peichl (Peichl),
indoleamine-accumulating amacrine cell type 1 Matsumoto et al. (M),
indoleamine-accumulating amacrine cell type 2 Matsumoto et al. (M),
indoleamine-accumulating amacrine cell type 3 Matsumoto et al. (M),
indoleamine-accumulating amacrine cell type 4 Matsumoto et al. (M),
indoleamine-accumulating amacrine cell type 5 Matsumoto et al. (M),
inner alpha retinal ganglion cell Peichl (Peichl),
inner alpha retinal ganglion cell Tauchi (Tauchi),
inner delta retinal ganglion cell Peichl (Peichl),
intermediate vertical fusiform cell Langer (Langer-SC),
intermediate-conducting retinal ganglion cell Fukuda-physiological (F-physio),
interplexiform cell Perry (Perry),
inverted pyramidal cell Langer (Langer-SC),
large CCk-ir neuron Ju et al. (Ju),
large GAL-ir neuron Ju et al. (Ju),
large THI-DA retinal cell Versaux-Boteri et al (VB),
large basket cell SSp-morpho-electrophysiological types (M-morpho-electr),
large ganglion cell Reese and Cowey (RC),
large multipolar neuron Ju et al. (Ju),
marginal cell Langer (Langer-SC),
melanopsin-containing retinal ganglion cell Berson,
modified pyramidal neuron SSp-layer IV-morphology,
monopolar neuron Van den Pol (Van den Pol),
motor neuroendocrine magnocellular neuron Swanson (Swanson),
motor neuroendocrine magnocellular oxytocin neuron Swanson (Swanson),
motor neuroendocrine magnocellular vasopressin neuron Swanson (Swanson),
motor neuroendocrine neuron Swanson (Swanson),
motor neuroendocrine parvicellular CRH neuron Swanson (Swanson),
motor neuroendocrine parvicellular DA neuron Swanson (Swanson),
motor neuroendocrine parvicellular GRH neuron Swanson (Swanson),
motor neuroendocrine parvicellular SOM neuron Swanson (Swanson),
motor neuroendocrine parvicellular TRH neuron Swanson (Swanson),
motor neuroendocrine parvicellular neuron Swanson (Swanson),
motor neuron,
motor somatic neuron Swanson-General (Sw(G)),
multipolar Lugaro cell Geurts et al. (G),
multipolar cell (ganglion zone of SC) Langer (Langer-SC),
narrow field vertical cell Langer (Langer-SC),
narrow-field bistratified amacrine cell Perry (Perry),
nest basket cell SSp-morpho-electrophysiological types (M-morpho-electr),
nest basket cell c-AC SSp-morpho-electrophysiological types (M-morpho-electr),
nest basket cell c-NAC SSp-morpho-electrophysiological types (M-morpho-electr),
nest basket cell d-NAC SSp-morpho-electrophysiological types (M-morpho-electr),
neurogliaform Larriva-Sahd (Larriva-Sahd),
neurogliaform Larriva-Sahd (Larriva-Sahd),
non-LTS neuron Hoffman et al. (HTD),
non-accomodating neuron Cerebral interneurons electro (M-electro),
non-bursting LTS neuron Hoffman et al. (HTD),
non-reciprocal projections neuron,
nucleocortical neuron Batini et al. (Batini),
off-center retinal ganglion cell Brown-physiological (B-physio),
on-center retinal ganglion cell Brown-physiological (B-physio),
outer alpha retinal ganglion cell Peichl (Peichl),
outer alpha retinal ganglion cell Tauchi (Tauchi),
outer delta retinal ganglion cell Peichl (Peichl),
oval-to-spindle neuron Ju et al. (Ju),
photoreceptor Rodieck (Rodieck),
photosensitive SCN-projecting retinal ganglion cell Berson,
piriform cell Langer (Langer-SC),
preautonomic neuron spinal cord Swanson (Swanson),
preautonomic neuron spinal cord/vagal complex Swanson (Swanson),
preautonomic neuron vagal complex Swanson (Swanson),
projecting star neuron Larriva-Sahd (Larriva-Sahd),
pyramidal cell Langer (Langer-SC),
pyramidal cell SSp-layer IV-morphology,
pyramidal neuron,
radial multipolar neuron Van den Pol (Van den Pol),
reciprocal GABA-IR neuron,
reciprocal Glu-IR neuron,
reciprocal projections neuron,
retinal amacrine cell Rodieck (Rodieck),
retinal bipolar cell Rodieck (Rodieck),
retinal ganglion cell A Huxlin and Goodchild (HG),
retinal ganglion cell A1 Huxlin and Goodchild (HG),
retinal ganglion cell A1 Huxlin and Goodchild (HG),
retinal ganglion cell A2 Huxlin and Goodchild (HG),
retinal ganglion cell A2 Huxlin and Goodchild (HG),
retinal ganglion cell A2 inner Huxlin and Goodchild (HG),
retinal ganglion cell A2 inner Huxlin and Goodchild (HG),
retinal ganglion cell A2 inner Huxlin and Goodchild (HG),
retinal ganglion cell A2 outer Huxlin and Goodchild (HG),
retinal ganglion cell A2 outer Huxlin and Goodchild (HG),
retinal ganglion cell B Huxlin and Goodchild (HG),
retinal ganglion cell B Huxlin and Goodchild (HG),
retinal ganglion cell B1 Huxlin and Goodchild (HG),
retinal ganglion cell B1 Huxlin and Goodchild (HG),
retinal ganglion cell B2 Huxlin and Goodchild (HG),
retinal ganglion cell B2 Huxlin and Goodchild (HG),
retinal ganglion cell B3 Huxlin and Goodchild (HG),
retinal ganglion cell B3 Huxlin and Goodchild (HG),
retinal ganglion cell B3 inner Sun (Sun),
retinal ganglion cell B3 outer Sun (Sun),
retinal ganglion cell B4 Sun (Sun),
retinal ganglion cell C Huxlin and Goodchild (HG),
retinal ganglion cell C Huxlin and Goodchild (HG),
retinal ganglion cell C others Huxlin and Goodchild (HG),
retinal ganglion cell C1 Huxlin and Goodchild (HG),
retinal ganglion cell C1 Huxlin and Goodchild (HG),
retinal ganglion cell C2 Huxlin and Goodchild (HG),
retinal ganglion cell C2 Huxlin and Goodchild (HG),
retinal ganglion cell C2 inner Huxlin and Goodchild (HG),
retinal ganglion cell C2 outer Huxlin and Goodchild (HG),
retinal ganglion cell C3 Sun (Sun),
retinal ganglion cell C4 Sun (Sun),
retinal ganglion cell C4 inner Sun (Sun),
retinal ganglion cell C4 outer Sun (Sun),
retinal ganglion cell Class I Dreher (Dreher),
retinal ganglion cell Class I Dreher (Dreher),
retinal ganglion cell Class III Dreher (Dreher),
retinal ganglion cell Class III Dreher (Dreher),
retinal ganglion cell Class IIa Dreher (Dreher),
retinal ganglion cell Class IIa Dreher (Dreher),
retinal ganglion cell Class IIb Dreher (Dreher),
retinal ganglion cell D1 Sun (Sun),
retinal ganglion cell D2 Sun (Sun),
retinal ganglion cell Rodieck (Rodieck),
retinal ganglion cell loose type Brown-morphological (B-morpho),
retinal ganglion cell tight type Brown-morphological (B-morpho),
retinal ganglion cell type I Perry (Perry),
retinal ganglion cell type I Perry (Perry),
retinal ganglion cell type II Perry (Perry),
retinal ganglion cell type II Perry (Perry),
retinal ganglion cell type III Perry (Perry),
retinal ganglion cell type III Perry (Perry),
retinal ganglion cell type IV Perry (Perry),
retinal ganglion cell type IV Perry (Perry),
retinal ganglion cell with no surround Brown-physiological (B-physio),
retinal ganglion cell with surround Brown-physiological (B-physio),
rod Cajal-Detwiler-Walls (C-D-W),
rod Cajal-Detwiler-Walls (C-D-W),
rod bipolar cell Wassle (Wassle),
round-to-multipolar neuron Ju et al. (Ju),
simple bipolar neuron Van den Pol (Van den Pol),
slow-conducting retinal ganglion cell Fukuda-physiological (F-physio),
small basket cell SSp-morpho-electrophysiological types (M-morpho-electr),
small pyramidal neuron Larriva-Sahd (Larriva-Sahd),
smooth neuron SSp-layer IV-morphology,
smooth neuron SSp-layer IV-morphology,
smooth neuron first variety SSp-layer IV-morphology,
smooth neuron second variety SSp-layer IV-morphology,
sparsely spiny neuron SSp-layer IV-morphology,
spine sparse neuron McDonald (McDonald),
spinous layer IV first variety SSp-layer IV-morphology,
spinous layer IV neuron SSp-layer IV-morphology,
spinous layer IV neuron SSp-layer IV-morphology,
spiny bipolar neuron IC/MFB-axon McDonald (McDonald),
spiny bipolar neuron Larriva-Sahd (Larriva-Sahd),
spiny bipolar neuron ST-axon Larriva-Sahd (Larriva-Sahd),
spiny bipolar neuron with bifurcated axon Larriva-Sahd (Larriva-Sahd),
spiny multipolar neuron SSp-layer IV-morphology,
spiny neurogliaform neuron Larriva-Sahd (Larriva-Sahd),
spiny neuron McDonald (McDonald),
spiny neuron SCN Van den Pol (Van den Pol),
spiny neuron with chandelier-like axon Larriva-Sahd (Larriva-Sahd),
spiny projection neuron Larriva-Sahd (Larriva-Sahd),
star pyramid SSp-layer IV-morphology,
stellate cell of the zone of horizontal cells Langer (Langer-SC),
stellate cell of the zone of optic fibers Langer (Langer-SC),
stellate cell of the zone of vertical cells Langer (Langer-SC),
stellate neuron Chan-Palay (Chan-Palay),
stellate neuron Langer (Langer-SC),
stratified amacrine cell Perry (Perry),
stratified diffuse amacrine cell Perry (Perry),
stratified ganglion cell Bunt (Bunt),
stuttering neuron Cerebral interneurons electro (M-electro),
superficial horizontal cell Langer (Langer-SC),
superficial short axon stellate cell Chan-Palay (Chan-Palay),
superficial spiny neuron Larriva-Sahd (Larriva-Sahd),
superficial vertical fusiform cell Langer (Langer-SC),
symmetrical GABA-IR neuron,
symmetrical Glu-IR neuron,
symmetrical projections neuron,
transitional neuron Larriva-Sahd (Larriva-Sahd),
tranversely oriented neuron Ju et al. (Ju),
triangular neuron Ju et al. (Ju),
triangular neuron Larriva-Sahd (Larriva-Sahd),
type (a) narrow-field unistratified amacrine cell Perry (Perry),
type (a) wide-field unistratified amacrine cell Perry (Perry),
type (b) narrow-field unistratified amacrine cell Perry (Perry),
type (b) wide-field unistratified amacrine cell Perry (Perry),
type (c) wide-field unistratified amacrine cell Perry (Perry),
type 1 cone bipolar cell Wassle (Wassle),
type 1 glycinergic retinal amacrine cell Menger (Menger),
type 2 cone bipolar cell Wassle (Wassle),
type 2 glycinergic retinal amacrine cell Menger (Menger),
type 3 cone bipolar cell Wassle (Wassle),
type 3 glycinergic retinal amacrine cell Menger (Menger),
type 4 cone bipolar cell Wassle (Wassle),
type 4 glycinergic retinal amacrine cell Menger (Menger),
type 5 cone bipolar cell Wassle (Wassle),
type 5 glycinergic retinal amacrine cell Menger (Menger),
type 6 cone bipolar cell Wassle (Wassle),
type 6 glycinergic retinal amacrine cell Menger (Menger),
type 6a bipolar cell Ivanova and Muller (IM),
type 6b bipolar cell Ivanova and Muller (IM),
type 7 cone bipolar cell Wassle (Wassle),
type 7 glycinergic retinal amacrine cell Menger (Menger),
type 8 cone bipolar cell Wassle (Wassle),
type 9 cone bipolar cell Wassle (Wassle),
type I (bursting) neuron,
type I (non-bursting) neuron,
type I PVN neuron Tasker and Dudek (TD),
type I ganglion cell Langer (Langer-SC),
type I retinal bipolar cell Leure-Dupree (LD),
type II PVN neuron Tasker and Dudek (TD),
type II ganglion cell Langer (Langer-SC),
type II retinal bipolar cell Leure-Dupree (LD),
type III ganglion cell Langer (Langer-SC),
unipolar brush neuron Mugnaini (Mugnaini),
unistratified ganglion cell Bunt (Bunt),
unistratified retinal ganglion cell Leure-Dupree (LD),
vLGN-ipsilateral projecting retinal ganglion cell Farid Ahmed et al. (FA),
vLGN/LP-ipsilateral projecting retinal ganglion cell Farid Ahmed et al. (FA),
vSub-BST neuron Herman et al. (Herman),
vSub/PVN neuron Herman et al. (Herman),
vertical fusiform cell Langer (Langer-SC),
wide field diffuse amacrine cell Perry (Perry),
wide field vertical cell Langer (Langer-SC),
wide-field amacrine cell Wassle (Wassle),
wide-field bistratified amacrine cell Perry (Perry),
wide-field unistratified amacrine cell Perry (Perry),
wide-field unistratified diffuse amacrine cell Leure-Dupree (LD),
wide-range neuron Larriva-Sahd (Larriva-Sahd),
