,ID,Experiment_name,Source,Species,Strain,Substrain,Animal_status,Transgenic_line_name,Sex,Age_lower_limit,Age_upper_limit,Age,Weight_lower_limit,Weight_upper_limit,Anaesthetic,Perfusion_fix_medium
89,121,Hamre_1999_Bl6/Swr,10.1016/S0006-8993(99)01273-1,2,9,40,Naive,,,90,150,4,,,175,18
90,122,Rosen_2001_A/J,10.1186/1471-2202-2-5,2,2,41,Naive,,3,115,365,4,,,175,103
91,123,Rosen_2001_ABF2,10.1186/1471-2202-2-5,2,9,42,Naive,,3,56,143,4,,,175,103
92,124,Rosen_2001_BALB/cJ,10.1186/1471-2202-2-5,2,3,11,Naive,,3,70,206,4,,,175,103
93,125,Rosen_2001_BXD5,10.1186/1471-2202-2-5,2,9,43,Naive,,3,60,329,4,,,175,103
94,126,Rosen_2001_C57BL/6J,10.1186/1471-2202-2-5,2,1,14,Naive,,3,189,316,4,,,175,103
95,127,Rosen_2001_DBA/2J,10.1186/1471-2202-2-5,2,6,37,Naive,,3,76,359,4,,,175,103
96,128,Oorschot_2013,10.1016/J.BAGA.2013.04.001,1,12,,Intracranial procedure,,1,,,9,250,400,179,103
97,129,Smeyne_2005_SW,10.1002/glia.20233,2,18,,Naive,,,90,150,4,,,175,18
98,130,Smeyne_2005_bl6,10.1002/glia.20233,2,1,,Naive,,,90,150,4,,,175,18
99,131,Zaborszky_2001_CXBI,10.1023/A:1010257808945,2,9,44,Naive,,1,,,4,22,30,183,121
100,132,Zaborszky_2001_C4A6,10.1023/A:1010257808945,2,,45,Naive,,1,,,4,22,30,183,121
101,134,Barcia_2012,10.1093/alcalc/agr169,1,11,,Naive,,1,,,9,408,420,24,18
102,135,Sadek_2007,10.1523/JNEUROSCI.0953-07.2007,1,11,,Intracranial procedure,,1,,,9,200,350,185,103
103,136,Allen_PV_ISH_75457579,RRID:SCR_002978,2,1,14,Naive,,1,56,56,4,19,26,135,
104,137,MBA Cell Type Atlas_PV,RRID:SCR_004683,2,,,Genetic manipulation,1,3,56,70,4,,,98,18
105,138,MBA Cell Type Atlas_SST,RRID:SCR_004683,2,,,Genetic manipulation,1,3,56,70,4,,,98,18
106,139,MBA Cell Type Atlas_VIP,RRID:SCR_004683,2,,,Genetic manipulation,1,3,56,70,4,,,98,18
107,140,MBA Cell Type Atlas_SST:CR,RRID:SCR_004683,2,,,Genetic manipulation,5,3,56,70,4,,,98,18
108,141,MBA Cell Type Atlas_SST:nNOS,RRID:SCR_004683,2,,,Genetic manipulation,4,3,56,70,4,,,98,18
109,142,MBA Cell Type Atlas_VIP:CR,RRID:SCR_004683,2,,,Genetic manipulation,7,3,56,70,4,,,98,18
110,143,MBA Cell Type Atlas_VIP:CCK,RRID:SCR_004683,2,,,Genetic manipulation,6,3,56,70,4,,,98,18
111,144,NMO_Kellendonk_2013,10.1523/JNEUROSCI.6056-11.2012,2,9,47,Naive,,1,90,90,4,,,,18
112,145,NMO_Martone_2008,10.1385/NI:1:4:379,2,9,48,Naive,,1,180,210,4,27,34,52,52
113,146,NMO_Martone_2006,10.1385/NI:1:4:379,2,1,,Naive,,1,60,60,4,,,,
114,147,NMO_Spiga_2014,10.1073/pnas.1406768111,1,12,,Naive,,1,,,9,400,400,17,18
115,148,NMO_Henny_2013,10.1038/nn.3048,1,11,,Naive,,1,,,9,250,300,185,103
116,149,Aguirre_2001,10.1097/00001756-200108280-00006,2,1,,Sham intracranial injection,,1,70,70,4,25,25,24,92
117,150,Becker_2017,10.1007/s12035-017-0637-9,2,1,14,Sham intracranial injection,,1,70,70,4,25,25,,18
118,151,Champy_2003,10.1046/j.1471-4159.2003.02138.x,1,16,,Pooled control groups,,1,,,9,,,24,18
119,152,Chan_1997,PMID:8996226,2,1,,Vehicle injection(s),,1,42,49,4,,,24,92
120,153,Frau_2011,10.1002/syn.20833,2,1,14,Vehicle injection(s),,1,90,90,4,,,17,18
121,154,Gomide_2005,10.1080/00207450590521064,1,12,,Sham intracranial injection,,1,,,9,220,250,52,52
122,155,Gonzales-Aparicio_2011_young,10.1016/j.neuroscience.2011.03.062,2,1,14,Naive,,1,60,60,4,,,52,52
123,156,Gonzales-Aparicio_2011_old,10.1016/j.neuroscience.2011.03.062,2,1,14,Naive,,1,600,600,4,,,52,52
124,157,Grieb_2013,10.3389/fnsys.2013.00095,1,22,,Sham intracranial injection,,1,,,9,352,416,98,199
125,158,Gross_2003,10.1046/j.1471-4159.2003.01600.x,2,1,,Vehicle injection(s),,1,57,57,4,30,32,119,18
126,159,Hermann_2013,10.1016/J.NEULET.2013.08.031,2,1,,Genetic manipulation,8,,,,,,,52,18
127,160,Horvath_2011,10.1016/J.NBD.2011.03.005,2,1,,Vehicle injection(s),,1,70,84,4,,,52,52
128,161,Ip_2017,10.3791/56103,2,1,25,Naive,,1,84,84,4,,,52,18
129,162,Janis_2008,10.3233/JAD-2008-15108,2,1,,Vehicle injection(s),,1,56,70,4,,,,
130,163,Johnson_2010_rats,10.1111/j.1365-2826.2010.01964.x,1,11,,Sham operation,,2,,,9,,,52,89
131,164,Johnson_2010_mice,10.1111/j.1365-2826.2010.01964.x,2,1,14,Sham operation,,2,,,4,,,52,89
132,165,Johnson_2010_Wtmice,10.1111/j.1365-2826.2010.01964.x,2,1,14,Naive,,,85,85,4,,,52,89
133,166,Johnson_2010b_rat,10.1111/j.1365-2826.2010.01965.x,1,11,,Sham operation,,1,90,90,9,,,24,89
134,167,Johnson_2010b_mouse,10.1111/j.1365-2826.2010.01965.x,2,1,14,Sham operation,,1,90,90,4,,,24,89
135,168,Kang_2010,10.5115/acb.2010.43.3.241,2,,,Naive,,,7,7,1,,,204,18
136,169,Kincaid_2001,10.1016/S0306-4522(01)00229-9,2,,,Behavioral testing,,,161,162,4,,,205,18
137,170,Komnig_2016_14w,http://doi.wiley.com/10.1111/jnc.13847,2,1,,Vehicle injection(s),,1,98,98,4,,,52,52
138,171,Komnig_2016_24w,http://doi.wiley.com/10.1111/jnc.13847,2,1,,Vehicle injection(s),,1,168,168,4,,,52,52
139,172,Komnig_2016b,10.1371/journal.pone.0165235,2,1,,Vehicle injection(s),,1,70,84,4,,,52,
140,173,Lieb_1996,10.1016/0165-3806(96)00063-6,2,5,17,Naive,,3,90,90,4,26,29,17,199
141,174,Liu_2004,10.1016/J.NEULET.2003.10.077,1,11,,Vehicle injection(s),,1,,,9,200,225,24,92
142,175,Ma_2009,10.1016/J.PARKRELDIS.2008.07.008,2,3,,Vehicle injection(s),,1,63,63,4,20,20,24,18
143,176,McCormack_2002,10.1006/NBDI.2002.0507,2,1,,Vehicle injection(s),,1,63,540,4,,,52,
144,177,Olson_2015,10.1523/JNEUROSCI.2131-15.2015,2,1,14,Vehicle injection(s),,1,42,56,3,,,119,18
145,178,Oorschot_1996,10.1002/(SICI)1096-9861(19960318)366:4<580::AID-CNE3>3.0.CO;2-0,1,11,,Naive,,,28,28,6,63,69,209,103
146,179,Pang_2016,10.1016/J.NEUROSCIENCE.2016.01.020,1,11,,Vehicle injection(s),,1,,,9,250,250,135,18
147,180,Panneton_2010,10.1371/journal.pone.0015251,1,11,,Sham intracranial injection,,1,,,9,275,299,52,18
148,181,Passos_2012,10.1016/J.JCHEMNEU.2012.05.003,1,12,,Naive,,2,,,9,200,250,24,18
149,182,Price_2009,10.1111/j.1460-9568.2009.06764.x,2,1,25,Vehicle injection(s),,1,56,84,4,,,175,167
150,183,Richter_2017_pups,10.1016/j.neurobiolaging.2016.11.015,2,13,49,Naive,,1,3,4,1,,,119,18
151,184,Richter_2017_5w,10.1016/j.neurobiolaging.2016.11.015,2,13,49,Vehicle injection(s),,1,35,35,3,,,119,18
152,185,Richter_2017_11m,10.1016/j.neurobiolaging.2016.11.015,2,13,49,Vehicle injection(s),,1,330,330,4,,,119,18
153,186,Richter_2017_18m,10.1016/j.neurobiolaging.2016.11.015,2,13,49,Naive,,1,540,540,5,,,119,18
154,187,Sanchez_2008_5m,10.1016/j.neuroscience.2008.04.016,1,11,,Behavioral testing,,2,150,180,9,,,98,18
155,188,Sanchez_2008_22m,10.1016/j.neuroscience.2008.04.016,1,11,,Behavioral testing,,2,660,720,9,,,98,18
156,189,Sanchez_2008_30m,10.1016/j.neuroscience.2008.04.016,1,11,,Behavioral testing,,2,900,960,10,,,98,18
157,190,Simkins_2012,10.1007/s11481-012-9375-y,2,1,,Naive,,1,56,84,4,,,98,18
158,191,Smeyne_2016_modelbased,10.1371/journal.pone.0164094,2,1,,Vehicle injection(s),,1,84,140,4,,,52,18
159,192,Smeyne_2016_designbased,10.1371/journal.pone.0164094,2,1,,Vehicle injection(s),,1,84,140,4,,,52,18
160,193,Song_2012,10.1016/j.nbd.2012.05.009,2,1,14,Behavioral testing,,3,90,300,4,,,175,18
161,194,Stayte_2015_sham,10.1371/journal.pone.0124325,2,1,,Sham intracranial injection,,1,84,84,4,,,98,18
162,195,Stayte_2015_shamveh,10.1371/journal.pone.0124325,2,1,,Sham intracranial injection,,1,84,84,4,,,98,18
163,196,Sun_2012,10.2174/156720512800492567,2,,,Vehicle injection(s),,,90,90,4,,,52,52
164,197,Taylor_2014_6m,10.1016/J.NEUROPHARM.2013.08.033,2,9,50,Naive,,3,180,180,4,,,52,18
165,198,Taylor_2014_24m,10.1016/J.NEUROPHARM.2013.08.033,2,9,50,Naive,,3,720,720,5,,,52,18
166,199,Taylor_2014_30m,10.1016/J.NEUROPHARM.2013.08.033,2,9,50,Naive,,3,900,900,5,,,52,18
167,200,vanBregt_2012_neurons,10.1016/j.expneurol.2011.12.003,1,11,,Sham intracranial injury,,1,,,9,350,375,24,18
168,201,vanBregt_2012_th,10.1016/j.expneurol.2011.12.003,1,11,,Sham intracranial injury,,1,,,9,350,375,24,18
169,202,Vidyadhara_2017_c57bl/6,10.1007/s12035-016-0158-y,2,1,14,Naive,,3,105,119,4,,,169,18
170,203,Vidyadhara_2017_cd1,10.1007/s12035-016-0158-y,2,14,,Naive,,3,105,119,4,,,169,18
171,204,Vidyadhara_2017_F1-1,10.1007/s12035-016-0158-y,2,9,51,Naive,,3,105,119,4,,,169,18
172,206,Vu_2000,10.1007/s007020050014,1,11,,Sham operation,,1,,,9,,,24,92
173,207,Vu_2000_pilot,10.1007/s007020050014,1,11,,Sham operation,,1,,,9,,,24,199
174,208,Winter_2007,10.1016/J.BBR.2007.07.002,1,12,,Sham intracranial injection,,1,,,,280,320,24,18
175,209,Aguirre_1999,10.1016/S0304-3940(99)00706-5,2,1,,Vehicle injection(s),,1,70,70,4,25,25,24,92
176,210,Alexi_1996,10.1016/0306-4522(95)00607-9,1,15,52,Sham intracranial injection,,1,,,9,200,220,52,18
177,211,Andrews_2005,10.1523/JNEUROSCI.4269-04.2005,2,1,14,Vehicle injection(s),,1,84,105,4,,,52,52
178,213,Arai_1990,10.1016/0006-8993(90)90576-W,2,1,,Vehicle injection(s),,1,,,4,25,30,,
179,214,Back_2013,10.1186/2191-219X-3-46,1,12,,Live imaging,,1,,,,250,300,119,18
180,215,Bostanci_2008,10.1080/15376510801891369,1,12,,Sham intracranial injection,,1,120,120,9,220,250,224,225
181,216,Bostanci_2013,10.3109/00207454.2013.813510,1,12,,Sham intracranial injection,,1,120,120,9,205,245,224,225
182,217,Bostanci_2010,10.1007/s10571-009-9461-8,1,12,,Sham intracranial injection,,1,120,120,9,190,250,224,225
183,218,Bowenkamp_2000_adult,10.1016/S0197-4580(99)00112-8,1,15,52,Vehicle injection(s),,1,90,180,9,,,17,18
184,219,Bowenkamp_2000_old,10.1016/S0197-4580(99)00112-8,1,15,52,Vehicle injection(s),,1,570,630,9,,,17,18
185,220,Breckenridge_2013_study4,10.1016/J.NEURO.2013.03.005,2,1,14,Vehicle injection(s),,1,84,91,4,,,24,18
186,221,Breckenridge_2013_study5,10.1016/J.NEURO.2013.03.005,2,1,14,Vehicle injection(s),,1,84,91,4,,,24,18
187,222,Bukhatwa_2009,10.1111/j.1471-4159.2009.05956.x,1,12,,Intracranial procedure,,1,,,,220,250,24,18
188,223,Cao_2012_normal_POD7,10.1007/s11596-012-1026-2,1,12,,Behavioral testing,,,,,9,180,200,52,103
189,224,Cao_2012_sham_POD7,10.1007/s11596-012-1026-2,1,12,,Sham intracranial injury,,,,,9,180,200,52,103
190,225,Cao_2012_sham_POD14,10.1007/s11596-012-1026-2,1,12,,Sham intracranial injury,,,,,9,180,200,52,103
191,226,Cao_2012_sham_POD21,10.1007/s11596-012-1026-2,1,12,,Sham intracranial injury,,,,,9,180,200,52,103
192,227,Cao_2012_normal_POD21,10.1007/s11596-012-1026-2,1,12,,Sham intracranial injury,,,,,9,180,200,52,103
193,228,Cao_2012_normal_POD14,10.1007/s11596-012-1026-2,1,12,,Sham intracranial injury,,,,,9,180,200,52,103
194,229,Carta_2011,10.1016/J.NEUROSCIENCE.2011.07.046,2,1,14,Vehicle injection(s),,1,90,90,4,,,17,18
195,230,Chadi_1993,10.1007/BF00228825,2,1,14,Sham intracranial injection,,1,84,84,4,25,25,24,92
196,231,Asyyed_2006,10.1016/J.BRAINRES.2006.05.107,2,1,,Vehicle injection(s),9,1,56,84,4,,,169,
197,232,Chalimoniuk_2006_nNOS,10.1016/J.NEUROSCIENCE.2006.04.022,2,1,,Vehicle injection(s),,1,56,56,4,20,25,24,18
198,233,Chalimoniuk_2006_TH,10.1016/J.NEUROSCIENCE.2006.04.022,2,1,,Pooled control groups,,1,56,56,4,20,25,24,18
199,234,Depboylu_2013,10.1016/J.NEUROIMAGE.2013.04.076,2,1,,Live imaging,,1,84,84,4,20,25,119,18
200,235,Fujiyama_2016,10.1007/s00429-015-1152-2,1,12,,Intracranial procedure,,1,,,9,200,350,17,220
201,236,Fukuda_1994,10.1016/0006-8993(94)91747-7,2,1,14,Vehicle injection(s),,2,,,4,25,30,52,52
202,237,Gomide_2005b,10.1080/00207450590521118,1,12,,Sham intracranial injection,,1,,,9,220,250,52,52
203,238,Guyenet_1981,10.1016/0006-8993(81)90235-3,1,11,,Intracranial procedure,,1,,,9,230,270,17,237
204,239,Hage_2016_live,10.7554/eLife.13905,2,18,,Naive,,3,14,25,2,,,135,
205,240,Hage_2016_juxta_young,10.7554/eLife.13905,2,,,Genetic manipulation,10,,15,25,2,,,52,18
206,241,Hage_2016_juxta_adult,10.7554/eLife.13905,2,,,Genetic manipulation,10,,75,119,4,,,52,18
207,242,Ishida_2001,10.1046/j.0953-816x.2001.01520.x,1,12,,Sham intracranial stimulation,,1,,,,230,250,24,92
208,244,Korkmaz_2012,10.1007/s12031-012-9781-x,1,11,,Sham intracranial injection,,,,,,,,169,18
209,245,Koshimizu_2013,10.1002/cne.23277,1,12,,Intracranial procedure,,1,,,,250,300,17,220
210,246,Lawson_1990,10.1016/0306-4522(90)90229-W,2,3,,Naive,,2,42,84,,,,17,103
211,247,Lorenc-Koci_2011,10.1016/J.NEUINT.2011.03.013,1,12,,Sham intracranial injection,,1,,,,280,320,,
212,248,Omelchenko_2016,10.1007/s00429-015-1014-y,1,,,Behavioral testing,,1,,,8,75,75,119,18
213,249,Park_2006,10.1007/978-3-211-35205-2_28,1,11,,Intracranial procedure,,2,,,,200,250,98,18
214,250,Purisai_2007,10.1016/J.NBD.2006.10.008,2,1,,Vehicle injection(s),,1,70,84,4,,,,
215,251,Ratzka_2012_P0,10.1111/j.1471-4159.2012.07768.x,2,1,,Naive,,,0,0,1,,,,
216,252,Ratzka_2012_P28,10.1111/j.1471-4159.2012.07768.x,2,1,,Naive,,,28,28,2,,,,18
217,253,Rodrigues_2001,10.3109/00207450108986528,1,12,,Sham intracranial injection,,1,,,,220,250,52,92
218,254,Saal_2015,10.1016/J.NBD.2014.09.013,2,1,,Sham intracranial injection,,1,84,84,4,,,,18
219,255,Shaw_2010,10.1002/cne.22207,2,3,,Vehicle injection(s),,1,63,63,4,20,20,24,225
220,256,Stanic_2004,10.1046/j.1471-4159.2003.01843.x,1,12,,Unspecified normal control,,1,,,9,250,350,,
221,257,Sunström_1987,10.1016/0006-8993(87)90986-3,2,1,,Naive,,1,,,,20,20,108,18
222,258,Tasselli_2013,10.1111/nmo.12070,2,1,,Oral gavage,,1,,,4,22,25,,
223,259,Tatenhorst_2014_84,10.1097/NEN.0000000000000095,2,1,,Sham intracranial injection,,1,84,84,4,,,,18
224,260,Walker_2012b,10.1016/J.NEUROPHARM.2012.01.029,1,11,,Sham operation,,2,,,9,,,,89
225,261,Walters_1999,10.1006/EXNR.1998.6997,2,1,,Vehicle injection(s),,1,70,70,4,24,24,24,92
226,262,Westphal_2016,10.1016/J.NEUROSCIENCE.2016.07.046,1,11,,Sham intracranial injection,,1,,,9,235,285,52,18
227,263,Wild_2013,10.1016/J.NEUROPHARM.2013.05.013,1,12,,Naive,,1,21,28,6,,,135,
228,264,Zhao_2002,10.1046/j.1440-1789.2002.00437.x,1,11,,Sham operation,,1,56,68,,,,135,103
229,265,Eilam_2003_1m,10.1016/S0306-4522(03)00322-1,2,9,24,Naive,,1,30,30,3,,,52,18
230,266,Eilam_2003_2m,10.1016/S0306-4522(03)00322-1,2,9,24,Naive,,1,60,60,4,,,52,18
231,267,Kusnoor_2010_golgi,10.1002/cne.22350,2,1,14,Naive,,,90,150,4,,,,103
232,268,Lawrence_2012_golgi,10.1016/j.ntt.2011.08.002,1,17,,Naive,,3,21,21,,46,54,135,
233,269,McNeill_1990_25m,10.1016/0006-8993(90)91530-T,2,1,25,Naive,,,750,750,5,,,24,18
234,270,McNeill_1990_30m,10.1016/0006-8993(90)91530-T,2,1,25,Naive,,,900,900,5,,,24,18
235,272,Lieb_1996_P14,10.1016/0165-3806(96)00063-6,2,5,17,Naive,,3,14,14,2,5,8,17,199
236,273,Lieb_1996_P28,10.1016/0165-3806(96)00063-6,2,5,17,Naive,,3,28,28,2,12,18,17,199
237,274,Lieb_1996_P63,10.1016/0165-3806(96)00063-6,2,5,17,Naive,,3,63,63,4,19,24,17,199
