"ID";"First_author";"Published";"Title";"Journal";"Species"
26;"Ares-Santos, S";2014,00;"Methamphetamine causes degeneration of dopamine cell bodies and terminals of the nigrostriatal pathway evidenced by silver staining.";44;"Mouse"
27;"Argyris, T S";1980,00;"Epidermal growth following a single application of 12-O-tetradecanoyl-phorbol-13-acetate in mice.";45;"Mouse"
28;"Ariano, MA";1997,00;"Cellular distribution of the rat D4 dopamine receptor protein in the CNS using anti-receptor antisera.";21;"Rat"
29;"Ariano, MA";1997,00;"Cellular distribution of the rat D1B receptor in central nervous system using anti-receptor antisera.";21;"Rat"
30;"Ariano, MA";1994,00;"Dopamine receptor distribution in the rat CNS: elucidation using anti-peptide antisera directed against D1A and D3 subtypes.";21;"Rat"
31;"Ariano, MA";1992,00;"D2 dopamine receptor localization on striatonigral neurons.";8;"Rat"
32;"Ariano, M A";1983,00;"Distribution of components of the guanosine 3',5'-phosphate system in rat caudate-putamen.";11;"Rat"
33;"Armstrong, DM";1983,00;"Distribution of cholinergic neurons in rat brain: demonstrated by the immunocytochemical localization of choline acetyltransferase.";12;"Rat"
34;"Asyyed, A";2006,00;"Ethanol activates cAMP response element-mediated gene expression in select regions of the mouse brain.";21;"Mouse"
35;"Auchus, AP";1992,00;"Quantitative light microscopic demonstration of increased pallidal and striatal met5-enkephalin-like immunoreactivity in rats following chronic treatment with haloperidol but not with clozapine: implications for the pathogenesis of neuroleptic-induced mov";18;"Rat"
36;"Aumann, T";2011,00;"Neuronal activity regulates expression of tyrosine hydroxylase in adult mouse substantia nigra pars compacta neurons.";46;"Mouse"
37;"Avila-Costa, M";2004,00;"Nigrostriatal modifications after vanadium inhalation: an immunocytochemical and cytological approach.";47;"Mouse"
38;"Azam, L";2002,00;"Expression of neuronal nicotinic acetylcholine receptor subunit mRNAs within midbrain dopamine neurons.";12;"Rat"
39;"Azmitia, EC";1993,00;"Increase of tryptophan hydroxylase enzyme protein by dexamethasone in adrenalectomized rat midbrain.";7;"Rat"
40;"Azmitia, EC";1986,00;"The primate serotonergic system: a review of human and animal studies and a report on Macaca fascicularis. [Review] [83 refs]";48;"Monkey"
41;"Back, S";2013,00;"High correlation between in vivo [123I]beta-CIT SPECT/CT imaging and post-mortem immunohistochemical findings in the evaluation of lesions induced by 6-OHDA in rats.";49;"Rat"
42;"Back, S";1989,00;"Histochemical visualization of neutral endopeptidase-24.11 (enkephalinase) activity in rat brain: cellular localization and codistribution with enkephalins in the globus pallidus.";7;"Rat"
43;"Bagetta, G";1998,00;"HIV-1 gp120-induced apoptosis in the rat neocortex involves enhanced expression of cyclo-oxygenase type 2 (COX-2).";50;"Rat"
44;"Bai, Y";2012,00;"Differential patterns of neuronal activation in rostral versus caudal ventral tegmental area involved in behavioral sensitization induced by an escalating-dose morphine administration paradigm.";51;"Rat"
45;"Bak, IJ";1977,00;"Intraaxonal transport of Herpes simplex virus in the rat central nervous system.";21;"Rat"
46;"Ballmaier, M";2002,00;"Preferential alterations in the mesolimbic dopamine pathway of heterozygous reeler mice: an emerging animal-based model of schizophrenia.";2;"Mouse"
47;"Banisadr, G";2003,00;"Highly regionalized distribution of stromal cell-derived factor-1/CXCL12 in adult rat brain: constitutive expression in cholinergic, dopaminergic and vasopressinergic neurons.";2;"Rat"
48;"Banisadr, G";2002,00;"Neuroanatomical distribution of CXCR4 in adult rat brain and its localization in cholinergic and dopaminergic neurons.";2;"Rat"
49;"Banisadr, G";2002,00;"Distribution, cellular localization and functional role of CCR2 chemokine receptors in adult rat brain.";46;"Rat"
50;"Bao, X";2018,00;"Preliminary optimization of a Chinese herbal medicine formula based on the neuroprotective effects in a rat model of rotenone-induced Parkinson's disease.";52;"Rat"
51;"Barna, BF";2012,00;"Pontomedullary and hypothalamic distribution of Fos-like immunoreactive neurons after acute exercise in rats.";11;"Rat"
52;"Bataillier, M";2012,00;"Neuroanatomical distribution of the orphan GPR50 receptor in adult sheep and rodent brains.";53;"Rodent"
53;"Battaglia, G";2009,00;"Activation of mGlu3 receptors stimulates the production of GDNF in striatal neurons.";13;"Mouse"
54;"Baude, A";1995,00;"High-resolution immunogold localization of AMPA type glutamate receptor subunits at synaptic and non-synaptic sites in rat hippocampus.";11;"Rat"
55;"Bayer, SA";1995,00;"Selective vulnerability of late-generated dopaminergic neurons of the substantia nigra in weaver mutant mice.";6;"Mouse"
56;"Bayer, SA";1994,00;"Correlated quantitative studies of the neostriatum, nucleus accumbens, substantia nigra, and ventral tegmental area in normal and weaver mutant mice.";7;"Mouse"
57;"Beaudet, AH";1998,00;"Complementarity of radioautographic and immunohistochemical techniques for localizing neuroreceptors at the light and electron microscopy level";54;"Rodent"
58;"Bechard, A";2016,00;"How does environmental enrichment reduce repetitive motor behaviors? Neuronal activation and dendritic morphology in the indirect basal ganglia pathway of a mouse model.";55;"Deer mouse"
59;"Beitz, A J";1989,00;"Possible origin of glutamatergic projections to the midbrain periaqueductal gray and deep layer of the superior colliculus of the rat.";30;"Rat"
60;"Belluardo, N";1997,00;"Comparative localization of fibroblast growth factor receptor-1, -2, and -3 mRNAs in the rat brain: in situ hybridization analysis.";12;"Rat"
61;"Beninato, M";1986,00;"A cholinergic projection to the rat superior colliculus demonstrated by retrograde transport of horseradish peroxidase and choline acetyltransferase immunohistochemistry.";12;"Rat"
62;"Bennett, H J";1998,00;"Immunohistochemical localization of caffeine-induced c-Fos protein expression in the rat brain.";12;"Rat"
63;"Bentea, EM";2017,00;"Plastic changes at corticostriatal synapses predict improved motor function in a partial lesion model of Parkinson's disease.";30;"Mouse"
64;"Bentivoglio, M";1979,00;"The organization of the efferent projections of the substantia nigra in the rat. A retrograde fluorescent double labeling study.";21;"Rat"
65;"Bentlage, C";1999,00;"Reformation of the nigrostriatal pathway by fetal dopaminergic micrografts into the substantia nigra is critically dependent on the age of the host.";18;"Rat"
66;"Berendse, H";1992,00;"Compartmental distribution of ventral striatal neurons projecting to the mesencephalon in the rat.";7;"Rat"
67;"Berger, B";1982,00;"Long-term development of mesencephalic dopaminergic neurons of mouse embryos in dissociated primary cultures: morphological and histochemical characteristics.";11;"Mouse"
68;"Berger, MA";2001,00;"D4 dopamine and metabotropic glutamate receptors in cerebral cortex and striatum in rat brain.";47;"Rat"
69;"Bernard, R";2012,00;"Individual neurons in the rat lateral habenular complex project mostly to the dopaminergic ventral tegmental area or to the serotonergic raphe nuclei.";12;"Rat"
70;"Bernard, V";1997,00;"Cellular, subcellular, and subsynaptic distribution of AMPA-type glutamate receptor subunits in the neostriatum of the rat.";7;"Rat"
71;"Bernstein, HG";2006,00;"Localization of neuregulin-1alpha (heregulin-alpha) and one of its receptors, ErbB-4 tyrosine kinase, in developing and adult human brain.";30;"Rat"
72;"Bertilsson, G";2008,00;"Peptide hormone exendin-4 stimulates subventricular zone neurogenesis in the adult rodent brain and induces recovery in an animal model of Parkinson's disease.";26;"Rat"
73;"Bickford, ME";1992,00;"The nigral projection to predorsal bundle cells in the superior colliculus of the rat.";12;"Rat"
74;"Birioukova, LM";2016,00;"Compensatory Changes in the Brain Dopaminergic System of WAG/Rij Rats Genetically Predisposed to Absence Epilepsy.";17;"Rat"
75;"Bischoff, S";1997,00;"Spatial distribution of kainate receptor subunit mRNA in the mouse basal ganglia and ventral mesencephalon.";12;"Mouse"
76;"Bishop, GA";1982,00;"Morphological and physiological properties of neostriatal neurons: an intracellular horseradish peroxidase study in the rat.";11;"Rat"
77;"Bishop, GM";2004,00;"Altered cellular distribution of iron in rat cerebral cortex during the oestrous cycle.";56;"Rat"
78;"Bissonnette, S";2013,00;"Striatal pre-enkephalin overexpression improves Huntington's disease symptoms in the R6/2 mouse model of Huntington's disease.";13;"Mouse"
79;"Bittar, PG";1996,00;"Selective distribution of lactate dehydrogenase isoenzymes in neurons and astrocytes of human brain.";57;"Human"
80;"Blasiak, A";2013,00;"Relaxin-3 innervation of the intergeniculate leaflet of the rat thalamus - neuronal tract-tracing and in vitro electrophysiological studies.";2;"Rat"
81;"Bloch, B";1986,00;"In situ hybridization histochemistry for the analysis of gene expression in the endocrine and central nervous system tissues: a 3-year experience.";26;"Rat"
82;"Block, F";2004,00;"Association between inflammation and nigral neuronal damage following striatal excitotoxic lesion.";21;"Rat"
83;"Blunt, SB";1993,00;"Suppressive effect of L-dopa on dopamine cells remaining in the ventral tegmental area of rats previously exposed to the neurotoxin 6-hydroxydopamine.";58;"Rat"
84;"Blunt, SB";1992,00;"Motor function, graft survival and gliosis in rats with 6-OHDA lesions and foetal ventral mesencephalic grafts chronically treated with L-dopa and carbidopa.";25;"Rat"
85;"Bodor, AL";2008,00;"Structural correlates of efficient GABAergic transmission in the basal ganglia-thalamus pathway.";7;"Rat"
86;"Bogenpohl, J";2013,00;"Metabotropic glutamate receptor 4 in the basal ganglia of parkinsonian monkeys: ultrastructural localization and electrophysiological effects of activation in the striatopallidal complex.";59;"Monkey"
87;"Bolam, JP";1992,00;"The striatum and the globus pallidus send convergent synaptic inputs onto single cells in the entopeduncular nucleus of the rat: a double anterograde labelling study combined with postembedding immunocytochemistry for GABA.";12;"Rat"
88;"Boom, A";1999,00;"Distribution of the nociceptin and nocistatin precursor transcript in the mouse central nervous system.";11;"Mouse"
89;"Boska, MD";2005,00;"Quantitative 1H magnetic resonance spectroscopic imaging determines therapeutic immunization efficacy in an animal model of Parkinson's disease.";7;"Mouse"
90;"Bostanci, M";2008,00;"Role of nitric oxide synthesis inhibitors in iron-induced nigral neurotoxicity: a mechanistic exploration.";60;"Rat"
91;"Bostanci, M";2013,00;"Blocking of L-type calcium channels protects hippocampal and nigral neurons against iron neurotoxicity. The role of L-type calcium channels in iron-induced neurotoxicity.";61;"Rat"
92;"Bostanci, M";2010,00;"Alpha-tocopherol decreases iron-induced hippocampal and nigral neuron loss.";62;"Rat"
93;"Bottger, P";2011,00;"Distribution of Na/K-ATPase alpha 3 isoform, a sodium-potassium P-type pump associated with rapid-onset of dystonia parkinsonism (RDP) in the adult mouse brain.";12;"Mouse"
94;"Boudin, H";1996,00;"Cellular distribution of neurotensin receptors in rat brain: immunohistochemical study using an antipeptide antibody against the cloned high affinity receptor.";12;"Rat"
95;"Bouras, C";1986,00;"Substance P neuronal cell bodies in the human brain: complete mapping by immunohistofluorescence.";8;"Human"
96;"Boutin, H";2007,00;"Long-term alterations in mu, delta and kappa opioidergic receptors following middle cerebral artery occlusion in mice.";63;"Mouse"
97;"Bowenkamp, KE";2000,00;"Effects of intra-striatal GDNF on motor coordination and striatal electrophysiology in aged F344 rats.";64;"Rat"
98;"Bowenkamp, KE";1996,00;"6-hydroxydopamine induces the loss of the dopaminergic phenotype in substantia nigra neurons of the rat. A possible mechanism for restoration of the nigrostriatal circuit mediated by glial cell line-derived neurotrophic factor.";25;"Rat"
99;"Bowenkamp, KE";1995,00;"Glial cell line-derived neurotrophic factor supports survival of injured midbrain dopaminergic neurons.";12;"Rat"
100;"Boy, Jana";2006,00;"Expression mapping of tetracycline-responsive prion protein promoter: digital atlasing for generating cell-specific disease models.";65;"Mouse"
101;"Boyes, J";2003,00;"The subcellular localization of GABA(B) receptor subunits in the rat substantia nigra.";2;"Rat"
102;"Breckenridge, C";2013,00;"Pharmacokinetic, neurochemical, stereological and neuropathological studies on the potential effects of paraquat in the substantia nigra pars compacta and striatum of male C57BL/6J mice.";66;"Mouse"
103;"Brecknell, JE";1996,00;"Bridge grafts of fibroblast growth factor-4-secreting schwannoma cells promote functional axonal regeneration in the nigrostriatal pathway of the adult rat.";11;"Rat"
104;"Brecknell, JE";1995,00;"A quantitative study of cell death in the substantia nigra following a mechanical lesion of the medial forebrain bundle.";11;"Rat"
105;"Brewer, GJ";1993,00;"Optimized survival of hippocampal neurons in B27-supplemented Neurobasal, a new serum-free medium combination.";26;"Rat"
106;"Brischoux, F";2002,00;"Early and transient ontogenetic expression of the cocaine- and amphetamine-regulated transcript peptide in the rat mesencephalon: correlation with tyrosine hydroxylase expression.";67;"Rat"
107;"Brog, JS";1993,00;"The patterns of afferent innervation of the core and shell in the ""accumbens"" part of the rat ventral striatum: immunohistochemical detection of retrogradely transported fluoro-gold.";12;"Rat"
108;"Brox, A";2002,00;"The telencephalon of the frog Xenopus based on calretinin immunostaining and gene expression patterns.";30;"Frog"
109;"Brundin, P";1986,00;"Behavioural effects of human fetal dopamine neurons grafted in a rat model of Parkinson's disease.";25;"Rat"
110;"Bruzzone, F";2008,00;"Expression of the deubiquitinating enzyme mUBPy in the mouse brain.";21;"Mouse"
111;"Buchele, F";2014,00;"Two-step grafting significantly enhances the survival of foetal dopaminergic transplants and induces graft-derived vascularisation in a 6-OHDA model of Parkinson's disease.";68;"Rat"
112;"Bukhatwa, S";2009,00;"An immunohistochemical and stereological analysis of PSI-induced nigral neuronal degeneration in the rat.";46;"Rat"
113;"Burgevin, MC";1992,00;"Neurotensin increases tyrosine hydroxylase messenger RNA-positive neurons in substantia nigra after retrograde axonal transport.";11;"Rat"
114;"Burgunder, JM";1989,00;"Distribution, projection and dopaminergic regulation of the neurokinin B mRNA-containing neurons of the rat caudate-putamen.";11;"Rat"
115;"Cai, T";2018,00;"[Mechanism of alpha-lipoic acid promoting iron efflux in substantia nigra cells of Parkinson's disease rats]. [Chinese]";;"Rat"
116;"Caille, I";1996,00;"Ultrastructural localization of D1 dopamine receptor immunoreactivity in rat striatonigral neurons and its relation with dopaminergic innervation.";21;"Rat"
117;"Cain, B";2003,00;"Distribution and colocalization of cholecystokinin with the prohormone convertase enzymes PC1, PC2, and PC5 in rat brain.[Erratum appears in J Comp Neurol. 2004 Jul 19;475(2):288 Note: Vishnuvardham D [corrected to Vishnuvardhan D]]";12;"Rat"
118;"Calingasan, NY";1995,00;"Heterogeneous expression of transketolase in rat brain.";46;"Rat"
119;"Calingasan, NY";1994,00;"Distribution of the alpha-ketoglutarate dehydrogenase complex in rat brain.";12;"Rat"
120;"Campbell, KJ";1991,00;"Co-localization of tyrosine hydroxylase and glutamate decarboxylase in a subpopulation of single nigrotectal projection neurons.";21;"Rat"
121;"Campi, KL";2013,00;"Sexual Dimorphism in the Brain of the Monogamous California Mouse (Peromyscus californicus).";69;"California mouse"
122;"Cannon, JR";2009,00;"NeuN is not a reliable marker of dopamine neurons in rat substantia nigra.";8;"Rat"
123;"Cao, F";2012,00;"Experimental study on dynamic regulation of acetylcholine in striatum of rat Parkinson disease model and behavior observation.";70;"Rat"
124;"Cao, F";2003,00;"Experimental study on inhibition of neuronal toxical effect of levodopa by ginkgo biloba extract on Parkinson disease in rats.";70;"Rat"
125;"Cao, X";2002,00;"Experimental study on heterograft of glomus cells of carotid body for hemiparkinsonian rats.";70;"Rat"
126;"Carboni, L";1997,00;"Localization of the messenger RNA for the c-Jun NH2-terminal kinase kinase in the adult and developing rat brain: an in situ hybridization study.";11;"Rat"
127;"Carriere, CH";2016,00;"Chronic low-dose melatonin treatment maintains nigrostriatal integrity in an intrastriatal rotenone model of Parkinson's disease.";21;"Rat"
128;"Carriere, CH";2014,00;"Neuroprotection by valproic acid in an intrastriatal rotenone model of Parkinson's disease.";11;"Rat"
129;"Carstens, E";1990,00;"Demonstration of extensive brainstem projections to medial and lateral thalamus and hypothalamus in the rat.";11;"Rat"
130;"Carta, AR";2011,00;"Rosiglitazone decreases peroxisome proliferator receptor-gamma levels in microglia and inhibits TNF-alpha production: new evidences on neuroprotection in a progressive Parkinson's disease model.";11;"Mouse"
131;"Casper, D";1991,00;"EGF enhances the survival of dopamine neurons in rat embryonic mesencephalon primary cell culture.";26;"Rat"
132;"Castagna, C";2003,00;"Protein S100 immunoreactivity in glial cells and neurons of the Japanese quail brain.";14;"Quail"
133;"Castel, MN";1992,00;"Light and electron microscopic localization of retrogradely transported neurotensin in rat nigrostriatal dopaminergic neurons.";11;"Rat"
134;"Castelli, M";2016,00;"alpha2A adrenergic receptors highly expressed in mesoprefrontal dopamine neurons.";11;"Rat"
135;"Cenci, M";1992,00;"Striatal c-fos Induction by Cocaine or Apomorphine Occurs Preferentially in Output Neurons Projecting to the Substantia Nigra in the Rat.";2;"Rat"
136;"Cerri, S";2014,00;"Neuroprotective potential of adenosine A2A and cannabinoid CB1 receptor antagonists in an animal model of Parkinson disease.";71;"Rat"
137;"Cha, CI";2000,00;"Region-specific changes of NOS-IR cells in the basal ganglia of the aged rat.";21;"Rat"
138;"Cha, XY";1997,00;"NAC-1, a rat brain mRNA, is increased in the nucleus accumbens three weeks after chronic cocaine self-administration.";7;"Rat"
139;"Chadi, G";1994,00;"Temporal and spatial increase of astroglial basic fibroblast growth factor synthesis after 6-hydroxydopamine-induced degeneration of the nigrostriatal dopamine neurons.";11;"Rat"
140;"Chadi, G";1993,00;"Protective actions of human recombinant basic fibroblast growth factor on MPTP-lesioned nigrostriatal dopamine neurons after intraventricular infusion.";25;"Mouse"
141;"Chalimoniuk, M";2006,00;"Alterations of the expression and activity of midbrain nitric oxide synthase and soluble guanylyl cyclase in 1-methyl-4-phenyl-1,2,3,6-tetrahydropyridine-induced Parkinsonism in mice.";11;"Mouse"
142;"Chapman, S";1998,00;"Specific neurochemical derangements of brain projecting neurons in apolipoprotein E-deficient mice.";46;"Mouse"
143;"Chen, D";2017,00;"Therapeutic effects of intranigral transplantation of mesenchymal stem cells in rat models of Parkinson's disease.";26;"Rat"
144;"Chen, H";1993,00;"Sequential neuronal and astrocytic changes after transient middle cerebral artery occlusion in the rat.";72;"Rat"
145;"Chen, L";2011,00;"[Effects of chronic, systemic treatment with metabotropic glutamate receptor 5 antagonist on behavioral activity and neuroprotection in a preclinical rat model of Parkinson's disease]. [Chinese]";;"Rat"
146;"Chen, LW";1998,00;"Mesencephalic dopaminergic neurons expressing neuromedin K receptor (NK3): a double immunocytochemical study in the rat.";21;"Rat"
147;"Chen, L-W";2003,00;"The striatal GABA-ergic neurons expressing substance P receptors in the basal ganglia of mice.";11;"Mouse"
148;"Chen, LW";2001,00;"Differential expression of AMPA receptor subunits in dopamine neurons of the rat brain: a double immunocytochemical study.";11;"Rat"
150;"Chen, ST";1989,00;"Distribution of FMRFamide-like immunoreactivity in the central nervous system of the Formosan monkey (Macaca cyclopsis).";73;"Monkey"
151;"Chen, XY";2007,00;"Experimental change on dopaminergic neurons in striatum of Parkinson disease rats.";74;"Rat"
152;"Chen, Y";1995,00;"Nicotine treatment counteracts perinatal asphyxia-induced changes in the mesostriatal/limbic dopamine systems and in motor behaviour in the four-week-old male rat.";11;"Rat"
153;"Cheung, S";1998,00;"Contribution of dopamine neurons in the medial zona incerta to the innervation of the central nucleus of the amygdala, horizontal diagonal band of Broca and hypothalamic paraventricular nucleus.";21;"Rat"
154;"Chiang, CS";1993,00;"Radiation-induced astrocytic and microglial responses in mouse brain.";75;"Mouse"
155;"Chocyk, A";2015,00;"Early-life stress increases the survival of midbrain neurons during postnatal development and enhances reward-related and anxiolytic-like behaviors in a sex-dependent fashion.";76;"Rat"
156;"Chou, J";2008,00;"Nigrostriatal alterations in bone morphogenetic protein receptor II dominant negative mice.";77;"Mouse"
157;"Chritin, M";1996,00;"DA uptake sites, D1 and D2 receptors, D2 and preproenkephalin mRNAs and Fos immunoreactivity in rat striatal subregions after partial dopaminergic degeneration.";2;"Rat"
158;"Chung, JR";2011,00;"Multiscale exploration of mouse brain microstructures using the knife-edge scanning microscope brain atlas.";78;"Mouse"
159;"Clarner, T";2014,00;"Astroglial redistribution of aquaporin 4 during spongy degeneration in a Canavan disease mouse model.";79;"Mouse"
160;"Clough, RW";1997,00;"Seizures and proto-oncogene expression of fos in the brain of adult genetically epilepsy-prone rats.";18;"Rat"
161;"Colton, CA";1995,00;"Protection from oxidation enhances the survival of cultured mesencephalic neurons.";18;"Rat"
162;"Cooper, JD";1988,00;"Accurate counting of neurons in frozen sections: some necessary precautions.";27;"Rat"
163;"Cornea-Hebert, V";1999,00;"Cellular and subcellular distribution of the serotonin 5-HT2A receptor in the central nervous system of adult rat.";12;"Rat"
164;"Cornwall, J";1988,00;"Afferent projections to the dorsal thalamus of the rat as shown by retrograde lectin transport. II. The midline nuclei.";30;"Rat"
165;"Costa, G";2018,00;"Repeated Administration of 3,4-Methylenedioxymethamphetamine (MDMA) Elevates the Levels of Neuronal Nitric Oxide Synthase in the Nigrostriatal System: Possible Relevance to Neurotoxicity.";80;"Mouse"
166;"Costantini, LC";1999,00;"Gene transfer to the nigrostriatal system by hybrid herpes simplex virus/adeno-associated virus amplicon vectors.[Erratum appears in Hum Gene Ther 2000 Apr 10;11(6):981]";81;"Rat"
167;"Creutz, L";2002,00;"Estrogen receptor-beta immunoreactivity in the midbrain of adult rats: regional, subregional, and cellular localization in the A10, A9, and A8 dopamine cell groups.";12;"Rat"
168;"Crocker, CE";2011,00;"JNK Inhibition Protects Dopamine Neurons and Provides Behavioral Improvement in a Rat 6-hydroxydopamine Model of Parkinson's Disease.";82;"Rat"
169;"Cutillas, B";2002,00;"Neuroprotective effect of the monoamine oxidase inhibitor PF 9601N [N-(2-propynyl)-2-(5-benzyloxy-indolyl) methylamine] on rat nigral neurons after 6-hydroxydopamine-striatal lesion.";8;"Rat"
170;"Cybulska-Klosowicz, A";2017,00;"Potential role of dopamine transporter in behavioral flexibility.";83;"Mouse"
171;"Cyr, M";2005,00;"Magnetic resonance imaging at microscopic resolution reveals subtle morphological changes in a mouse model of dopaminergic hyperfunction.";65;"Mouse"
172;"Czarnecka, A";2013,00;"Alterations in the expression of nNOS in the substantia nigra and subthalamic nucleus of 6-OHDA-lesioned rats: the effects of chronic treatment with l-DOPA and the nitric oxide donor, molsidomine.";21;"Rat"
173;"Czyrak, A";2001,00;"Search for the presence of glucocorticoid receptors in dopaminergic neurons of rat ventral tegmental area and substantia nigra.";84;"Rat"
174;"Dahl, D";1981,00;"Vimentin, the 57 000 molecular weight protein of fibroblast filaments, is the major cytoskeletal component in immature glia.";85;"Rat"
175;"Dally, JJ";1996,00;"The spontaneous release of acetylcholinesterase in rat substantia nigra is altered by local changes in extracellular levels of dopamine.";86;"Rat"
176;"Danielyan, L";2011,00;"Therapeutic efficacy of intranasally delivered mesenchymal stem cells in a rat model of Parkinson disease.";87;"Rat"
177;"Date, I";2001,00;"Grafting of encapsulated genetically modified cells secreting GDNF into the striatum of parkinsonian model rats.";88;"Rat"
178;"Date, I";1990,00;"Long-term effect of MPTP in the mouse brain in relation to aging: neurochemical and immunocytochemical analysis.";21;"Mouse"
179;"Datiche, F";1996,00;"Catecholamine innervation of the piriform cortex: a tracing and immunohistochemical study in the rat.";21;"Rat"
180;"Daviaud, N";2014,00;"Modeling nigrostriatal degeneration in organotypic cultures, a new ex vivo model of Parkinson's disease.";11;"Rat"
181;"De Mota, N";2000,00;"Cloning, pharmacological characterization and brain distribution of the rat apelin receptor.";89;"Rat"
182;"Decavel, C";1987,00;"First visualization of dopaminergic neurons with a monoclonal antibody to dopamine: a light and electron microscopic study.";90;"Rodent"
183;"Defagot, MC";2002,00;"Differential localization of metabotropic glutamate receptors during postnatal development.";91;"Rat"
184;"DeGiorgio, LA";1998,00;"Histological and temporal characteristics of nigral transneuronal degeneration after striatal injury.";21;"Rat"
185;"Dehkordi, O";2018,00;"GABAergic Neurons as Putative Neurochemical Substrate Mediating Aversive Effects of Nicotine.";92;"Mouse"
186;"Del Bel, EA";2000,00;"Sub-chronic inhibition of nitric-oxide synthesis modifies haloperidol-induced catalepsy and the number of NADPH-diaphorase neurons in mice.";93;"Mouse"
187;"Del-Bel, EA";2010,00;"Tolerance to the cataleptic effect that follows repeated nitric oxide synthase inhibition may be related to functional enzymatic recovery.";94;"Mouse"
188;"Dela Cruz, JAD";2015,00;"Increased number of TH-immunoreactive cells in the ventral tegmental area after deep brain stimulation of the anterior nucleus of the thalamus.";22;"Rat"
189;"Demarest, K";1999,00;"Ethanol-induced expression of c-Fos differentiates the FAST and SLOW selected lines of mice.";9;"Mouse"
190;"Deng, X";1999,00;"Methamphetamine administration causes overexpression of nNOS in the mouse striatum.";21;"Mouse"
